postcode sector,Age 30 to 45,Age 30 to 45 %
B32  3,1302.0,0.20669947610731862
B32  4,534.0,0.1969752858723718
B33  0,1063.0,0.19387196790078423
B33  8,1143.0,0.18728494183188596
B33  9,1431.0,0.225
B34  6,1135.0,0.19414984604858024
B34  7,870.0,0.19995403355550448
B35  6,440.0,0.19784172661870503
B35  7,666.0,0.2104265402843602
B36  0,1190.0,0.1811263318112633
B36  8,1350.0,0.20252025202520252
B36  9,843.0,0.17544224765868888
B37  5,1010.0,0.19464251300828675
B37  6,1167.0,0.19159415531111476
B37  7,1436.0,0.2010922839938384
B38  0,159.0,0.14467697907188354
B38  8,902.0,0.1908994708994709
B38  9,1096.0,0.20613127703592252
B4   6,15.0,0.125
B4   7,48.0,0.02185792349726776
B42  1,1144.0,0.2016214310891787
B42  2,1460.0,0.2098605720856691
B43  5,1120.0,0.19882833303745784
B43  6,626.0,0.18753744757339724
B43  7,1077.0,0.19055201698513802
B44  0,1642.0,0.20463609172482553
B44  8,987.0,0.19146459747817654
B44  9,1256.0,0.20512820512820512
B45  0,728.0,0.19707634001082838
B45  8,1090.0,0.20092165898617512
B45  9,1328.0,0.20939766635130874
B46  1,779.0,0.21054054054054053
B46  2,194.0,0.18582375478927204
B46  3,232.0,0.1638418079096045
B47  5,542.0,0.16011816838995568
B47  6,237.0,0.16725476358503882
B48  7,565.0,0.1899159663865546
B49  5,392.0,0.17834394904458598
B49  6,486.0,0.1609271523178808
B5   4,176.0,0.19599109131403117
B5   5,15.0,0.03164556962025317
B5   6,14.0,0.1346153846153846
B5   7,768.0,0.17610639761522587
B50  4,571.0,0.20824215900802334
B6   4,117.0,0.20490367775831875
B6   5,471.0,0.21715076071922546
B6   6,1198.0,0.21271306818181818
B6   7,304.0,0.22238478419897587
B60  1,690.0,0.17526035052070105
B60  2,913.0,0.22235752557233318
B60  3,987.0,0.2150326797385621
B60  4,271.0,0.1629585087191822
B61  0,1125.0,0.2188715953307393
B61  7,511.0,0.1972972972972973
B61  8,577.0,0.19112288837363364
B61  9,230.0,0.18699186991869918
B62  0,552.0,0.17169517884914465
B62  8,739.0,0.18264953040039544
B62  9,973.0,0.18776534156696256
B63  1,523.0,0.17164424023629798
B63  2,1305.0,0.21137026239067055
B63  3,759.0,0.18899402390438247
B63  4,1058.0,0.19665427509293681
B64  5,386.0,0.20156657963446475
B64  6,747.0,0.21919014084507044
B64  7,579.0,0.18829268292682927
B65  0,607.0,0.20328198258539854
B65  8,824.0,0.207713637509453
B65  9,1044.0,0.20092378752886836
B66  1,407.0,0.21988114532685035
B66  2,174.0,0.21271393643031786
B66  3,809.0,0.22188699945145365
B66  4,983.0,0.22194626326484534
B67  5,1293.0,0.2507757951900698
B67  6,1161.0,0.21452328159645231
B67  7,1061.0,0.2142136079143953
B68  0,886.0,0.18489148580968282
B68  8,1009.0,0.2054989816700611
B68  9,1197.0,0.19959979989994997
B69  1,1530.0,0.20105124835742444
B69  2,560.0,0.21596606247589664
B69  3,378.0,0.2096505823627288
B69  4,577.0,0.22364341085271316
B7   4,391.0,0.21530837004405287
B7   5,547.0,0.21383893666927287
B70  0,713.0,0.20459110473457676
B70  6,642.0,0.19460442558351015
B70  7,293.0,0.19352708058124174
B70  8,373.0,0.19416970327954192
B70  9,703.0,0.20028490028490029
B71  1,961.0,0.21712607320379576
B71  2,1003.0,0.1925143953934741
B71  3,788.0,0.18186014308792983
B71  4,330.0,0.17609391675560299
B72  1,866.0,0.1763388311952759
B73  5,1368.0,0.20058651026392962
B73  6,846.0,0.1735028712059065
B74  2,904.0,0.17805790821351192
B74  3,930.0,0.15965665236051502
B74  4,1030.0,0.17646051053623438
B75  5,900.0,0.21587910769968818
B75  6,719.0,0.15840493500771094
B75  7,1076.0,0.21139489194499017
B76  0,33.0,0.17098445595854922
B76  1,1048.0,0.1744050590780496
B76  2,762.0,0.22644873699851412
B76  9,308.0,0.19781631342324985
B77  1,1177.0,0.21857010213556174
B77  2,1605.0,0.21648233072565418
B77  3,908.0,0.20079610791685096
B77  4,1533.0,0.2119745575221239
B77  5,1009.0,0.2228356890459364
B78  1,1028.0,0.19930205506010082
B78  2,420.0,0.18876404494382024
B78  3,990.0,0.20158827122785583
B79  0,321.0,0.19802590993214064
B79  7,558.0,0.17838874680306904
B79  8,1001.0,0.1831320892791804
B79  9,212.0,0.18088737201365188
B8   1,1153.0,0.21920152091254752
B8   2,1635.0,0.21140418929402638
B8   3,1717.0,0.2164922456184592
B80  7,661.0,0.1827986725663717
B9   4,501.0,0.23269856014862983
B9   5,2263.0,0.21572926596758818
B90  1,1200.0,0.22396416573348266
B90  2,1235.0,0.1852129574085183
B90  3,1081.0,0.20164148479761237
B90  4,1191.0,0.19866555462885738
B91  1,911.0,0.16376056084846305
B91  2,1140.0,0.18636586562040217
B91  3,915.0,0.17007434944237917
B92  0,361.0,0.17844784972812655
B92  7,1272.0,0.1970565453137103
B92  8,1214.0,0.1891260320922262
B92  9,840.0,0.19839395370807747
B93  0,306.0,0.16757940854326397
B93  8,708.0,0.17775546070800904
B93  9,711.0,0.16427911275415896
B94  5,318.0,0.16358024691358025
B94  6,348.0,0.19840364880273662
B95  5,370.0,0.18181818181818182
B95  6,122.0,0.13510520487264674
B96  6,454.0,0.1747498075442648
B97  4,592.0,0.20519930675909878
B97  5,1641.0,0.1935598018400566
B97  6,1217.0,0.23890851982724776
B98  0,1598.0,0.2205354678443279
B98  7,2133.0,0.21593439967604777
B98  8,983.0,0.2094162760971453
B98  9,606.0,0.18831572405220634
BA1  1,170.0,0.18826135105204872
BA1  2,657.0,0.20499219968798751
BA1  3,788.0,0.19883926318445622
BA1  4,538.0,0.19276245073450377
BA1  5,431.0,0.18771777003484322
BA1  6,939.0,0.22539606337013923
BA1  7,557.0,0.1950280112044818
BA1  8,60.0,0.12987012987012986
BA1  9,27.0,0.2076923076923077
BA10 0,311.0,0.16206357477853048
BA11 1,569.0,0.22243940578577012
BA11 2,1010.0,0.18110095033171955
BA11 3,535.0,0.21204914783987316
BA11 4,613.0,0.18960717599752552
BA11 5,377.0,0.2116788321167883
BA11 6,170.0,0.17671517671517672
BA12 0,587.0,0.20157967032967034
BA12 6,305.0,0.13933302878026496
BA12 7,256.0,0.16050156739811913
BA12 8,861.0,0.1852808263395739
BA12 9,507.0,0.15062388591800357
BA13 2,205.0,0.3032544378698225
BA13 3,1356.0,0.2035119315623593
BA13 4,525.0,0.17050990581357583
BA14 0,1374.0,0.21695878730459497
BA14 6,540.0,0.1761827079934747
BA14 7,1766.0,0.22603353385383335
BA14 8,621.0,0.21495327102803738
BA14 9,854.0,0.19020044543429845
BA15 1,800.0,0.16522098306484923
BA15 2,336.0,0.1610738255033557
BA16 0,904.0,0.17063042657606645
BA16 9,277.0,0.20263350402340893
BA2  0,409.0,0.17644521138912855
BA2  1,1280.0,0.19444022482150994
BA2  2,1069.0,0.1999251916962783
BA2  3,569.0,0.11849229487713453
BA2  4,569.0,0.18115249920407514
BA2  5,639.0,0.16846823095175323
BA2  6,480.0,0.15296367112810708
BA2  7,406.0,0.11363000279876855
BA2  8,829.0,0.21332990221307258
BA2  9,141.0,0.13152985074626866
BA20 1,198.0,0.18857142857142858
BA20 2,853.0,0.19216039648569497
BA21 3,1595.0,0.20593931568754034
BA21 4,887.0,0.19759411895745155
BA21 5,951.0,0.19380476869777868
BA22 7,284.0,0.1440162271805274
BA22 8,828.0,0.20343980343980345
BA22 9,420.0,0.15578635014836795
BA3  2,974.0,0.19526864474739375
BA3  3,1101.0,0.20864127345082434
BA3  4,702.0,0.18705035971223022
BA3  5,657.0,0.18680693773102075
BA4  4,535.0,0.2053742802303263
BA4  5,817.0,0.20054000981836034
BA4  6,397.0,0.17980072463768115
BA5  1,488.0,0.15355569540591568
BA5  2,599.0,0.15526179367547951
BA5  3,343.0,0.1554145899410965
BA6  8,507.0,0.15266485998193316
BA6  9,611.0,0.18498334847108688
BA7  7,295.0,0.15851692638366469
BA8  0,371.0,0.1761633428300095
BA9  8,115.0,0.14857881136950904
BA9  9,465.0,0.15698852126941257
BB1  1,1318.0,0.21645590408934143
BB1  2,912.0,0.20253164556962025
BB1  3,247.0,0.17680744452397995
BB1  4,664.0,0.19945929708621207
BB1  5,819.0,0.210431654676259
BB1  6,365.0,0.21370023419203746
BB1  7,452.0,0.21180880974695407
BB1  8,1033.0,0.20949097546136686
BB1  9,982.0,0.18542296072507553
