ward,30-34w,pop
S13002854,0.0972493611904404,13306
S13002855,0.11443003242703916,16036
S13002856,0.10430921531518417,13738
S13002857,0.10776445125800342,11089
S13002858,0.11378857518056468,15230
S13002859,0.1353135313531353,13029
S13002860,0.11394052044609665,16140
S13002861,0.0904824144486692,16832
S13002862,0.09071709705289431,10417
S13002863,0.09413161465400272,11792
S13002864,0.1184069569601109,15869
S13002865,0.09937802349689012,14470
S13002866,0.11454569784557742,14946
S13002867,0.08725581395348837,10750
S13002868,0.08973230010567101,11356
S13002869,0.09698302954116908,15910
S13002870,0.08707935710698142,15928
S13002871,0.0942889454339836,14148
S13002872,0.08857382023647588,19114
S13002873,0.10668301655426118,13048
S13002874,0.0984025957818545,16026
S13002875,0.10944206008583691,12582
S13002876,0.08801056504103387,10601
S13002877,0.09184570925995728,7959
S13002878,0.10252512456718182,11841
S13002879,0.08964214007322546,8467
S13002880,0.08521136151486865,14998
S13002881,0.07537091988130563,13480
S13002882,0.07297573672957144,10757
S13002883,0.0789443355998617,8677
S13002884,0.08229116945107398,10475
S13002885,0.09747292418772563,14958
S13002886,0.07616470133384882,10346
S13002887,0.09758744469488272,11979
S13002888,0.08827483196415235,13390
S13002889,0.08249294070189593,14874
S13002890,0.08359733626430464,15467
S13002891,0.07806919073374834,9799
S13002892,0.10426047800484932,14435
S13002893,0.11939582833852794,12513
S13002894,0.10058291696407329,16812
S13002895,0.09389168765743074,15880
S13002896,0.10636118096302505,10737
S13002897,0.09196334441651123,12331
S13002898,0.08549478432478151,14188
S13002899,0.09051368578927634,13335
S13002900,0.09266376291741396,11709
S13002901,0.08225044300059067,13544
S13002902,0.08441292786035728,14666
S13002903,0.08617204462079808,13357
S13002904,0.08298056816443107,19607
S13002905,0.0916613621896881,15710
S13002906,0.09269016697588126,13475
S13002907,0.10534016093635698,17771
S13002908,0.10327843620132368,19491
S13002909,0.10410427066001109,18030
S13002910,0.10862575785412457,21772
S13002911,0.08029638590654771,13226
S13002912,0.09081775048841753,17915
