ward,youth,pop
S13003057,0.09794500295683027,13528
S13003058,0.09830844362658363,14129
S13003059,0.09058980934329357,17938
S13003060,0.08530014010130402,18558
S13003061,0.09179658315485381,20077
S13003062,0.09360768175582991,18225
S13003063,0.07532288277629892,10143
S13003064,0.07118425298483382,15495
S13003065,0.07808815526936333,11026
S13003066,0.07189472558040012,9347
S13003067,0.10378781862939729,12593
S13003068,0.08101977862456905,11022
S13003069,0.07690284110838302,11404
S13003070,0.07991950553399453,13914
S13003071,0.12165105641472446,9182
S13003072,0.0819935691318328,16172
S13003073,0.09937937619350733,12568
S13003074,0.08462213447405945,18234
S13003075,0.08514382813448235,16478
S13003076,0.08741935483870968,12400
S13003077,0.09385692068429238,12860
S13003078,0.09932629821737315,16773
S13003079,0.09818578867797749,11906
S13003080,0.09307309605817068,13065
S13003081,0.09492403721587564,16982
S13003082,0.08919249854997745,15517
S13003083,0.0833941969324746,15061
S13003084,0.09243027888446215,17570
S13003085,0.08452807646356034,10044
S13003086,0.09607131066358535,18174
S13003087,0.07789830508474577,14750
S13003088,0.07884959405531856,14534
S13003089,0.09901506373117033,17260
S13003090,0.0915240423797881,12270
S13003091,0.07931579872298049,17071
S13003092,0.08172655565293602,13692
S13003093,0.08385170440408062,12057
S13003094,0.08835777657070433,11046
S13003095,0.08977200759974667,18948
S13003096,0.0871391426095073,14999
S13003097,0.08298182375949076,13039
S13003098,0.09059805665799918,14614
S13003099,0.09139064783244033,16424
S13003100,0.09454434623590369,16405
S13003101,0.09492273730684327,16308
S13003102,0.0918839730442426,17065
S13003103,0.1027537717884869,13654
S13003104,0.08697239667007449,13694
S13003105,0.08298918387413963,15255
S13003106,0.07736838520738269,14683
S13003107,0.08519368523541275,14379
S13003108,0.0931592039800995,16080
S13003109,0.09335472326772383,16207
S13003110,0.07587218277246063,12956
S13003111,0.07431852682991222,15151
S13003112,0.08565866320571058,18492
S13003113,0.09655911973144349,21448
S13003114,0.09276498448472971,18369
S13003115,0.07861872433157321,11931
S13003116,0.08577582890991614,12999
S13003117,0.16497680013748067,17457
S13003118,0.21374608439285056,16281
S13003119,0.0900324085052565,12651
S13003120,0.09299011312015676,11227
S13003121,0.09210756067749258,11454
S13003122,0.08379047956113962,11302
S13003123,0.09122167231049752,19195
S13003124,0.08196427504629906,16739
S13003125,0.09344079157357166,12532
S13003126,0.09964630662494899,14702
S13003127,0.0916116248348745,15140
