Area code,All categories: Age,Age 0 to 4,Age 5 to 7,Age 8 to 9,Age 10 to 14,Age 15,Age 16 to 17,Age 18 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 44,Age 45 to 59,Age 60 to 64,Age 65 to 74,Age 75 to 84,Age 85 to 89,Age 90 and over,Mean age,Median age
E07000140,"88,270","4,488","2,555","1,740","4,982","1,151","2,080","1,697","4,523","4,705","16,121","17,986","6,579","10,229","6,853","1,695",886,43.4,45
E07000141,"133,788","7,432","4,279","2,895","8,262","1,835","3,509","2,779","6,251","6,809","25,643","28,870","9,664","13,794","8,223","2,379","1,164",41.8,43
E07000142,"89,250","4,391","2,697","1,811","5,392","1,206","2,415","2,022","4,141","3,915","15,576","19,987","7,068","10,407","6,061","1,401",760,43.1,45
,,,,,,,,,,,,,,,,,,,
E10000021,"691,952","46,012","25,279","15,915","42,030","8,635","17,733","16,132","39,694","43,619","146,623","139,840","44,404","58,129","33,935","9,252","4,720",39.1,39
E07000150,"61,255","4,519","2,225","1,385","3,748",741,"1,578","1,487","3,924","4,786","12,903","12,446","3,201","4,724","2,732",634,222,37.5,37
E07000151,"77,843","4,350","2,688","1,834","4,889","1,051","2,120","1,692","3,797","3,588","15,477","17,465","5,715","7,525","4,062","1,042",548,40.9,43
E07000152,"86,765","5,233","3,197","1,941","5,589","1,229","2,512","1,929","4,028","4,250","17,901","18,107","6,244","8,035","4,589","1,280",701,40.4,42
E07000153,"93,475","6,256","3,504","2,181","5,564","1,161","2,303","2,029","4,993","5,797","20,120","18,359","6,214","8,105","4,769","1,384",736,39.5,40
E07000154,"212,069","15,845","7,848","4,716","12,138","2,466","5,168","5,659","15,345","16,950","47,070","39,044","11,605","14,841","9,335","2,653","1,386",37.1,36
E07000155,"85,189","4,771","3,062","2,139","5,507","1,086","2,176","1,716","3,589","3,603","17,424","19,377","6,340","8,096","4,497","1,190",616,41.1,43
E07000156,"75,356","5,038","2,755","1,719","4,595",901,"1,876","1,620","4,018","4,645","15,728","15,042","5,085","6,803","3,951","1,069",511,39.6,40
,,,,,,,,,,,,,,,,,,,
E10000024,"785,802","45,259","25,459","16,288","45,750","9,566","19,981","18,307","44,562","44,051","155,113","165,910","53,109","77,221","47,073","12,268","5,885",41.1,42
E07000170,"119,497","7,413","4,076","2,587","7,181","1,542","2,974","2,829","7,064","7,104","24,353","24,556","7,580","11,577","6,240","1,623",798,40.0,41
E07000171,"112,863","6,105","3,549","2,277","6,816","1,414","3,072","2,613","6,021","6,027","21,537","24,403","8,088","11,544","6,842","1,721",834,41.5,43
E07000172,"109,487","6,163","3,208","2,093","5,848","1,237","2,710","2,508","6,722","6,625","22,072","22,655","7,548","10,733","6,704","1,771",890,41.4,42
E07000173,"113,543","6,470","3,647","2,339","6,560","1,341","2,892","2,572","6,002","6,205","22,610","24,134","7,755","11,114","7,175","1,891",836,41.4,42
E07000174,"104,466","6,399","3,376","2,095","5,852","1,296","2,705","2,535","6,518","6,799","20,505","21,927","6,513","9,653","6,063","1,527",703,40.2,41
E07000175,"114,817","6,317","3,813","2,454","6,872","1,404","2,912","2,688","6,061","5,971","21,858","24,468","8,214","11,973","7,083","1,804",925,41.6,43
E07000176,"111,129","6,392","3,790","2,443","6,621","1,332","2,716","2,562","6,174","5,320","22,178","23,767","7,411","10,627","6,966","1,931",899,41.2,42
,,,,,,,,,,,,,,,,,,,
E12000005,"5,601,847","354,801","200,808","126,252","340,758","71,823","146,021","151,468","380,909","363,286","1,109,645","1,074,836","335,265","505,689","316,994","82,016","41,276",39.3,39
,,,,,,,,,,,,,,,,,,,
E06000019,"183,477","9,580","5,550","3,630","10,494","2,261","4,519","3,904","9,431","9,681","32,849","38,958","13,604","20,496","13,196","3,535","1,789",43.0,44
E06000051,"306,129","15,698","9,392","6,240","17,915","3,905","8,113","6,933","16,619","15,619","55,358","64,738","22,300","34,212","20,680","5,571","2,836",42.6,44
E06000021,"249,008","17,092","8,935","5,254","14,260","2,825","6,233","6,977","19,089","18,156","49,752","46,896","14,721","20,984","13,119","3,296","1,419",38.5,38
E06000020,"166,641","11,344","6,185","3,822","10,594","2,256","4,675","4,565","10,863","10,888","34,329","33,021","10,010","13,928","7,481","1,771",909,38.1,38
,,,,,,,,,,,,,,,,,,,
E10000028,"848,489","46,089","27,401","17,444","48,881","10,251","21,510","21,022","50,940","47,000","164,651","177,221","59,225","87,789","50,278","12,496","6,291",41.3,42
E07000192,"97,462","5,871","3,319","2,086","5,861","1,298","2,573","2,373","5,893","6,129","20,369","19,924","6,109","8,904","4,966","1,227",560,39.6,40
E07000193,"113,583","7,002","3,927","2,629","6,694","1,510","3,062","2,612","6,722","7,199","22,852","23,248","6,995","10,369","6,442","1,554",766,39.8,40
E07000194,"100,654","5,285","3,229","2,152","5,753","1,178","2,507","2,203","5,232","5,013","19,250","21,073","7,525","11,954","6,030","1,481",789,42.2,44
E07000195,"123,871","6,314","3,979","2,389","6,971","1,405","2,914","4,216","9,545","6,937","23,269","24,990","8,434","12,030","7,633","1,945",900,40.8,41
E07000196,"108,131","4,878","3,141","2,069","6,236","1,301","2,831","2,523","6,035","4,972","19,297","24,174","8,169","12,717","7,158","1,763",867,43.2,45
E07000197,"130,869","7,007","4,126","2,457","7,200","1,453","3,203","3,197","8,009","7,102","25,379","27,295","9,167","13,945","8,038","2,100","1,191",41.8,43
E07000198,"97,106","4,671","2,860","1,940","5,377","1,152","2,398","2,082","4,760","4,467","18,071","21,108","7,839","11,360","6,551","1,618",852,43.4,45
