Area code,All categories: Long-term health problem or disability,Day-to-day activities limited2 a lot,Day-to-day activities limited2 a little,Day-to-day activities not limited2,Day-to-day activities limited2 a lot: Age 16 to 64,Day-to-day activities limited2 a little: Age 16 to 64,Day-to-day activities not limited: Age 16 to 64,Very good health,Good health,Fair health,Bad health,Very bad health,Provides no unpaid care,Provides 1 to 19 hours unpaid care a week,Provides 20 to 49 hours unpaid care a week,Provides 50 or more hours unpaid care a week
E06000005,"105,564","9,821","10,902","84,841","4,474","5,195","57,249","47,046","37,199","15,116","4,763","1,440","94,516","6,863","1,427","2,758"
E06000001,"92,028","11,137","10,178","70,713","5,319","5,336","47,975","39,816","30,117","14,607","5,789","1,699","82,104","5,325","1,555","3,044"
E06000002,"138,412","14,959","13,919","109,534","7,593","7,498","74,627","62,855","45,295","19,719","8,001","2,542","124,252","7,516","2,301","4,343"
E06000048,"316,028","30,940","34,558","250,530","13,138","16,047","169,673","138,990","108,458","48,580","15,641","4,359","280,331","22,304","4,553","8,840"
E06000003,"135,177","15,482","15,235","104,460","6,788","7,394","70,577","57,285","45,844","21,449","8,184","2,415","119,143","9,004","2,450","4,580"
E06000004,"191,610","17,677","18,731","155,202","8,202","9,614","106,736","88,811","64,282","26,385","9,296","2,836","171,686","11,683","2,933","5,308"
,,,,,,,,,,,,,,,,
E11000004,"1,104,825","122,196","115,171","867,458","57,233","59,841","611,542","489,994","363,276","166,983","65,132","19,440","985,316","68,797","17,733","32,979"
E08000020,"200,214","22,917","21,435","155,862","10,669","10,831","107,971","85,320","67,807","31,158","12,152","3,777","177,994","12,588","3,381","6,251"
E08000021,"280,177","26,661","25,916","227,600","12,966","14,012","166,506","133,933","89,096","38,018","14,793","4,337","254,367","15,248","3,726","6,836"
E08000022,"200,801","20,246","21,159","159,396","9,091","10,474","110,228","90,031","66,955","30,156","10,638","3,021","178,593","13,789","2,941","5,478"
E08000023,"148,127","18,166","16,315","113,646","8,337","8,323","78,687","63,345","48,861","23,700","9,394","2,827","131,387","9,351","2,596","4,793"
E08000024,"275,506","34,206","30,346","210,954","16,170","16,201","148,150","117,365","90,557","43,951","18,155","5,478","242,975","17,821","5,089","9,621"
,,,,,,,,,,,,,,,,
E12000002,"7,052,177","724,045","702,760","5,625,372","339,883","364,185","3,852,406","3,276,592","2,314,301","982,586","372,194","106,504","6,270,205","469,493","113,003","199,476"
,,,,,,,,,,,,,,,,
E06000008,"147,489","15,563","14,278","117,648","8,415","8,523","77,123","66,991","49,010","20,725","8,428","2,335","131,733","8,769","2,691","4,296"
E06000009,"142,065","19,247","17,084","105,734","9,278","9,143","71,039","56,600","48,022","23,977","10,346","3,120","125,746","8,635","2,592","5,092"
E06000049,"370,127","29,206","35,625","305,296","11,098","15,896","206,008","181,595","123,065","47,306","14,247","3,914","330,124","27,525","4,454","8,024"
E06000050,"329,608","29,098","31,897","268,613","11,961","14,811","183,601","159,777","108,967","42,604","14,259","4,001","292,487","23,941","4,723","8,457"
E06000006,"125,746","14,556","12,309","98,881","7,370","6,979","67,989","58,684","39,693","17,504","7,732","2,133","110,728","8,009","2,440","4,569"
E06000007,"202,228","16,940","18,057","167,231","7,280","9,112","114,871","100,734","66,223","24,446","8,466","2,359","180,385","13,862","2,837","5,144"
,,,,,,,,,,,,,,,,
E10000006,"499,858","48,523","53,198","398,137","20,392","24,268","268,810","225,018","172,789","71,966","23,604","6,481","443,363","35,927","7,265","13,303"
E07000026,"96,422","9,718","10,309","76,395","3,955","4,707","51,460","42,887","33,297","14,210","4,762","1,266","85,648","6,632","1,436","2,706"
E07000027,"69,087","8,961","8,062","52,064","4,202","4,129","35,510","29,538","22,865","10,898","4,542","1,244","60,842","4,573","1,308","2,364"
E07000028,"107,524","9,919","10,704","86,901","4,459","5,172","59,514","48,593","37,494","15,030","4,964","1,443","96,219","7,233","1,418","2,654"
E07000029,"70,603","7,537","7,524","55,542","3,477","3,631","38,151","31,329","23,938","10,516","3,760","1,060","62,622","4,695","1,179","2,107"
E07000030,"52,564","4,098","5,370","43,096","1,502","2,225","28,720","24,210","18,810","7,195","1,875",474,"46,602","4,208",620,"1,134"
E07000031,"103,658","8,290","11,229","84,139","2,797","4,404","55,455","48,461","36,385","14,117","3,701",994,"91,430","8,586","1,304","2,338"
,,,,,,,,,,,,,,,,
