Area code,All categories: Long-term health problem or disability,Day-to-day activities limited2 a lot,Day-to-day activities limited2 a little,Day-to-day activities not limited2,Day-to-day activities limited2 a lot: Age 16 to 64,Day-to-day activities limited2 a little: Age 16 to 64,Day-to-day activities not limited: Age 16 to 64,Very good health,Good health,Fair health,Bad health,Very bad health,Provides no unpaid care,Provides 1 to 19 hours unpaid care a week,Provides 20 to 49 hours unpaid care a week,Provides 50 or more hours unpaid care a week
E06000033,"173,658","15,275","16,841","141,542","6,214","8,274","95,335","78,341","60,929","24,420","7,778","2,190","155,976","11,412","2,131","4,139"
E06000034,"157,705","11,401","13,149","133,155","5,199","6,920","91,267","76,012","54,788","19,389","5,888","1,628","143,099","8,613","2,172","3,821"
,,,,,,,,,,,,,,,,
E10000003,"621,210","40,621","54,406","526,183","16,268","25,709","366,263","306,910","215,746","73,386","19,715","5,453","561,034","41,313","6,785","12,078"
E07000008,"123,867","6,798","9,266","107,803","2,979","5,070","83,357","67,743","39,600","12,021","3,533",970,"114,090","7,146","1,042","1,589"
E07000009,"83,818","5,423","7,479","70,916","1,982","3,346","47,846","40,874","29,487","10,131","2,614",712,"75,529","5,725",927,"1,637"
E07000010,"95,262","9,476","10,554","75,232","3,892","4,798","50,473","37,577","36,042","15,760","4,590","1,293","84,668","6,154","1,496","2,944"
E07000011,"169,508","10,653","14,650","144,205","4,392","6,972","98,493","82,675","60,470","19,682","5,239","1,442","152,983","11,150","1,911","3,464"
E07000012,"148,755","8,271","12,457","128,027","3,023","5,523","86,094","78,041","50,147","15,792","3,739","1,036","133,764","11,138","1,409","2,444"
,,,,,,,,,,,,,,,,
E10000012,"1,393,587","107,981","130,886","1,154,720","41,881","59,961","776,446","656,820","486,952","182,561","52,080","15,174","1,247,376","96,679","17,592","31,940"
E07000066,"174,497","14,296","16,040","144,161","6,199","8,046","97,065","80,704","60,991","23,145","7,355","2,302","156,864","10,776","2,402","4,455"
E07000067,"147,084","10,695","13,415","122,974","4,298","6,510","82,877","69,884","52,492","18,291","5,046","1,371","132,254","10,001","1,700","3,129"
E07000068,"73,601","5,019","6,430","62,152","1,756","2,774","41,536","37,548","24,537","8,565","2,306",645,"65,805","5,539",819,"1,438"
E07000069,"88,011","7,995","8,753","71,263","2,841","3,731","47,569","38,280","31,786","12,963","3,873","1,109","78,114","6,100","1,288","2,509"
E07000070,"168,310","10,186","14,124","144,000","3,952","6,509","98,524","84,476","58,430","19,261","4,778","1,365","151,560","11,962","1,720","3,068"
E07000071,"173,074","12,141","15,202","145,731","5,213","7,442","101,464","84,520","60,279","20,925","5,692","1,658","156,504","11,121","2,036","3,413"
E07000072,"124,659","8,831","10,770","105,058","3,202","4,810","71,146","61,413","42,077","15,435","4,441","1,293","111,850","8,870","1,439","2,500"
E07000073,"81,944","6,416","7,592","67,936","2,764","3,980","46,012","36,969","29,380","11,203","3,398",994,"73,883","5,025","1,158","1,878"
E07000074,"61,629","4,702","6,036","50,891","1,752","2,716","33,962","28,471","21,961","8,269","2,260",668,"54,468","4,870",837,"1,454"
E07000075,"83,287","5,957","8,165","69,165","2,066","3,516","46,010","39,774","29,085","10,832","2,816",780,"73,866","6,508","1,033","1,880"
E07000076,"138,048","17,303","17,959","102,786","6,319","7,173","64,730","53,035","49,451","25,052","8,048","2,462","120,698","10,081","2,377","4,892"
E07000077,"79,443","4,440","6,400","68,603","1,519","2,754","45,551","41,746","26,483","8,620","2,067",527,"71,510","5,826",783,"1,324"
,,,,,,,,,,,,,,,,
E10000015,"1,116,062","69,086","90,762","956,214","26,552","42,304","649,767","568,026","378,624","125,609","34,316","9,487","1,007,447","75,691","12,256","20,668"
E07000095,"93,609","6,396","7,885","79,328","2,512","3,602","53,440","44,661","33,072","11,544","3,357",975,"84,538","5,847","1,124","2,100"
E07000096,"144,847","9,180","12,156","123,511","3,676","5,751","83,673","72,910","49,326","16,778","4,576","1,257","129,973","10,551","1,554","2,769"
E07000097,"137,687","7,360","10,685","119,642","2,726","4,922","81,238","72,332","46,399","14,325","3,678",953,"124,888","9,361","1,313","2,125"
E07000098,"100,031","6,755","8,114","85,162","2,623","3,662","57,228","51,558","32,887","11,433","3,208",945,"90,176","6,769","1,266","1,820"
E07000099,"127,114","8,017","11,165","107,932","2,750","4,990","72,937","63,801","43,360","14,965","3,958","1,030","114,309","9,076","1,386","2,343"
E07000100,"140,664","7,616","10,479","122,569","2,707","4,647","81,460","77,531","44,813","13,802","3,521",997,"127,290","9,794","1,378","2,202"
E07000101,"83,957","5,967","7,240","70,750","2,570","3,695","48,729","39,514","29,953","10,652","2,984",854,"75,407","5,365","1,053","2,132"
E07000102,"87,317","5,402","7,223","74,692","1,948","3,236","49,929","44,267","29,873","9,772","2,672",733,"78,462","6,404",934,"1,517"
E07000103,"90,301","5,469","6,831","78,001","2,359","3,578","54,605","45,200","31,453","9,911","2,931",806,"82,239","5,412","1,066","1,584"
E07000104,"110,535","6,924","8,984","94,627","2,681","4,221","66,528","56,252","37,488","12,427","3,431",937,"100,165","7,112","1,182","2,076"
,,,,,,,,,,,,,,,,
E10000020,"857,888","77,696","94,735","685,457","30,114","41,298","456,260","366,280","314,157","129,218","37,527","10,706","763,197","59,858","11,626","23,207"
E07000143,"130,491","11,537","14,108","104,846","4,301","6,058","69,010","55,097","48,663","19,565","5,623","1,543","116,566","8,537","1,811","3,577"
E07000144,"124,646","10,089","13,241","101,316","3,504","5,440","66,897","55,219","46,106","17,475","4,499","1,347","110,303","9,925","1,527","2,891"
E07000145,"97,277","10,578","11,274","75,425","4,490","5,200","49,687","39,204","35,032","16,130","5,330","1,581","86,372","5,984","1,572","3,349"
E07000146,"147,451","14,426","16,955","116,070","5,494","7,098","76,206","60,322","54,681","23,441","7,077","1,930","130,039","10,357","2,261","4,794"
E07000147,"101,499","10,456","13,153","77,890","3,636","4,954","49,043","39,504","38,336","17,412","4,839","1,408","89,097","7,959","1,450","2,993"
E07000148,"132,512","11,372","13,002","108,138","5,365","7,144","78,951","59,454","46,939","18,620","5,862","1,637","120,628","7,492","1,523","2,869"
E07000149,"124,012","9,238","13,002","101,772","3,324","5,404","66,466","57,480","44,400","16,575","4,297","1,260","110,192","9,604","1,482","2,734"
,,,,,,,,,,,,,,,,
E10000029,"728,163","57,336","73,353","597,474","21,611","31,982","396,629","334,121","260,145","99,088","27,262","7,547","650,418","51,507","9,044","17,194"
E07000200,"87,740","6,333","8,910","72,497","2,266","3,685","47,114","40,875","31,433","11,624","3,023",785,"78,024","6,819","1,020","1,877"
E07000201,"59,748","4,024","4,986","50,738","1,536","2,269","35,185","28,739","21,194","7,235","2,035",545,"54,796","3,110",634,"1,208"
E07000202,"133,384","10,718","12,824","109,842","4,795","6,636","76,135","60,771","47,800","18,053","5,233","1,527","120,322","8,193","1,730","3,139"
E07000203,"96,731","6,450","9,559","80,722","2,193","4,022","53,221","46,319","34,155","12,432","3,020",805,"86,263","7,418","1,055","1,995"
E07000204,"111,008","7,863","10,350","92,795","2,873","4,453","62,367","52,543","39,656","14,081","3,695","1,033","99,949","7,550","1,187","2,322"
E07000205,"124,298","9,790","13,173","101,335","3,270","5,225","65,101","57,526","44,087","17,122","4,427","1,136","109,461","10,276","1,642","2,919"
E07000206,"115,254","12,158","13,551","89,545","4,678","5,692","57,506","47,348","41,820","18,541","5,829","1,716","101,603","8,141","1,776","3,734"
,,,,,,,,,,,,,,,,
E12000007,"8,173,941","551,664","605,501","7,016,776","276,070","344,797","5,023,557","4,127,788","2,725,645","915,035","305,343","100,130","7,483,968","435,278","105,399","149,296"
,,,,,,,,,,,,,,,,
E13000001,"3,231,901","215,905","222,584","2,793,412","122,369","141,505","2,095,400","1,700,618","1,021,559","338,291","126,887","44,546","2,994,015","146,574","38,643","52,669"
E09000007,"220,338","15,531","16,300","188,507","8,810","9,784","142,302","117,692","67,334","22,963","9,174","3,175","203,032","11,551","2,437","3,318"
E09000001,"7,375",328,520,"6,527",141,253,"5,326","4,112","2,374",643,190,56,"6,799",455,51,70
E09000012,"246,270","18,064","17,620","210,586","10,943","12,073","154,734","128,442","75,699","26,837","11,183","4,109","228,322","10,734","3,094","4,120"
E09000013,"182,493","11,473","11,485","159,535","6,549","6,984","122,917","103,036","53,374","17,188","6,531","2,364","170,159","7,936","1,867","2,531"
E09000014,"254,926","17,255","18,408","219,263","9,810","11,696","158,981","126,485","85,567","28,444","10,650","3,780","236,039","11,812","2,904","4,171"
E09000019,"206,125","16,542","15,729","173,854","9,766","10,298","135,200","106,386","63,382","23,113","9,771","3,473","189,814","10,044","2,505","3,762"
E09000020,"158,649","9,332","10,237","139,080","5,113","5,815","104,224","91,764","45,189","14,464","5,357","1,875","147,671","7,472","1,552","1,954"
E09000022,"303,086","18,618","20,053","264,415","10,432","12,878","201,803","160,326","97,286","31,188","10,729","3,557","282,609","13,035","3,172","4,270"
E09000023,"275,885","19,523","20,212","236,150","10,388","12,264","169,962","135,428","93,850","32,289","10,755","3,563","253,364","13,931","3,502","5,088"
E09000025,"307,984","21,563","21,148","265,273","12,254","14,427","190,816","149,269","106,549","34,839","12,763","4,564","283,380","13,094","5,191","6,319"
E09000028,"288,283","18,978","20,002","249,303","10,891","12,976","188,705","154,204","90,004","29,935","10,544","3,596","267,558","12,531","3,446","4,748"
E09000030,"254,096","17,258","17,045","219,793","10,293","11,911","166,179","128,468","83,209","27,062","11,228","4,129","234,740","10,931","3,510","4,915"
E09000032,"306,995","16,114","18,272","272,609","8,117","10,664","210,297","176,198","91,935","27,299","8,749","2,814","287,010","13,132","2,876","3,977"
E09000033,"219,396","15,326","15,553","188,517","8,862","9,482","143,954","118,808","65,807","22,027","9,263","3,491","203,518","9,916","2,536","3,426"
,,,,,,,,,,,,,,,,
E13000002,"4,942,040","335,759","382,917","4,223,364","153,701","203,292","2,928,157","2,427,170","1,704,086","576,744","178,456","55,584","4,489,953","288,704","66,756","96,627"
E09000002,"185,911","15,584","14,876","155,451","7,823","8,730","101,739","87,819","62,720","24,042","8,686","2,644","169,710","8,637","2,941","4,623"
E09000003,"356,386","23,475","26,428","306,483","10,243","13,411","211,066","183,453","117,508","39,172","12,197","4,056","324,066","21,487","4,586","6,247"
E09000004,"231,997","17,057","19,996","194,944","6,832","9,139","131,248","111,323","80,446","29,015","8,688","2,525","208,475","14,752","3,051","5,719"
E09000005,"311,215","21,669","23,213","266,333","11,112","13,855","190,815","149,695","108,169","36,731","12,339","4,281","284,605","15,813","4,938","5,859"
E09000006,"309,392","20,472","25,851","263,069","7,982","11,787","177,000","154,998","105,574","36,098","9,904","2,818","278,380","21,274","3,439","6,299"
E09000008,"363,378","24,380","28,733","310,265","11,840","15,629","212,424","174,584","128,634","43,473","12,734","3,953","329,695","22,063","4,750","6,870"
E09000009,"338,449","22,885","24,894","290,670","11,184","14,520","207,641","166,385","116,712","38,421","12,817","4,114","309,676","17,668","5,033","6,072"
E09000010,"312,466","22,682","25,297","264,487","11,119","14,074","178,439","146,351","109,394","39,699","12,840","4,182","284,842","17,299","4,131","6,194"
E09000011,"254,557","19,017","19,417","216,123","10,011","11,377","151,659","127,641","83,875","29,386","10,420","3,235","232,543","13,085","3,519","5,410"
E09000015,"239,056","16,167","18,687","204,202","6,788","9,424","141,119","113,731","86,069","28,329","8,289","2,638","214,436","15,889","3,947","4,784"
E09000016,"237,232","19,466","21,478","196,288","7,409","9,735","133,423","109,131","84,378","31,492","9,464","2,767","212,018","16,094","3,285","5,835"
E09000017,"273,936","17,981","21,198","234,757","8,043","11,071","162,751","133,627","96,647","31,492","9,404","2,766","248,031","16,563","3,816","5,526"
E09000018,"253,957","16,403","18,600","218,954","8,193","10,514","156,858","124,442","89,064","28,552","9,085","2,814","231,647","13,897","3,623","4,790"
E09000021,"160,060","8,605","11,297","140,158","3,508","5,679","100,245","84,332","53,598","16,425","4,438","1,267","146,772","9,331","1,611","2,346"
E09000024,"199,693","11,239","13,993","174,461","4,997","7,290","125,431","103,891","67,098","21,025","5,930","1,749","183,366","10,531","2,408","3,388"
E09000026,"278,970","19,534","21,838","237,598","8,740","11,911","162,076","134,230","97,595","33,470","10,479","3,196","251,679","17,182","4,405","5,704"
E09000027,"186,990","9,137","12,310","165,543","3,663","5,776","115,317","107,217","57,088","16,662","4,617","1,406","171,188","11,816","1,605","2,381"
E09000029,"190,146","12,122","15,067","162,957","5,100","7,537","112,288","92,668","67,563","22,127","6,072","1,716","171,848","12,436","2,242","3,620"
E09000031,"258,249","17,884","19,744","220,621","9,114","11,833","156,618","121,652","91,954","31,133","10,053","3,457","236,976","12,887","3,426","4,960"
,,,,,,,,,,,,,,,,
E12000008,"8,634,750","593,643","762,561","7,278,546","235,133","351,447","4,924,066","4,232,707","2,989,920","1,037,592","291,456","83,075","7,787,397","577,114","96,883","173,356"
,,,,,,,,,,,,,,,,
E06000036,"113,205","5,901","7,996","99,308","2,420","4,056","69,120","59,320","38,814","11,394","2,859",818,"103,531","6,719","1,098","1,857"
E06000043,"273,369","20,445","24,124","228,800","10,216","13,440","169,676","134,673","91,970","32,298","11,151","3,277","249,402","16,401","2,850","4,716"
E06000046,"138,265","14,274","16,972","107,019","5,711","7,327","69,597","56,420","50,514","22,378","6,921","2,032","121,845","10,208","2,108","4,104"
E06000035,"263,925","19,733","23,621","220,571","9,236","12,399","151,871","120,662","95,679","34,307","10,388","2,889","238,892","15,001","3,348","6,684"
E06000042,"248,821","15,802","18,736","214,283","7,593","10,564","147,761","124,826","86,778","26,929","7,955","2,333","227,024","14,018","2,991","4,788"
E06000044,"205,056","15,068","17,791","172,197","6,759","9,447","123,638","97,795","71,443","25,464","7,995","2,359","187,920","10,794","2,239","4,103"
E06000038,"155,698","8,815","11,295","135,588","3,965","6,080","97,705","78,169","54,913","16,770","4,590","1,256","143,383","8,074","1,642","2,599"
E06000039,"140,205","8,611","10,173","121,421","4,279","6,102","83,440","67,156","50,464","16,288","4,906","1,391","128,579","7,058","1,977","2,591"
E06000045,"236,882","18,165","20,234","198,483","8,705","11,080","144,973","112,653","82,880","29,278","9,223","2,848","216,519","12,681","2,880","4,802"
E06000037,"153,822","8,262","12,016","133,544","3,163","5,605","90,337","79,432","53,069","16,456","3,818","1,047","139,534","10,313","1,466","2,509"
E06000040,"144,560","7,952","10,412","126,196","2,551","4,375","84,897","78,802","46,571","14,234","3,872","1,081","131,325","9,604","1,432","2,199"
E06000041,"154,380","7,262","11,118","136,000","2,496","5,008","91,717","83,759","51,808","14,566","3,310",937,"140,478","10,190","1,397","2,315"
,,,,,,,,,,,,,,,,
E10000002,"505,283","28,279","39,649","437,355","10,181","17,578","291,324","262,901","170,886","53,987","13,607","3,902","455,769","35,820","5,268","8,426"
E07000004,"174,137","9,921","13,733","150,483","3,899","6,584","102,048","89,515","59,530","19,073","4,661","1,358","157,571","11,840","1,787","2,939"
E07000005,"92,635","5,054","7,394","80,187","1,681","2,814","51,216","49,848","30,368","9,433","2,334",652,"82,971","7,324",859,"1,481"
E07000006,"66,867","3,965","5,335","57,567","1,202","2,095","37,953","35,055","22,267","7,025","1,959",561,"59,974","4,982",737,"1,174"
E07000007,"171,644","9,339","13,187","149,118","3,399","6,085","100,107","88,483","58,721","18,456","4,653","1,331","155,253","11,674","1,885","2,832"
,,,,,,,,,,,,,,,,
E10000011,"526,671","48,243","58,902","419,526","18,691","24,941","272,120","230,697","187,695","77,795","23,598","6,886","467,262","39,537","6,745","13,127"
E07000061,"99,412","9,622","11,209","78,581","3,707","4,767","51,914","42,818","35,193","15,251","4,712","1,438","88,894","6,678","1,261","2,579"
E07000062,"90,254","9,581","10,375","70,298","4,832","5,586","47,669","36,556","32,707","14,276","5,159","1,556","80,812","5,708","1,321","2,413"
E07000063,"97,502","8,471","10,583","78,448","3,164","4,424","50,792","43,719","34,634","13,900","4,066","1,183","86,001","8,000","1,197","2,304"
E07000064,"90,588","9,651","11,591","69,346","3,255","4,304","43,037","36,737","33,152","14,960","4,463","1,276","79,327","7,279","1,250","2,732"
E07000065,"148,915","10,918","15,144","122,853","3,733","5,860","78,708","70,867","52,009","19,408","5,198","1,433","132,228","11,872","1,716","3,099"
,,,,,,,,,,,,,,,,
E10000014,"1,317,788","87,889","119,436","1,110,463","32,902","52,706","742,403","646,983","460,937","156,806","41,411","11,651","1,184,850","92,224","14,286","26,428"
E07000084,"167,799","9,326","13,402","145,071","3,967","6,601","99,228","85,034","58,917","18,047","4,559","1,242","152,566","10,548","1,697","2,988"
E07000085,"115,608","7,402","9,841","98,365","2,611","4,190","64,915","58,330","40,113","12,885","3,336",944,"103,977","8,497","1,106","2,028"
E07000086,"125,199","8,279","10,837","106,083","3,236","5,109","72,306","61,561","44,190","14,538","3,817","1,093","112,478","8,895","1,417","2,409"
E07000087,"111,581","7,548","10,839","93,194","2,473","4,502","62,402","54,170","39,284","13,638","3,489","1,000","99,702","8,382","1,198","2,299"
E07000088,"82,622","6,405","8,095","68,122","2,710","3,942","45,644","37,447","29,915","11,224","3,215",821,"74,446","5,239",988,"1,949"
E07000089,"91,033","4,123","6,822","80,088","1,451","2,926","53,286","50,079","30,120","8,432","1,891",511,"83,037","5,931",779,"1,286"
E07000090,"120,684","10,647","12,696","97,341","4,339","5,425","63,618","53,474","43,275","17,188","5,172","1,575","107,566","8,185","1,620","3,313"
E07000091,"176,462","14,591","19,391","142,480","4,753","7,273","91,346","79,671","63,302","24,871","6,715","1,903","155,715","14,238","2,195","4,314"
E07000092,"93,807","5,250","7,185","81,372","2,302","3,853","57,255","46,970","33,340","10,099","2,625",773,"86,057","5,145",989,"1,616"
E07000093,"116,398","7,456","10,263","98,679","2,742","4,580","65,695","58,222","40,262","13,530","3,457",927,"104,283","8,551","1,272","2,292"
E07000094,"116,595","6,862","10,065","99,668","2,318","4,305","66,708","62,025","38,219","12,354","3,135",862,"105,023","8,613","1,025","1,934"
,,,,,,,,,,,,,,,,
E10000016,"1,463,740","116,407","140,631","1,206,702","47,613","65,065","805,202","683,205","510,399","194,931","58,536","16,669","1,311,963","97,464","18,432","35,881"
E07000105,"117,956","8,416","10,669","98,871","3,489","5,107","64,847","56,128","41,385","15,027","4,163","1,253","106,137","7,686","1,428","2,705"
E07000106,"151,145","12,427","14,891","123,827","4,762","6,612","86,152","70,764","52,338","20,211","6,133","1,699","135,562","10,089","1,815","3,679"
E07000107,"97,365","6,621","8,114","82,630","2,718","3,955","56,717","47,273","33,941","11,837","3,314","1,000","88,146","5,927","1,126","2,166"
E07000108,"111,674","10,853","12,404","88,417","4,473","5,815","58,577","48,433","39,477","16,745","5,538","1,481","99,020","7,892","1,579","3,183"
E07000109,"101,720","7,796","9,546","84,378","3,418","4,521","56,735","47,298","35,572","13,629","4,104","1,117","91,410","6,371","1,383","2,556"
E07000110,"155,143","10,660","13,845","130,638","4,182","6,457","88,323","74,636","54,384","19,291","5,323","1,509","139,582","10,472","1,728","3,361"
E07000111,"114,893","7,219","9,872","97,802","2,564","4,182","64,068","58,796","38,344","13,180","3,569","1,004","102,948","8,501","1,190","2,254"
E07000112,"107,969","10,753","11,965","85,251","4,517","5,458","56,370","45,577","38,999","16,465","5,321","1,607","95,663","7,465","1,663","3,178"
E07000113,"135,835","11,742","13,580","110,513","5,357","6,728","73,831","60,198","48,719","19,118","6,008","1,792","121,577","8,351","1,897","4,010"
E07000114,"134,186","15,369","15,979","102,838","6,459","7,325","66,359","54,640","47,109","22,377","7,785","2,275","118,684","8,925","2,190","4,387"
E07000115,"120,805","7,579","10,367","102,859","2,948","4,607","67,839","60,306","41,475","14,263","3,728","1,033","108,724","8,258","1,321","2,502"
E07000116,"115,049","6,972","9,399","98,678","2,726","4,298","65,384","59,156","38,656","12,788","3,550",899,"104,510","7,527","1,112","1,900"
,,,,,,,,,,,,,,,,
E10000025,"653,798","37,627","52,129","564,042","13,940","24,310","389,566","342,600","218,698","69,321","18,072","5,107","592,667","43,767","6,403","10,961"
E07000177,"141,868","8,698","11,374","121,796","3,405","5,561","82,757","71,403","49,163","15,844","4,261","1,197","128,514","9,216","1,452","2,686"
E07000178,"151,906","8,139","10,712","133,055","3,724","6,017","100,344","83,904","48,201","14,320","4,189","1,292","140,181","8,159","1,468","2,098"
E07000179,"134,257","7,541","10,959","115,757","2,463","4,685","76,704","70,571","44,779","14,409","3,517",981,"121,001","9,817","1,250","2,189"
E07000180,"120,988","7,041","10,143","103,804","2,378","4,248","69,480","62,738","41,117","13,063","3,163",907,"108,550","9,035","1,183","2,220"
E07000181,"104,779","6,208","8,941","89,630","1,970","3,799","60,281","53,984","35,438","11,685","2,942",730,"94,421","7,540","1,050","1,768"
,,,,,,,,,,,,,,,,
E10000030,"1,132,390","64,752","88,602","979,036","22,778","38,528","658,127","593,689","380,019","119,554","30,599","8,529","1,023,957","78,920","11,039","18,474"
E07000207,"130,875","6,697","9,134","115,044","2,187","3,787","75,513","73,880","40,555","12,360","3,213",867,"119,244","8,653","1,100","1,878"
E07000208,"75,102","4,198","5,868","65,036","1,566","2,538","43,692","39,208","25,355","7,988","2,016",535,"67,774","5,294",818,"1,216"
E07000209,"137,183","7,096","10,220","119,867","2,629","4,673","83,894","73,969","45,445","13,442","3,402",925,"124,607","9,250","1,215","2,111"
E07000210,"85,375","5,213","7,329","72,833","1,709","2,902","47,295","43,926","28,801","9,607","2,437",604,"76,464","6,731",770,"1,410"
E07000211,"137,835","8,418","10,848","118,569","3,050","5,003","79,939","71,052","46,908","14,866","3,844","1,165","124,730","9,401","1,423","2,281"
E07000212,"80,510","4,737","6,418","69,355","1,603","2,812","48,770","41,319","27,451","8,767","2,371",602,"73,108","5,208",811,"1,383"
E07000213,"95,598","6,139","8,125","81,334","2,217","3,593","55,599","45,929","34,239","11,509","3,085",836,"85,754","6,701","1,150","1,993"
E07000214,"86,144","4,444","6,396","75,304","1,530","2,815","50,552","46,062","28,683","8,613","2,148",638,"78,250","5,748",823,"1,323"
E07000215,"82,998","5,340","6,972","70,686","1,939","2,965","46,663","41,916","28,514","9,450","2,403",715,"74,463","6,241",852,"1,442"
E07000216,"121,572","6,984","9,893","104,695","2,236","3,944","67,476","65,068","39,777","12,768","3,078",881,"109,567","9,031","1,104","1,870"
E07000217,"99,198","5,486","7,399","86,313","2,112","3,496","58,734","51,360","34,291","10,184","2,602",761,"89,996","6,662",973,"1,567"
,,,,,,,,,,,,,,,,
E10000032,"806,892","60,156","78,724","668,012","21,934","32,836","440,592","378,965","286,383","104,836","28,645","8,063","722,497","58,321","9,282","16,792"
E07000223,"61,182","5,592","6,710","48,880","2,138","2,876","32,131","26,107","22,373","9,181","2,757",764,"54,233","4,472",835,"1,642"
E07000224,"149,518","13,984","17,505","118,029","4,684","6,734","75,418","62,774","54,975","23,299","6,608","1,862","132,964","10,771","1,976","3,807"
E07000225,"113,794","8,328","11,555","93,911","2,622","4,271","60,374","54,210","39,771","14,900","3,822","1,091","101,307","8,924","1,195","2,368"
E07000226,"106,597","7,001","8,701","90,895","3,266","4,598","63,217","50,751","38,279","12,856","3,679","1,032","96,695","6,378","1,418","2,106"
E07000227,"131,301","7,857","11,550","111,894","2,724","4,760","73,704","66,403","45,684","14,580","3,560","1,074","117,659","10,133","1,233","2,276"
E07000228,"139,860","8,084","11,737","120,039","2,905","4,914","79,629","72,448","47,524","14,938","3,864","1,086","125,878","10,375","1,306","2,301"
E07000229,"104,640","9,310","10,966","84,364","3,595","4,683","56,119","46,272","37,777","15,082","4,355","1,154","93,761","7,268","1,319","2,292"
,,,,,,,,,,,,,,,,
E12000009,"5,288,935","436,733","536,963","4,315,239","173,355","243,108","2,907,350","2,478,081","1,828,026","710,356","212,080","60,392","4,718,637","376,909","68,164","125,225"
,,,,,,,,,,,,,,,,
E06000022,"176,016","12,267","16,028","147,721","4,505","7,200","102,917","88,882","58,849","20,856","5,831","1,598","158,431","12,396","1,989","3,200"
E06000028,"183,491","15,858","18,289","149,344","6,829","8,872","107,212","84,955","63,260","24,866","8,009","2,401","166,166","11,280","2,260","3,785"
E06000023,"428,234","34,570","37,154","356,510","15,908","20,499","257,374","209,024","143,283","52,446","18,056","5,425","388,096","25,709","5,253","9,176"
E06000052,"532,273","53,166","60,549","418,558","22,002","27,627","277,462","240,759","178,805","79,181","25,907","7,621","469,081","39,052","8,284","15,856"
E06000053,"2,203",108,200,"1,895",27,68,"1,256","1,135",754,248,53,13,"1,983",165,20,35
E06000024,"202,566","17,335","21,405","163,826","6,670","9,380","107,231","93,803","70,435","27,670","8,276","2,382","180,253","15,172","2,577","4,564"
E06000026,"256,384","25,548","26,644","204,192","12,116","14,197","143,474","117,976","85,956","35,756","13,012","3,684","229,137","15,624","4,057","7,566"
E06000029,"147,645","12,040","15,168","120,437","4,543","6,526","80,759","68,689","51,486","19,849","5,841","1,780","131,433","10,761","1,846","3,605"
E06000025,"262,767","17,842","23,072","221,853","6,667","10,748","151,013","129,141","91,675","30,940","8,556","2,455","235,128","19,279","2,976","5,384"
E06000030,"209,156","14,638","17,664","176,854","6,546","9,226","123,148","100,931","73,591","25,056","7,556","2,022","189,676","12,431","2,680","4,369"
E06000027,"130,959","15,500","15,951","99,508","6,448","7,183","64,805","54,614","45,098","21,355","7,625","2,267","114,852","9,137","2,286","4,684"
E06000054,"470,981","31,408","43,836","395,737","12,012","19,611","262,902","234,318","160,362","57,221","14,974","4,106","423,373","33,064","5,066","9,478"
,,,,,,,,,,,,,,,,
E10000008,"746,399","63,834","81,345","601,220","23,609","34,116","397,074","344,059","259,032","104,498","30,137","8,673","661,515","56,528","9,868","18,488"
E07000040,"132,457","11,814","16,025","104,618","3,527","5,625","65,504","58,004","47,716","19,960","5,285","1,492","116,613","10,746","1,762","3,336"
E07000041,"117,773","9,006","10,683","98,084","3,936","5,332","71,529","58,775","39,301","14,075","4,331","1,291","106,782","7,246","1,298","2,447"
E07000042,"77,750","5,792","7,708","64,250","2,232","3,270","41,833","36,263","27,554","10,398","2,785",750,"69,298","5,798",927,"1,727"
E07000043,"93,667","8,180","10,219","75,268","3,023","4,382","49,165","43,441","31,704","13,264","4,064","1,194","83,324","6,634","1,260","2,449"
E07000044,"83,140","6,813","9,160","67,167","2,633","3,808","43,673","39,414","28,574","11,075","3,156",921,"72,911","7,102","1,156","1,971"
E07000045,"124,220","11,534","14,081","98,605","4,103","5,913","64,706","55,819","43,342","18,237","5,268","1,554","109,201","9,873","1,767","3,379"
E07000046,"63,839","6,116","7,324","50,399","2,439","3,155","32,749","27,787","22,242","9,843","3,128",839,"56,230","4,839",989,"1,781"
E07000047,"53,553","4,579","6,145","42,829","1,716","2,631","27,915","24,556","18,599","7,646","2,120",632,"47,156","4,290",709,"1,398"
,,,,,,,,,,,,,,,,
E10000009,"412,905","35,339","47,528","330,038","12,124","18,428","210,899","184,353","148,166","59,671","16,248","4,467","363,583","33,362","5,456","10,504"
E07000048,"47,752","4,629","6,071","37,052","1,387","2,114","22,601","20,203","17,116","7,681","2,208",544,"41,764","3,933",686,"1,369"
E07000049,"87,166","7,152","10,023","69,991","2,017","3,416","43,805","39,505","31,183","12,436","3,162",880,"76,271","7,447","1,148","2,300"
E07000050,"68,583","4,896","7,123","56,564","1,762","2,906","36,763","32,782","24,146","8,808","2,266",581,"61,309","5,006",766,"1,502"
E07000051,"44,973","3,702","5,057","36,214","1,300","2,034","23,397","20,231","16,148","6,340","1,782",472,"39,281","3,924",653,"1,115"
E07000052,"99,264","8,645","11,468","79,151","2,878","4,240","50,140","44,070","35,640","14,604","3,878","1,072","87,308","8,313","1,237","2,406"
E07000053,"65,167","6,315","7,786","51,066","2,780","3,718","34,193","27,562","23,933","9,802","2,952",918,"57,650","4,739",966,"1,812"
,,,,,,,,,,,,,,,,
E10000013,"596,984","43,292","56,454","497,238","16,448","25,389","337,041","283,942","210,173","76,317","20,772","5,780","534,340","43,596","6,830","12,218"
