,pc_sector,EUpop
199,B71  1,487
200,B71  2,319
201,B71  3,280
202,B71  4,187
203,B72  1,165
204,B73  5,220
205,B73  6,149
206,B74  2,116
207,B74  3,127
208,B74  4,162
209,B75  5,90
210,B75  6,100
211,B75  7,159
212,B76  0,3
213,B76  1,185
214,B76  2,100
215,B76  9,37
216,B77  1,128
217,B77  2,260
218,B77  3,132
219,B77  4,260
220,B77  5,129
221,B78  1,92
222,B78  2,46
223,B78  3,116
224,B79  0,28
225,B79  7,193
226,B79  8,201
227,B79  9,36
228,B8   1,277
229,B8   2,323
230,B8   3,464
231,B80  7,108
232,B9   4,229
233,B9   5,872
234,B90  1,177
235,B90  2,96
236,B90  3,120
237,B90  4,204
238,B91  1,156
239,B91  2,236
240,B91  3,175
241,B92  0,68
242,B92  7,224
243,B92  8,155
244,B92  9,120
245,B93  0,41
246,B93  8,90
247,B93  9,120
248,B94  5,44
249,B94  6,44
250,B95  5,54
251,B95  6,27
252,B96  6,61
253,B97  4,309
254,B97  5,224
255,B97  6,382
256,B98  0,584
257,B98  7,906
258,B98  8,531
259,B98  9,267
260,BA1  1,236
261,BA1  2,585
262,BA1  3,346
263,BA1  4,170
264,BA1  5,312
265,BA1  6,380
266,BA1  7,144
267,BA1  8,27
268,BA1  9,3
269,BA10 0,112
270,BA11 1,210
271,BA11 2,259
272,BA11 3,171
273,BA11 4,155
274,BA11 5,127
275,BA11 6,36
276,BA12 0,274
277,BA12 6,82
278,BA12 7,60
279,BA12 8,485
280,BA12 9,293
281,BA13 2,50
282,BA13 3,366
283,BA13 4,108
284,BA14 0,673
285,BA14 6,145
286,BA14 7,773
287,BA14 8,593
288,BA14 9,346
289,BA15 1,203
290,BA15 2,78
291,BA16 0,346
292,BA16 9,55
293,BA2  0,62
294,BA2  1,433
295,BA2  2,439
296,BA2  3,516
297,BA2  4,385
298,BA2  5,268
299,BA2  6,337
300,BA2  7,388
301,BA2  8,163
302,BA2  9,56
303,BA20 1,255
304,BA20 2,274
305,BA21 3,502
306,BA21 4,566
307,BA21 5,396
308,BA22 7,81
309,BA22 8,187
310,BA22 9,57
311,BA3  2,151
312,BA3  3,159
313,BA3  4,137
314,BA3  5,97
315,BA4  4,156
316,BA4  5,501
317,BA4  6,89
318,BA5  1,130
319,BA5  2,237
320,BA5  3,93
321,BA6  8,183
322,BA6  9,181
323,BA7  7,71
324,BA8  0,76
325,BA9  8,38
326,BA9  9,275
327,BB1  1,326
328,BB1  2,275
329,BB1  3,92
330,BB1  4,57
331,BB1  5,191
332,BB1  6,32
333,BB1  7,45
334,BB1  8,191
335,BB1  9,110
336,BB10 1,209
337,BB10 2,130
338,BB10 3,90
339,BB10 4,125
340,BB11 2,73
341,BB11 3,80
342,BB11 4,138
343,BB11 5,144
344,BB12 0,107
345,BB12 6,89
346,BB12 7,70
347,BB12 8,89
348,BB12 9,22
349,BB18 5,170
350,BB18 6,201
351,BB2  1,260
352,BB2  2,164
353,BB2  3,339
354,BB2  4,262
355,BB2  5,51
356,BB2  6,258
357,BB2  7,77
358,BB3  0,131
359,BB3  1,102
360,BB3  2,133
361,BB3  3,250
362,BB4  4,73
363,BB4  5,109
364,BB4  6,98
365,BB4  7,76
366,BB4  8,67
367,BB4  9,59
368,BB5  0,278
369,BB5  1,230
370,BB5  2,155
371,BB5  3,72
372,BB5  4,139
373,BB5  5,175
374,BB5  6,182
375,BB6  7,148
376,BB6  8,59
377,BB7  1,192
378,BB7  2,85
379,BB7  3,31
380,BB7  4,43
381,BB7  9,168
