posstcode sector,All residents,WhiteTot,White%,MixedTot,Mixed%,Asian/Asian British,Asian/Asian British%,Black/African/Carribean/Black British,Black/African/Carribean/Black British%
B3   1,2441,1593.0,65.3,128.0,5.2,505.0,20.7,152.0,6.2
B3   2,133,81.0,60.9,6.0,4.5,38.0,28.6,5.0,3.8
B30  1,10109,9075.0,89.8,352.0,3.5,372.0,3.7,246.0,2.4
B30  2,11521,9364.0,81.3,481.0,4.2,1167.0,10.1,422.0,3.7
B30  3,7454,6068.0,81.4,343.0,4.6,590.0,7.9,376.0,5.0
B31  1,11388,9289.0,81.6,533.0,4.7,785.0,6.9,678.0,6.0
B31  2,12076,10074.0,83.4,578.0,4.8,682.0,5.6,642.0,5.3
B31  3,11150,9886.0,88.7,484.0,4.3,291.0,2.6,434.0,3.9
B31  4,9928,8880.0,89.4,370.0,3.7,230.0,2.3,394.0,4.0
B31  5,9760,8456.0,86.6,439.0,4.5,383.0,3.9,418.0,4.3
B32  1,9377,7193.0,76.7,454.0,4.8,917.0,9.8,698.0,7.4
B32  2,12079,8226.0,68.1,865.0,7.2,1471.0,12.2,1272.0,10.5
B32  3,11942,9604.0,80.4,660.0,5.5,628.0,5.3,956.0,8.0
B32  4,5120,4368.0,85.3,271.0,5.3,123.0,2.4,323.0,6.3
B33  0,10462,8928.0,85.3,508.0,4.9,422.0,4.0,549.0,5.2
B33  8,11937,7043.0,59.0,579.0,4.9,3203.0,26.8,985.0,8.3
B33  9,12114,8243.0,68.0,865.0,7.1,1921.0,15.9,981.0,8.1
B34  6,11167,7624.0,68.3,559.0,5.0,2339.0,20.9,560.0,5.0
B34  7,8160,7086.0,86.8,446.0,5.5,240.0,2.9,351.0,4.3
B35  6,4240,3722.0,87.8,234.0,5.5,54.0,1.3,203.0,4.8
B35  7,5731,4868.0,84.9,365.0,6.4,95.0,1.7,376.0,6.6
B36  0,12698,11705.0,92.2,393.0,3.1,168.0,1.3,405.0,3.2
B36  8,12779,6251.0,48.9,684.0,5.4,4202.0,32.9,1462.0,11.4
B36  9,9274,8473.0,91.4,250.0,2.7,268.0,2.9,255.0,2.7
B37  5,9965,9038.0,90.7,389.0,3.9,178.0,1.8,343.0,3.4
B37  6,11857,10848.0,91.5,442.0,3.7,136.0,1.1,421.0,3.6
B37  7,13906,12713.0,91.4,467.0,3.4,282.0,2.0,417.0,3.0
B38  0,2084,1874.0,89.9,87.0,4.2,45.0,2.2,67.0,3.2
B38  8,9201,8107.0,88.1,370.0,4.0,302.0,3.3,339.0,3.7
B38  9,10069,8335.0,82.8,648.0,6.4,335.0,3.3,661.0,6.6
B4   6,340,190.0,55.9,20.0,5.9,80.0,23.5,33.0,9.7
B4   7,4343,1697.0,39.1,142.0,3.3,2006.0,46.2,374.0,8.6
B42  1,10974,5467.0,49.8,475.0,4.3,3289.0,30.0,1603.0,14.6
B42  2,13393,9363.0,69.9,501.0,3.7,2005.0,15.0,1431.0,10.7
B43  5,10947,7523.0,68.7,328.0,3.0,2012.0,18.4,972.0,8.9
B43  6,6541,4390.0,67.1,114.0,1.7,1603.0,24.5,254.0,3.9
B43  7,10953,9664.0,88.2,179.0,1.6,801.0,7.3,269.0,2.5
B44  0,15427,12904.0,83.6,670.0,4.3,658.0,4.3,1122.0,7.3
B44  8,10020,7860.0,78.4,317.0,3.2,1014.0,10.1,791.0,7.9
B44  9,11644,9999.0,85.9,411.0,3.5,563.0,4.8,638.0,5.5
B45  0,7143,6230.0,87.2,388.0,5.4,149.0,2.1,338.0,4.7
B45  8,10605,9864.0,93.0,284.0,2.7,263.0,2.5,171.0,1.6
B45  9,12437,11679.0,93.9,336.0,2.7,170.0,1.4,230.0,1.8
B46  1,7223,7059.0,97.7,84.0,1.2,49.0,0.7,29.0,0.4
B46  2,2147,2118.0,98.6,17.0,0.8,11.0,0.5,1.0,0.0
B46  3,2702,2626.0,97.2,34.0,1.3,26.0,1.0,14.0,0.5
B47  5,6596,6346.0,96.2,97.0,1.5,116.0,1.8,32.0,0.5
B47  6,2759,2641.0,95.7,48.0,1.7,53.0,1.9,15.0,0.5
B48  7,5796,5578.0,96.2,95.0,1.6,97.0,1.7,18.0,0.3
B49  5,4344,4248.0,97.8,39.0,0.9,44.0,1.0,8.0,0.2
B49  6,5845,5759.0,98.5,35.0,0.6,42.0,0.7,6.0,0.1
B5   4,2134,898.0,42.1,94.0,4.4,897.0,42.0,131.0,6.1
B5   5,865,486.0,56.2,33.0,3.8,247.0,28.6,41.0,4.7
B5   6,222,105.0,47.3,9.0,4.1,86.0,38.7,16.0,7.2
B5   7,8762,3435.0,39.2,576.0,6.6,2636.0,30.1,1553.0,17.7
B50  4,5350,5270.0,98.5,44.0,0.8,25.0,0.5,5.0,0.1
B6   4,1090,147.0,13.5,69.0,6.3,430.0,39.4,406.0,37.2
B6   5,4388,587.0,13.4,215.0,4.9,2175.0,49.6,1331.0,30.3
B6   6,11456,815.0,7.1,302.0,2.6,8786.0,76.7,1397.0,12.2
B6   7,2730,873.0,32.0,132.0,4.8,1028.0,37.7,662.0,24.2
B60  1,7692,7390.0,96.1,106.0,1.4,157.0,2.0,23.0,0.3
B60  2,7881,7512.0,95.3,96.0,1.2,216.0,2.7,20.0,0.3
B60  3,9030,8713.0,96.5,165.0,1.8,108.0,1.2,34.0,0.4
B60  4,3348,3295.0,98.4,34.0,1.0,13.0,0.4,5.0,0.1
B61  0,10028,9697.0,96.7,116.0,1.2,153.0,1.5,42.0,0.4
B61  7,5187,4828.0,93.1,89.0,1.7,224.0,4.3,40.0,0.8
B61  8,5803,5652.0,97.4,61.0,1.1,68.0,1.2,19.0,0.3
B61  9,2452,2401.0,97.9,18.0,0.7,30.0,1.2,2.0,0.1
B62  0,6307,5824.0,92.3,98.0,1.6,305.0,4.8,56.0,0.9
B62  8,8042,6992.0,86.9,111.0,1.4,753.0,9.4,108.0,1.3
B62  9,10052,8555.0,85.1,229.0,2.3,1039.0,10.3,153.0,1.5
B63  1,5920,5688.0,96.1,76.0,1.3,94.0,1.6,30.0,0.5
B63  2,12109,10795.0,89.1,286.0,2.4,503.0,4.2,121.0,1.0
B63  3,7834,7363.0,94.0,127.0,1.6,164.0,2.1,86.0,1.1
B63  4,10568,9426.0,89.2,170.0,1.6,381.0,3.6,142.0,1.3
B64  5,3740,3332.0,89.1,69.0,1.8,257.0,6.9,44.0,1.2
B64  6,6879,5636.0,81.9,184.0,2.7,807.0,11.7,180.0,2.6
B64  7,5909,5465.0,92.5,120.0,2.0,232.0,3.9,50.0,0.8
B65  0,5899,4794.0,81.3,177.0,3.0,640.0,10.8,242.0,4.1
B65  8,7767,7034.0,90.6,176.0,2.3,399.0,5.1,145.0,1.9
B65  9,10104,9170.0,90.8,223.0,2.2,424.0,4.2,244.0,2.4
B66  1,3650,874.0,23.9,154.0,4.2,2107.0,57.7,395.0,10.8
B66  2,1588,263.0,16.6,55.0,3.5,1131.0,71.2,117.0,7.4
B66  3,7268,1827.0,25.1,443.0,6.1,2904.0,40.0,1819.0,25.0
B66  4,8828,3080.0,34.9,393.0,4.5,3908.0,44.3,1087.0,12.3
B67  5,9923,7806.0,78.7,491.0,4.9,957.0,9.6,572.0,5.8
B67  6,10540,6467.0,61.4,550.0,5.2,2510.0,23.8,797.0,7.6
B67  7,9924,2962.0,29.8,389.0,3.9,5140.0,51.8,902.0,9.1
B68  0,9240,7373.0,79.8,269.0,2.9,1030.0,11.1,487.0,5.3
B68  8,9686,6668.0,68.8,339.0,3.5,2007.0,20.7,506.0,5.2
B68  9,11662,8215.0,70.4,536.0,4.6,2194.0,18.8,577.0,4.9
B69  1,14938,12441.0,83.3,488.0,3.3,1092.0,7.3,796.0,5.3
B69  2,5166,3105.0,60.1,178.0,3.4,1370.0,26.5,456.0,8.8
B69  3,3550,1885.0,53.1,128.0,3.6,1037.0,29.2,369.0,10.4
B69  4,5304,3320.0,62.6,241.0,4.5,1330.0,25.1,359.0,6.8
B7   4,3586,941.0,26.2,346.0,9.6,601.0,16.8,1562.0,43.6
B7   5,4960,1548.0,31.2,410.0,8.3,1012.0,20.4,1788.0,36.0
B70  0,6915,4364.0,63.1,173.0,2.5,1739.0,25.1,486.0,7.0
B70  6,6871,2639.0,38.4,288.0,4.2,2967.0,43.2,726.0,10.6
B70  7,3039,1947.0,64.1,131.0,4.3,615.0,20.2,274.0,9.0
B70  8,3915,1785.0,45.6,108.0,2.8,1639.0,41.9,213.0,5.4
B70  9,7252,4162.0,57.4,246.0,3.4,2033.0,28.0,571.0,7.9
B71  1,8545,5590.0,65.4,394.0,4.6,1763.0,20.6,722.0,8.4
B71  2,10140,8198.0,80.8,355.0,3.5,982.0,9.7,534.0,5.3
B71  3,8645,6843.0,79.2,284.0,3.3,970.0,11.2,427.0,4.9
B71  4,3660,2451.0,67.0,140.0,3.8,784.0,21.4,219.0,6.0
B72  1,9569,8392.0,87.7,236.0,2.5,724.0,7.6,166.0,1.7
B73  5,13303,11761.0,88.4,341.0,2.6,818.0,6.1,323.0,2.4
B73  6,9498,7970.0,83.9,213.0,2.2,973.0,10.2,274.0,2.9
B74  2,9906,8408.0,84.9,186.0,1.9,1081.0,10.9,146.0,1.5
B74  3,11322,9971.0,88.1,153.0,1.4,1048.0,9.3,96.0,0.8
B74  4,11242,10055.0,89.4,174.0,1.5,785.0,7.0,155.0,1.4
B75  5,8079,7248.0,89.7,183.0,2.3,502.0,6.2,106.0,1.3
B75  6,8894,8171.0,91.9,131.0,1.5,489.0,5.5,85.0,1.0
B75  7,9714,8559.0,88.1,313.0,3.2,512.0,5.3,300.0,3.1
B76  0,378,357.0,94.4,7.0,1.9,12.0,3.2,2.0,0.5
B76  1,11672,10491.0,89.9,199.0,1.7,699.0,6.0,228.0,2.0
B76  2,6525,5851.0,89.7,143.0,2.2,367.0,5.6,135.0,2.1
B76  9,3076,2892.0,94.0,64.0,2.1,69.0,2.2,42.0,1.4
B77  1,10716,10438.0,97.4,90.0,0.8,130.0,1.2,49.0,0.5
B77  2,14627,14333.0,98.0,123.0,0.8,85.0,0.6,75.0,0.5
B77  3,8833,8624.0,97.6,87.0,1.0,86.0,1.0,23.0,0.3
B77  4,14200,13738.0,96.7,200.0,1.4,147.0,1.0,88.0,0.6
B77  5,8937,8642.0,96.7,111.0,1.2,87.0,1.0,88.0,1.0
B78  1,10197,10011.0,98.2,63.0,0.6,80.0,0.8,34.0,0.3
B78  2,4379,4291.0,98.0,35.0,0.8,36.0,0.8,9.0,0.2
B78  3,9798,9530.0,97.3,90.0,0.9,115.0,1.2,45.0,0.5
B79  0,3210,3158.0,98.4,23.0,0.7,25.0,0.8,3.0,0.1
B79  7,6117,5944.0,97.2,66.0,1.1,78.0,1.3,21.0,0.3
B79  8,10494,10220.0,97.4,103.0,1.0,127.0,1.2,35.0,0.3
B79  9,2305,2283.0,99.0,9.0,0.4,11.0,0.5,1.0,0.0
B8   1,10570,644.0,6.1,241.0,2.3,8573.0,81.1,938.0,8.9
B8   2,15262,3956.0,25.9,541.0,3.5,9332.0,61.1,1163.0,7.6
B8   3,16097,2068.0,12.8,467.0,2.9,11840.0,73.6,1450.0,9.0
B80  7,7060,6847.0,97.0,96.0,1.4,76.0,1.1,26.0,0.4
B9   4,4358,863.0,19.8,275.0,6.3,2074.0,47.6,925.0,21.2
B9   5,20545,3751.0,18.3,986.0,4.8,12824.0,62.4,2299.0,11.2
B90  1,10555,9493.0,89.9,212.0,2.0,704.0,6.7,106.0,1.0
B90  2,12790,11364.0,88.9,207.0,1.6,1053.0,8.2,90.0,0.7
B90  3,10416,8647.0,83.0,206.0,2.0,1381.0,13.3,104.0,1.0
B90  4,11598,10076.0,86.9,177.0,1.5,1114.0,9.6,106.0,0.9
B91  1,10876,9053.0,83.2,152.0,1.4,1428.0,13.1,87.0,0.8
B91  2,11752,9675.0,82.3,241.0,2.1,1522.0,13.0,180.0,1.5
B91  3,10538,9158.0,86.9,167.0,1.6,1028.0,9.8,71.0,0.7
B92  0,3980,3588.0,90.2,74.0,1.9,260.0,6.5,29.0,0.7
B92  7,12664,10643.0,84.0,252.0,2.0,1435.0,11.3,242.0,1.9
B92  8,12428,10899.0,87.7,230.0,1.9,1078.0,8.7,129.0,1.0
B92  9,8173,7303.0,89.4,100.0,1.2,621.0,7.6,96.0,1.2
B93  0,3467,3359.0,96.9,41.0,1.2,41.0,1.2,23.0,0.7
B93  8,7783,7370.0,94.7,105.0,1.3,245.0,3.1,43.0,0.6
B93  9,8456,8032.0,95.0,101.0,1.2,248.0,2.9,25.0,0.3
B94  5,3870,3719.0,96.1,24.0,0.6,105.0,2.7,13.0,0.3
B94  6,3510,3383.0,96.4,38.0,1.1,64.0,1.8,11.0,0.3
B95  5,3908,3845.0,98.4,29.0,0.7,24.0,0.6,3.0,0.1
B95  6,1755,1733.0,98.7,13.0,0.7,4.0,0.2,0.0,0.0
B96  6,5073,4962.0,97.8,43.0,0.8,42.0,0.8,15.0,0.3
B97  4,5757,4973.0,86.4,116.0,2.0,600.0,10.4,64.0,1.1
B97  5,16741,16120.0,96.3,239.0,1.4,259.0,1.5,91.0,0.5
B97  6,10996,9885.0,89.9,329.0,3.0,541.0,4.9,207.0,1.9
B98  0,14516,13798.0,95.1,274.0,1.9,304.0,2.1,109.0,0.8
B98  7,19783,17752.0,89.7,458.0,2.3,1247.0,6.3,284.0,1.4
B98  8,9422,7996.0,84.9,197.0,2.1,1081.0,11.5,126.0,1.3
B98  9,6337,6093.0,96.1,92.0,1.5,90.0,1.4,52.0,0.8
BA1  1,1875,1437.0,76.6,59.0,3.1,307.0,16.4,28.0,1.5
BA1  2,6533,5933.0,90.8,168.0,2.6,252.0,3.9,109.0,1.7
BA1  3,7564,7011.0,92.7,182.0,2.4,222.0,2.9,103.0,1.4
BA1  4,5319,4838.0,91.0,116.0,2.2,263.0,4.9,67.0,1.3
BA1  5,4524,4138.0,91.5,90.0,2.0,221.0,4.9,39.0,0.9
BA1  6,8242,7667.0,93.0,208.0,2.5,191.0,2.3,140.0,1.7
BA1  7,5514,5295.0,96.0,99.0,1.8,73.0,1.3,29.0,0.5
BA1  8,904,870.0,96.2,14.0,1.5,15.0,1.7,0.0,0.0
BA1  9,248,236.0,95.2,8.0,3.2,3.0,1.2,1.0,0.4
BA10 0,3739,3612.0,96.6,42.0,1.1,64.0,1.7,17.0,0.5
BA11 1,4992,4824.0,96.6,64.0,1.3,79.0,1.6,22.0,0.4
BA11 2,10935,10762.0,98.4,84.0,0.8,69.0,0.6,16.0,0.1
BA11 3,4944,4824.0,97.6,74.0,1.5,35.0,0.7,10.0,0.2
BA11 4,6285,6174.0,98.2,49.0,0.8,46.0,0.7,11.0,0.2
BA11 5,3424,3342.0,97.6,33.0,1.0,38.0,1.1,11.0,0.3
BA11 6,1874,1855.0,99.0,11.0,0.6,4.0,0.2,3.0,0.2
BA12 0,5660,5419.0,95.7,61.0,1.1,59.0,1.0,98.0,1.7
BA12 6,4285,4246.0,99.1,14.0,0.3,22.0,0.5,3.0,0.1
BA12 7,3068,3036.0,99.0,14.0,0.5,16.0,0.5,2.0,0.1
BA12 8,8989,8768.0,97.5,71.0,0.8,110.0,1.2,27.0,0.3
BA12 9,6506,6265.0,96.3,83.0,1.3,106.0,1.6,44.0,0.7
BA13 2,1303,1264.0,97.0,12.0,0.9,21.0,1.6,2.0,0.2
BA13 3,12876,12626.0,98.1,124.0,1.0,82.0,0.6,31.0,0.2
BA13 4,6045,5937.0,98.2,52.0,0.9,40.0,0.7,12.0,0.2
BA14 0,12465,11882.0,95.3,211.0,1.7,170.0,1.4,116.0,0.9
BA14 6,5938,5804.0,97.7,73.0,1.2,33.0,0.6,18.0,0.3
BA14 7,15181,14454.0,95.2,278.0,1.8,154.0,1.0,157.0,1.0
BA14 8,5810,5465.0,94.1,125.0,2.2,105.0,1.8,74.0,1.3
BA14 9,8744,8455.0,96.7,130.0,1.5,78.0,0.9,51.0,0.6
BA15 1,9149,8945.0,97.8,115.0,1.3,43.0,0.5,29.0,0.3
BA15 2,3990,3902.0,97.8,60.0,1.5,20.0,0.5,5.0,0.1
BA16 0,10396,10014.0,96.3,133.0,1.3,185.0,1.8,40.0,0.4
BA16 9,2645,2618.0,99.0,16.0,0.6,10.0,0.4,0.0,0.0
BA2  0,4579,4494.0,98.1,31.0,0.7,42.0,0.9,9.0,0.2
BA2  1,12851,12003.0,93.4,355.0,2.8,274.0,2.1,192.0,1.5
BA2  2,10477,9780.0,93.3,176.0,1.7,313.0,3.0,129.0,1.2
BA2  3,9376,8435.0,90.0,193.0,2.1,599.0,6.4,92.0,1.0
BA2  4,6277,5726.0,91.2,147.0,2.3,323.0,5.1,31.0,0.5
BA2  5,7220,6801.0,94.2,165.0,2.3,157.0,2.2,61.0,0.8
BA2  6,6122,5668.0,92.6,118.0,1.9,248.0,4.1,45.0,0.7
BA2  7,7173,6546.0,91.3,120.0,1.7,424.0,5.9,49.0,0.7
BA2  8,7655,7453.0,97.4,81.0,1.1,86.0,1.1,25.0,0.3
BA2  9,2022,1947.0,96.3,33.0,1.6,29.0,1.4,8.0,0.4
BA20 1,2173,2062.0,94.9,23.0,1.1,72.0,3.3,13.0,0.6
BA20 2,8692,8510.0,97.9,54.0,0.6,75.0,0.9,32.0,0.4
BA21 3,15100,14664.0,97.1,140.0,0.9,212.0,1.4,53.0,0.4
BA21 4,8900,8416.0,94.6,89.0,1.0,358.0,4.0,23.0,0.3
BA21 5,9619,9425.0,98.0,84.0,0.9,74.0,0.8,20.0,0.2
BA22 7,3881,3850.0,99.2,15.0,0.4,8.0,0.2,6.0,0.2
BA22 8,8965,8814.0,98.3,62.0,0.7,51.0,0.6,26.0,0.3
BA22 9,5320,5245.0,98.6,41.0,0.8,24.0,0.5,6.0,0.1
BA3  2,9801,9598.0,97.9,58.0,0.6,91.0,0.9,27.0,0.3
BA3  3,10411,10189.0,97.9,100.0,1.0,82.0,0.8,27.0,0.3
BA3  4,7556,7427.0,98.3,70.0,0.9,38.0,0.5,15.0,0.2
BA3  5,6942,6856.0,98.8,46.0,0.7,27.0,0.4,10.0,0.1
BA4  4,5159,5087.0,98.6,31.0,0.6,25.0,0.5,12.0,0.2
BA4  5,8299,8115.0,97.8,72.0,0.9,86.0,1.0,18.0,0.2
BA4  6,4317,4249.0,98.4,21.0,0.5,39.0,0.9,2.0,0.0
BA5  1,6065,6000.0,98.9,36.0,0.6,25.0,0.4,2.0,0.0
BA5  2,7253,7051.0,97.2,67.0,0.9,117.0,1.6,11.0,0.2
BA5  3,4216,4152.0,98.5,33.0,0.8,27.0,0.6,4.0,0.1
BA6  8,6437,6326.0,98.3,60.0,0.9,32.0,0.5,12.0,0.2
