posstcode sector,All residents,WhiteTot,White%,MixedTot,Mixed%,Asian/Asian British,Asian/Asian British%,Black/African/Carribean/Black British,Black/African/Carribean/Black British%
NG9  7,6003,5710.0,95.1,90.0,1.5,135.0,2.2,50.0,0.8
NG9  8,9238,8864.0,96.0,165.0,1.8,113.0,1.2,76.0,0.8
NN1  1,1701,1367.0,80.4,90.0,5.3,114.0,6.7,104.0,6.1
NN1  2,3140,2032.0,64.7,121.0,3.9,295.0,9.4,638.0,20.3
NN1  3,6228,4290.0,68.9,267.0,4.3,1125.0,18.1,466.0,7.5
NN1  4,10540,8737.0,82.9,328.0,3.1,889.0,8.4,538.0,5.1
NN1  5,8225,6668.0,81.1,294.0,3.6,693.0,8.4,435.0,5.3
NN10 0,13451,12746.0,94.8,224.0,1.7,262.0,1.9,177.0,1.3
NN10 6,5632,5363.0,95.2,95.0,1.7,86.0,1.5,78.0,1.4
NN10 8,8083,7798.0,96.5,111.0,1.4,93.0,1.2,73.0,0.9
NN10 9,11065,10683.0,96.5,127.0,1.1,150.0,1.4,88.0,0.8
NN11 0,5373,5131.0,95.5,86.0,1.6,123.0,2.3,32.0,0.6
NN11 2,1313,1279.0,97.4,9.0,0.7,20.0,1.5,4.0,0.3
NN11 3,6290,6133.0,97.5,74.0,1.2,59.0,0.9,17.0,0.3
NN11 4,11581,11052.0,95.4,158.0,1.4,271.0,2.3,95.0,0.8
NN11 6,3054,3020.0,98.9,17.0,0.6,15.0,0.5,1.0,0.0
NN11 7,1759,1737.0,98.7,15.0,0.9,7.0,0.4,0.0,0.0
NN11 8,1488,1392.0,93.5,35.0,2.4,30.0,2.0,31.0,2.1
NN11 9,6584,6301.0,95.7,90.0,1.4,145.0,2.2,25.0,0.4
NN12 6,7603,7371.0,96.9,91.0,1.2,107.0,1.4,21.0,0.3
NN12 7,6189,6042.0,97.6,57.0,0.9,64.0,1.0,23.0,0.4
NN12 8,9235,9045.0,97.9,91.0,1.0,66.0,0.7,21.0,0.2
NN13 5,5528,5312.0,96.1,94.0,1.7,74.0,1.3,36.0,0.7
NN13 6,10250,10017.0,97.7,100.0,1.0,95.0,0.9,27.0,0.3
NN13 7,2950,2873.0,97.4,41.0,1.4,23.0,0.8,11.0,0.4
NN14 1,10009,9770.0,97.6,103.0,1.0,68.0,0.7,39.0,0.4
NN14 2,10697,10327.0,96.5,170.0,1.6,119.0,1.1,73.0,0.7
NN14 3,4349,4297.0,98.8,22.0,0.5,19.0,0.4,5.0,0.1
NN14 4,10520,10269.0,97.6,99.0,0.9,100.0,1.0,30.0,0.3
NN14 6,7694,7500.0,97.5,76.0,1.0,77.0,1.0,31.0,0.4
NN15 5,14736,14095.0,95.7,151.0,1.0,361.0,2.4,89.0,0.6
NN15 6,13282,12414.0,93.5,191.0,1.4,450.0,3.4,167.0,1.3
NN15 7,5947,5403.0,90.9,88.0,1.5,320.0,5.4,102.0,1.7
NN16 0,7566,6929.0,91.6,161.0,2.1,281.0,3.7,135.0,1.8
NN16 8,7921,6930.0,87.5,159.0,2.0,586.0,7.4,174.0,2.2
NN16 9,14656,13438.0,91.7,201.0,1.4,757.0,5.2,163.0,1.1
NN17 1,9666,9385.0,97.1,119.0,1.2,94.0,1.0,50.0,0.5
NN17 2,12295,11969.0,97.3,156.0,1.3,94.0,0.8,55.0,0.4
NN17 3,4163,4118.0,98.9,20.0,0.5,19.0,0.5,5.0,0.1
NN17 4,585,544.0,93.0,14.0,2.4,6.0,1.0,17.0,2.9
NN18 0,8803,8540.0,97.0,90.0,1.0,90.0,1.0,61.0,0.7
NN18 8,14719,13375.0,90.9,288.0,2.0,340.0,2.3,685.0,4.7
NN18 9,9389,8977.0,95.6,129.0,1.4,137.0,1.5,133.0,1.4
NN2  6,9413,7822.0,83.1,317.0,3.4,674.0,7.2,524.0,5.6
NN2  7,14586,12195.0,83.6,534.0,3.7,1033.0,7.1,740.0,5.1
NN2  8,14140,13129.0,92.9,227.0,1.6,521.0,3.7,208.0,1.5
NN29 7,11520,11200.0,97.2,157.0,1.4,109.0,0.9,37.0,0.3
NN3  2,11653,9706.0,83.3,477.0,4.1,783.0,6.7,614.0,5.3
NN3  3,9133,7941.0,86.9,167.0,1.8,728.0,8.0,229.0,2.5
NN3  5,9237,7746.0,83.9,343.0,3.7,344.0,3.7,754.0,8.2
NN3  6,6916,6388.0,92.4,140.0,2.0,208.0,3.0,143.0,2.1
NN3  7,5931,5711.0,96.3,77.0,1.3,96.0,1.6,38.0,0.6
NN3  8,16057,12233.0,76.2,786.0,4.9,1167.0,7.3,1727.0,10.8
NN3  9,9659,7871.0,81.5,266.0,2.8,899.0,9.3,575.0,6.0
NN4  0,10706,9536.0,89.1,290.0,2.7,546.0,5.1,265.0,2.5
NN4  5,4404,3823.0,86.8,113.0,2.6,340.0,7.7,111.0,2.5
NN4  6,10674,9474.0,88.8,244.0,2.3,644.0,6.0,246.0,2.3
NN4  7,642,632.0,98.4,2.0,0.3,7.0,1.1,1.0,0.2
NN4  8,14515,12558.0,86.5,549.0,3.8,650.0,4.5,662.0,4.6
NN4  9,5773,5126.0,88.8,160.0,2.8,292.0,5.1,167.0,2.9
NN5  4,4252,3704.0,87.1,157.0,3.7,244.0,5.7,107.0,2.5
NN5  5,7086,5753.0,81.2,251.0,3.5,588.0,8.3,458.0,6.5
NN5  6,15997,15020.0,93.9,284.0,1.8,356.0,2.2,257.0,1.6
NN5  7,10715,8224.0,76.8,552.0,5.2,974.0,9.1,869.0,8.1
NN6  0,7859,7653.0,97.4,106.0,1.3,59.0,0.8,29.0,0.4
NN6  6,3043,3010.0,98.9,26.0,0.9,6.0,0.2,0.0,0.0
NN6  7,7837,7655.0,97.7,82.0,1.0,80.0,1.0,16.0,0.2
NN6  8,5329,5228.0,98.1,43.0,0.8,38.0,0.7,19.0,0.4
NN6  9,9256,9021.0,97.5,93.0,1.0,83.0,0.9,40.0,0.4
NN7  1,4644,4543.0,97.8,48.0,1.0,45.0,1.0,3.0,0.1
NN7  2,6678,6469.0,96.9,90.0,1.3,83.0,1.2,27.0,0.4
NN7  3,7891,7730.0,98.0,90.0,1.1,54.0,0.7,15.0,0.2
NN7  4,8086,7936.0,98.1,64.0,0.8,56.0,0.7,28.0,0.3
NN8  1,7082,4917.0,69.4,224.0,3.2,1532.0,21.6,359.0,5.1
NN8  2,11325,10055.0,88.8,394.0,3.5,393.0,3.5,459.0,4.1
NN8  3,12439,10533.0,84.7,532.0,4.3,572.0,4.6,749.0,6.0
NN8  4,10554,8112.0,76.9,486.0,4.6,1167.0,11.1,735.0,7.0
NN8  5,7647,6639.0,86.8,154.0,2.0,546.0,7.1,291.0,3.8
NN9  5,14887,14320.0,96.2,260.0,1.7,180.0,1.2,108.0,0.7
NN9  6,11390,11112.0,97.6,92.0,0.8,103.0,0.9,65.0,0.6
NR1  1,4788,4178.0,87.3,107.0,2.2,368.0,7.7,86.0,1.8
NR1  2,8023,7415.0,92.4,176.0,2.2,289.0,3.6,107.0,1.3
NR1  3,4305,3850.0,89.4,142.0,3.3,224.0,5.2,58.0,1.3
NR1  4,7675,7220.0,94.1,150.0,2.0,163.0,2.1,110.0,1.4
NR10 3,10594,10414.0,98.3,69.0,0.7,68.0,0.6,25.0,0.2
NR10 4,5573,5520.0,99.0,33.0,0.6,8.0,0.1,5.0,0.1
NR10 5,6645,6471.0,97.4,57.0,0.9,40.0,0.6,57.0,0.9
NR11 6,7772,7684.0,98.9,35.0,0.5,44.0,0.6,6.0,0.1
NR11 7,2976,2942.0,98.9,21.0,0.7,8.0,0.3,4.0,0.1
NR11 8,6933,6865.0,99.0,42.0,0.6,17.0,0.2,6.0,0.1
NR12 0,4503,4461.0,99.1,18.0,0.4,15.0,0.3,5.0,0.1
NR12 7,3427,3377.0,98.5,23.0,0.7,18.0,0.5,7.0,0.2
NR12 8,6715,6602.0,98.3,49.0,0.7,42.0,0.6,17.0,0.3
NR12 9,5790,5734.0,99.0,41.0,0.7,13.0,0.2,1.0,0.0
NR13 3,6802,6705.0,98.6,47.0,0.7,33.0,0.5,7.0,0.1
NR13 4,6925,6825.0,98.6,34.0,0.5,48.0,0.7,10.0,0.1
NR13 5,7558,7376.0,97.6,69.0,0.9,77.0,1.0,28.0,0.4
NR13 6,5404,5317.0,98.4,37.0,0.7,28.0,0.5,11.0,0.2
NR14 6,7305,7173.0,98.2,68.0,0.9,54.0,0.7,6.0,0.1
NR14 7,8272,8136.0,98.4,73.0,0.9,48.0,0.6,9.0,0.1
NR14 8,8170,8032.0,98.3,69.0,0.8,52.0,0.6,12.0,0.1
NR15 1,6850,6749.0,98.5,50.0,0.7,36.0,0.5,2.0,0.0
NR15 2,8956,8802.0,98.3,81.0,0.9,55.0,0.6,11.0,0.1
NR16 1,5532,5460.0,98.7,36.0,0.7,18.0,0.3,14.0,0.3
NR16 2,6421,6316.0,98.4,50.0,0.8,34.0,0.5,13.0,0.2
NR17 1,7062,6948.0,98.4,64.0,0.9,25.0,0.4,13.0,0.2
NR17 2,8710,8499.0,97.6,64.0,0.7,99.0,1.1,41.0,0.5
NR18 0,12223,11884.0,97.2,152.0,1.2,138.0,1.1,36.0,0.3
NR18 9,5333,5152.0,96.6,77.0,1.4,78.0,1.5,21.0,0.4
NR19 1,11053,10811.0,97.8,116.0,1.0,84.0,0.8,32.0,0.3
NR19 2,9306,9112.0,97.9,111.0,1.2,58.0,0.6,21.0,0.2
NR2  1,1114,1028.0,92.3,29.0,2.6,37.0,3.3,11.0,1.0
NR2  2,6762,6177.0,91.3,208.0,3.1,239.0,3.5,103.0,1.5
NR2  3,12032,11188.0,93.0,310.0,2.6,357.0,3.0,102.0,0.8
NR2  4,6043,5563.0,92.1,147.0,2.4,178.0,2.9,102.0,1.7
NR20 3,7439,7345.0,98.7,53.0,0.7,31.0,0.4,9.0,0.1
NR20 4,6941,6805.0,98.0,51.0,0.7,40.0,0.6,37.0,0.5
NR20 5,4951,4868.0,98.3,39.0,0.8,32.0,0.6,5.0,0.1
NR21 0,3250,3223.0,99.2,17.0,0.5,6.0,0.2,2.0,0.1
NR21 7,3295,3252.0,98.7,25.0,0.8,14.0,0.4,2.0,0.1
NR21 8,5164,5083.0,98.4,34.0,0.7,40.0,0.8,2.0,0.0
NR21 9,4106,4038.0,98.3,24.0,0.6,31.0,0.8,9.0,0.2
NR22 6,819,806.0,98.4,6.0,0.7,3.0,0.4,4.0,0.5
NR23 1,3009,2972.0,98.8,18.0,0.6,15.0,0.5,4.0,0.1
NR24 2,4462,4411.0,98.9,25.0,0.6,19.0,0.4,5.0,0.1
NR25 6,5511,5430.0,98.5,30.0,0.5,40.0,0.7,10.0,0.2
NR25 7,3367,3337.0,99.1,11.0,0.3,16.0,0.5,2.0,0.1
NR26 8,8299,8192.0,98.7,51.0,0.6,39.0,0.5,10.0,0.1
NR27 0,5250,5187.0,98.8,28.0,0.5,28.0,0.5,6.0,0.1
NR27 9,6483,6341.0,97.8,59.0,0.9,68.0,1.0,11.0,0.2
NR28 0,9282,9173.0,98.8,57.0,0.6,43.0,0.5,5.0,0.1
NR28 9,8250,8130.0,98.5,54.0,0.7,49.0,0.6,8.0,0.1
NR29 3,6914,6843.0,99.0,34.0,0.5,28.0,0.4,4.0,0.1
NR29 4,8411,8330.0,99.0,40.0,0.5,22.0,0.3,15.0,0.2
NR29 5,4599,4577.0,99.5,8.0,0.2,8.0,0.2,4.0,0.1
NR3  1,4742,4297.0,90.6,122.0,2.6,218.0,4.6,65.0,1.4
NR3  2,8834,8273.0,93.6,214.0,2.4,161.0,1.8,152.0,1.7
NR3  3,10413,9648.0,92.7,225.0,2.2,288.0,2.8,183.0,1.8
NR3  4,8982,8352.0,93.0,175.0,1.9,257.0,2.9,137.0,1.5
NR30 1,4431,4254.0,96.0,71.0,1.6,63.0,1.4,31.0,0.7
NR30 2,5565,4987.0,89.6,245.0,4.4,159.0,2.9,102.0,1.8
NR30 3,4419,4202.0,95.1,127.0,2.9,42.0,1.0,32.0,0.7
NR30 4,7210,7029.0,97.5,78.0,1.1,55.0,0.8,33.0,0.5
NR30 5,9076,8899.0,98.0,79.0,0.9,70.0,0.8,17.0,0.2
NR31 0,7144,6874.0,96.2,116.0,1.6,88.0,1.2,49.0,0.7
NR31 6,8799,8495.0,96.5,85.0,1.0,139.0,1.6,44.0,0.5
NR31 7,11015,10423.0,94.6,120.0,1.1,383.0,3.5,56.0,0.5
NR31 8,13107,12837.0,97.9,107.0,0.8,103.0,0.8,42.0,0.3
NR31 9,9849,9712.0,98.6,54.0,0.5,49.0,0.5,14.0,0.1
NR32 1,3922,3760.0,95.9,56.0,1.4,74.0,1.9,27.0,0.7
NR32 2,9238,8928.0,96.6,114.0,1.2,148.0,1.6,35.0,0.4
NR32 3,8222,8069.0,98.1,72.0,0.9,58.0,0.7,11.0,0.1
NR32 4,13267,13008.0,98.0,126.0,0.9,87.0,0.7,34.0,0.3
NR32 5,4008,3801.0,94.8,63.0,1.6,60.0,1.5,83.0,2.1
NR33 0,8315,8034.0,96.6,135.0,1.6,91.0,1.1,32.0,0.4
NR33 7,9176,9002.0,98.1,84.0,0.9,66.0,0.7,16.0,0.2
NR33 8,13572,13264.0,97.7,149.0,1.1,110.0,0.8,40.0,0.3
NR33 9,8404,8254.0,98.2,69.0,0.8,43.0,0.5,37.0,0.4
NR34 0,2235,2207.0,98.7,18.0,0.8,5.0,0.2,3.0,0.1
NR34 7,7729,7610.0,98.5,59.0,0.8,39.0,0.5,19.0,0.2
NR34 8,3002,2970.0,98.9,16.0,0.5,11.0,0.4,5.0,0.2
NR34 9,9303,9117.0,98.0,93.0,1.0,62.0,0.7,11.0,0.1
NR35 1,5723,5586.0,97.6,74.0,1.3,47.0,0.8,7.0,0.1
NR35 2,5171,5102.0,98.7,31.0,0.6,27.0,0.5,4.0,0.1
NR4  6,8885,8216.0,92.5,144.0,1.6,381.0,4.3,103.0,1.2
NR4  7,12637,10345.0,81.9,331.0,2.6,1506.0,11.9,298.0,2.4
NR5  0,8438,8131.0,96.4,97.0,1.1,129.0,1.5,56.0,0.7
NR5  8,12837,11561.0,90.1,302.0,2.4,619.0,4.8,281.0,2.2
NR5  9,8013,6829.0,85.2,149.0,1.9,538.0,6.7,203.0,2.5
NR6  5,7104,6907.0,97.2,65.0,0.9,99.0,1.4,26.0,0.4
NR6  6,7506,7172.0,95.6,102.0,1.4,155.0,2.1,53.0,0.7
NR6  7,9298,9035.0,97.2,91.0,1.0,113.0,1.2,30.0,0.3
NR7  0,13532,13005.0,96.1,190.0,1.4,253.0,1.9,53.0,0.4
NR7  8,11040,10719.0,97.1,110.0,1.0,172.0,1.6,29.0,0.3
NR7  9,7239,7022.0,97.0,102.0,1.4,64.0,0.9,35.0,0.5
NR8  5,4605,4370.0,94.9,58.0,1.3,116.0,2.5,44.0,1.0
NR8  6,15881,15403.0,97.0,156.0,1.0,228.0,1.4,71.0,0.4
NR9  3,7346,7127.0,97.0,80.0,1.1,95.0,1.3,37.0,0.5
NR9  4,4677,4616.0,98.7,31.0,0.7,19.0,0.4,4.0,0.1
NR9  5,4822,4717.0,97.8,37.0,0.8,44.0,0.9,15.0,0.3
NW1  0,6902,4187.0,60.7,401.0,5.8,1256.0,18.2,769.0,11.1
NW1  1,7612,3748.0,49.2,408.0,5.4,2089.0,27.4,1073.0,14.1
NW1  2,1874,747.0,39.9,94.0,5.0,615.0,32.8,314.0,16.8
NW1  3,6985,3286.0,47.0,313.0,4.5,2202.0,31.5,758.0,10.9
NW1  4,3045,2088.0,68.6,149.0,4.9,499.0,16.4,165.0,5.4
NW1  5,3068,1648.0,53.7,209.0,6.8,588.0,19.2,227.0,7.4
NW1  6,5546,3148.0,56.8,288.0,5.2,1166.0,21.0,293.0,5.3
NW1  7,6486,4771.0,73.6,328.0,5.1,695.0,10.7,474.0,7.3
NW1  8,8474,5885.0,69.4,500.0,5.9,1022.0,12.1,808.0,9.5
NW1  9,10347,6692.0,64.7,624.0,6.0,1533.0,14.8,1217.0,11.8
NW10 0,11063,3387.0,30.6,660.0,6.0,2437.0,22.0,3898.0,35.2
NW10 1,10006,4408.0,44.1,562.0,5.6,2420.0,24.2,1882.0,18.8
NW10 2,9068,3686.0,40.6,589.0,6.5,2180.0,24.0,2006.0,22.1
NW10 3,8483,4566.0,53.8,568.0,6.7,1421.0,16.8,1454.0,17.1
NW10 4,10100,3955.0,39.2,687.0,6.8,1449.0,14.3,3442.0,34.1
NW10 5,13687,7360.0,53.8,1029.0,7.5,1919.0,14.0,2716.0,19.8
NW10 6,2729,1384.0,50.7,198.0,7.3,370.0,13.6,586.0,21.5
NW10 7,3606,1674.0,46.4,172.0,4.8,639.0,17.7,700.0,19.4
NW10 8,13236,3461.0,26.1,930.0,7.0,1978.0,14.9,6117.0,46.2
NW10 9,10019,3068.0,30.6,681.0,6.8,1523.0,15.2,4210.0,42.0
NW11 0,6691,5030.0,75.2,197.0,2.9,806.0,12.0,174.0,2.6
NW11 6,6367,5046.0,79.3,260.0,4.1,552.0,8.7,219.0,3.4
NW11 7,5285,4122.0,78.0,203.0,3.8,640.0,12.1,113.0,2.1
NW11 8,6889,4187.0,60.8,355.0,5.2,1393.0,20.2,370.0,5.4
NW11 9,7452,5353.0,71.8,201.0,2.7,1006.0,13.5,275.0,3.7
NW2  1,8799,4557.0,51.8,512.0,5.8,1636.0,18.6,1186.0,13.5
NW2  2,7460,4483.0,60.1,422.0,5.7,1121.0,15.0,767.0,10.3
NW2  3,10316,6175.0,59.9,663.0,6.4,1574.0,15.3,1186.0,11.5
NW2  4,7841,4944.0,63.1,522.0,6.7,986.0,12.6,947.0,12.1
NW2  5,10054,5345.0,53.2,694.0,6.9,1908.0,19.0,1544.0,15.4
NW2  6,11527,5573.0,48.3,636.0,5.5,2572.0,22.3,1914.0,16.6
NW2  7,10971,3554.0,32.4,465.0,4.2,3890.0,35.5,2227.0,20.3
NW3  1,5050,4247.0,84.1,234.0,4.6,346.0,6.9,119.0,2.4
NW3  2,12990,9500.0,73.1,842.0,6.5,1451.0,11.2,761.0,5.9
NW3  3,8166,5638.0,69.0,431.0,5.3,1145.0,14.0,677.0,8.3
NW3  4,8626,6635.0,76.9,461.0,5.3,983.0,11.4,272.0,3.2
NW3  5,5388,4024.0,74.7,288.0,5.3,807.0,15.0,87.0,1.6
NW3  6,6067,4082.0,67.3,375.0,6.2,941.0,15.5,422.0,7.0
NW3  7,5604,4200.0,74.9,361.0,6.4,693.0,12.4,137.0,2.4
NW4  1,6515,4504.0,69.1,210.0,3.2,989.0,15.2,401.0,6.2
NW4  2,8335,5904.0,70.8,327.0,3.9,984.0,11.8,466.0,5.6
NW4  3,9180,4515.0,49.2,352.0,3.8,3168.0,34.5,675.0,7.4
NW4  4,7902,4264.0,54.0,385.0,4.9,1984.0,25.1,710.0,9.0
NW5  1,8703,6787.0,78.0,552.0,6.3,583.0,6.7,548.0,6.3
NW5  2,9675,7026.0,72.6,561.0,5.8,973.0,10.1,889.0,9.2
NW5  3,3842,2545.0,66.2,259.0,6.7,466.0,12.1,463.0,12.1
NW5  4,8905,5440.0,61.1,580.0,6.5,1398.0,15.7,1123.0,12.6
NW6  1,10868,8400.0,77.3,519.0,4.8,1118.0,10.3,419.0,3.9
NW6  2,6295,4064.0,64.6,384.0,6.1,819.0,13.0,765.0,12.2
NW6  3,7403,5545.0,74.9,327.0,4.4,1064.0,14.4,247.0,3.3
NW6  4,7181,4582.0,63.8,369.0,5.1,965.0,13.4,767.0,10.7
NW6  5,10843,4117.0,38.0,689.0,6.4,1317.0,12.1,3462.0,31.9
NW6  6,8575,5974.0,69.7,549.0,6.4,794.0,9.3,842.0,9.8
NW6  7,12738,7886.0,61.9,848.0,6.7,1597.0,12.5,1504.0,11.8
NW7  1,6383,3690.0,57.8,438.0,6.9,1318.0,20.6,592.0,9.3
NW7  2,7478,4572.0,61.1,363.0,4.9,1501.0,20.1,739.0,9.9
NW7  3,6211,3730.0,60.1,313.0,5.0,1338.0,21.5,572.0,9.2
NW7  4,5598,4183.0,74.7,185.0,3.3,806.0,14.4,250.0,4.5
NW8  0,7591,4557.0,60.0,347.0,4.6,1297.0,17.1,817.0,10.8
NW8  6,4270,2609.0,61.1,136.0,3.2,963.0,22.6,174.0,4.1
NW8  7,5147,2891.0,56.2,222.0,4.3,1101.0,21.4,234.0,4.5
NW8  8,10635,4123.0,38.8,582.0,5.5,2412.0,22.7,1403.0,13.2
NW8  9,6710,4045.0,60.3,279.0,4.2,1390.0,20.7,265.0,3.9
NW9  0,10434,3704.0,35.5,406.0,3.9,4426.0,42.4,1306.0,12.5
NW9  5,16169,6546.0,40.5,1051.0,6.5,3861.0,23.9,3730.0,23.1
NW9  6,7588,2987.0,39.4,365.0,4.8,3160.0,41.6,715.0,9.4
NW9  7,6393,2829.0,44.3,323.0,5.1,2013.0,31.5,859.0,13.4
NW9  8,10019,3746.0,37.4,374.0,3.7,3918.0,39.1,1136.0,11.3
NW9  9,9942,2848.0,28.6,330.0,3.3,5515.0,55.5,781.0,7.9
OL1  2,8465,3669.0,43.3,204.0,2.4,4295.0,50.7,237.0,2.8
OL1  3,3686,2893.0,78.5,163.0,4.4,366.0,9.9,241.0,6.5
OL1  4,9329,8728.0,93.6,267.0,2.9,143.0,1.5,179.0,1.9
OL10 1,3418,3241.0,94.8,42.0,1.2,69.0,2.0,57.0,1.7
OL10 2,7205,6848.0,95.0,75.0,1.0,230.0,3.2,34.0,0.5
OL10 3,7947,7663.0,96.4,106.0,1.3,73.0,0.9,77.0,1.0
OL10 4,9224,8799.0,95.4,119.0,1.3,199.0,2.2,87.0,0.9
OL11 1,6705,1691.0,25.2,143.0,2.1,4720.0,70.4,105.0,1.6
OL11 2,10601,9355.0,88.2,213.0,2.0,741.0,7.0,255.0,2.4
OL11 3,9313,5842.0,62.7,162.0,1.7,3185.0,34.2,78.0,0.8
OL11 4,7025,4739.0,67.5,164.0,2.3,1770.0,25.2,273.0,3.9
OL11 5,12168,10064.0,82.7,172.0,1.4,1822.0,15.0,54.0,0.4
OL12 0,5407,3702.0,68.5,141.0,2.6,1466.0,27.1,65.0,1.2
OL12 6,12152,7890.0,64.9,256.0,2.1,3560.0,29.3,301.0,2.5
OL12 7,9936,8961.0,90.2,156.0,1.6,750.0,7.5,47.0,0.5
OL12 8,7500,7349.0,98.0,58.0,0.8,78.0,1.0,10.0,0.1
OL12 9,10672,8548.0,80.1,206.0,1.9,1783.0,16.7,119.0,1.1
OL13 0,3834,3721.0,97.1,40.0,1.0,65.0,1.7,5.0,0.1
OL13 8,4440,4355.0,98.1,27.0,0.6,49.0,1.1,8.0,0.2
OL13 9,6825,6675.0,97.8,52.0,0.8,84.0,1.2,12.0,0.2
OL14 5,4630,4150.0,89.6,74.0,1.6,392.0,8.5,9.0,0.2
OL14 6,3619,3556.0,98.3,34.0,0.9,25.0,0.7,3.0,0.1
OL14 7,3073,3002.0,97.7,30.0,1.0,31.0,1.0,7.0,0.2
OL14 8,4159,4062.0,97.7,50.0,1.2,30.0,0.7,13.0,0.3
OL15 0,3973,3888.0,97.9,34.0,0.9,41.0,1.0,6.0,0.2
OL15 8,5463,5293.0,96.9,46.0,0.8,95.0,1.7,25.0,0.5
OL15 9,5025,4919.0,97.9,55.0,1.1,33.0,0.7,10.0,0.2
OL16 1,445,214.0,48.1,16.0,3.6,204.0,45.8,3.0,0.7
OL16 2,10772,4178.0,38.8,156.0,1.4,6329.0,58.8,63.0,0.6
OL16 3,8462,7945.0,93.9,124.0,1.5,350.0,4.1,29.0,0.3
OL16 4,11684,10578.0,90.5,179.0,1.5,817.0,7.0,81.0,0.7
OL16 5,6462,3583.0,55.4,171.0,2.6,2454.0,38.0,207.0,3.2
OL2  5,10587,10162.0,96.0,119.0,1.1,227.0,2.1,60.0,0.6
OL2  6,12735,12071.0,94.8,158.0,1.2,443.0,3.5,48.0,0.4
OL2  7,10234,9864.0,96.4,115.0,1.1,208.0,2.0,32.0,0.3
OL2  8,8793,8223.0,93.5,113.0,1.3,410.0,4.7,40.0,0.5
OL3  5,7367,7168.0,97.3,75.0,1.0,96.0,1.3,21.0,0.3
OL3  6,2819,2732.0,96.9,33.0,1.2,41.0,1.5,7.0,0.2
OL3  7,4811,4709.0,97.9,33.0,0.7,54.0,1.1,10.0,0.2
OL4  1,12723,2016.0,15.8,182.0,1.4,10250.0,80.6,219.0,1.7
OL4  2,9391,8898.0,94.8,176.0,1.9,226.0,2.4,81.0,0.9
OL4  3,6112,5494.0,89.9,121.0,2.0,439.0,7.2,39.0,0.6
OL4  4,7790,7600.0,97.6,90.0,1.2,65.0,0.8,31.0,0.4
OL4  5,9044,8044.0,88.9,250.0,2.8,546.0,6.0,184.0,2.0
OL5  0,4925,4756.0,96.6,66.0,1.3,85.0,1.7,14.0,0.3
OL5  9,5996,5812.0,96.9,75.0,1.3,76.0,1.3,30.0,0.5
OL6  6,5111,4351.0,85.1,87.0,1.7,632.0,12.4,33.0,0.6
OL6  7,2964,1547.0,52.2,64.0,2.2,1250.0,42.2,94.0,3.2
OL6  8,10154,8598.0,84.7,136.0,1.3,1290.0,12.7,77.0,0.8
OL6  9,10564,8465.0,80.1,194.0,1.8,1709.0,16.2,160.0,1.5
OL7  0,5875,4181.0,71.2,116.0,2.0,1446.0,24.6,114.0,1.9
OL7  9,10888,9218.0,84.7,193.0,1.8,1359.0,12.5,82.0,0.8
OL8  1,10620,2504.0,23.6,206.0,1.9,7720.0,72.7,122.0,1.1
OL8  2,9498,7612.0,80.1,258.0,2.7,1404.0,14.8,196.0,2.1
OL8  3,10398,9203.0,88.5,194.0,1.9,876.0,8.4,110.0,1.1
OL8  4,8530,4181.0,49.0,158.0,1.9,4024.0,47.2,143.0,1.7
OL9  0,8679,7533.0,86.8,153.0,1.8,947.0,10.9,42.0,0.5
OL9  6,7380,1448.0,19.6,107.0,1.4,5588.0,75.7,210.0,2.8
OL9  7,6524,2968.0,45.5,185.0,2.8,3177.0,48.7,150.0,2.3
OL9  8,9571,8589.0,89.7,210.0,2.2,598.0,6.2,154.0,1.6
OL9  9,9131,8274.0,90.6,136.0,1.5,640.0,7.0,72.0,0.8
OX1  1,3252,2361.0,72.6,127.0,3.9,553.0,17.0,131.0,4.0
OX1  2,1608,1290.0,80.2,54.0,3.4,200.0,12.4,20.0,1.2
OX1  3,7422,6036.0,81.3,293.0,3.9,909.0,12.2,102.0,1.4
OX1  4,7187,5869.0,81.7,301.0,4.2,763.0,10.6,164.0,2.3
OX1  5,6154,5722.0,93.0,126.0,2.0,198.0,3.2,62.0,1.0
OX10 0,5564,5342.0,96.0,70.0,1.3,100.0,1.8,32.0,0.6
OX10 6,6815,6648.0,97.5,57.0,0.8,54.0,0.8,47.0,0.7
OX10 7,5203,4923.0,94.6,59.0,1.1,174.0,3.3,41.0,0.8
OX10 8,3214,3115.0,96.9,48.0,1.5,32.0,1.0,16.0,0.5
OX10 9,5567,5413.0,97.2,54.0,1.0,79.0,1.4,19.0,0.3
OX11 0,5434,5303.0,97.6,43.0,0.8,56.0,1.0,16.0,0.3
OX11 7,13108,12326.0,94.0,190.0,1.4,395.0,3.0,132.0,1.0
OX11 8,8838,8379.0,94.8,109.0,1.2,242.0,2.7,91.0,1.0
OX11 9,5722,5521.0,96.5,68.0,1.2,91.0,1.6,36.0,0.6
OX12 0,6155,6023.0,97.9,41.0,0.7,59.0,1.0,32.0,0.5
OX12 7,5301,5149.0,97.1,37.0,0.7,59.0,1.1,48.0,0.9
OX12 8,4855,4736.0,97.5,49.0,1.0,42.0,0.9,22.0,0.5
OX12 9,8953,8669.0,96.8,112.0,1.3,132.0,1.5,31.0,0.3
OX13 5,4783,4645.0,97.1,43.0,0.9,53.0,1.1,30.0,0.6
