ward,youth,pop
E05000141,0.2166460778258184,12952
E05000142,0.1750544069640914,14704
E05000143,0.16868037956032297,16967
E05000144,0.06760361767193701,15369
E05000145,0.0688851208139042,14154
E05000146,0.07865551953591537,17583
E05000147,0.09310484415058697,14822
E05000148,0.08852222088401783,16606
E05000149,0.09619718309859154,21300
E05000150,0.0765701629489005,12642
E05000151,0.08046141721000215,13957
E05000152,0.06611768948728737,16637
E05000153,0.06337009131280874,20041
E05000154,0.11266531027466938,11796
E05000155,0.08694353152076487,13388
E05000156,0.07965224061880713,15643
E05000157,0.09840566873339238,11290
E05000158,0.08136261261261261,17760
E05000159,0.07606278613472858,15290
E05000160,0.08220547523838818,13004
E05000161,0.08806161745827984,19475
E05000162,0.08459703527006304,11738
E05000163,0.09201651754989676,14530
E05000164,0.07558688051501193,18019
E05000165,0.09867545838394355,17289
E05000166,0.08683161350844278,17056
E05000167,0.09411952700543305,18774
E05000168,0.1019396551724138,18560
E05000169,0.0901513862901854,17637
E05000170,0.08928347345965616,15938
E05000171,0.08098616281519982,14237
E05000172,0.09225065944250374,14027
E05000173,0.07640480655692158,14397
E05000174,0.08449464573859469,13634
E05000175,0.13664655295291492,21047
E05000176,0.07260032537960955,14752
E05000177,0.08425051678864741,17899
E05000178,0.07908734602463606,14288
E05000179,0.07512237981674406,15934
E05000180,0.08502732240437158,13725
E05000181,0.0849996198585874,13153
E05000182,0.06586963143466341,13132
E05000183,0.08570837071285625,14491
E05000184,0.08796326664480157,15245
E05000185,0.09446929909874863,15423
E05000186,0.09091573485346781,13683
E05000187,0.08502409332995181,15772
E05000188,0.08405855764690008,14823
E05000189,0.07965850560925704,14173
E05000190,0.0851872280443709,16317
E05000191,0.0654014598540146,13700
E05000192,0.06936505484319481,12946
E05000193,0.07641752577319588,15520
E05000194,0.07737931034482759,14500
E05000195,0.08357000852030673,14084
E05000196,0.08565567972839157,14138
E05000197,0.10286625842638811,19433
E05000198,0.10807475317348378,17016
E05000199,0.10658945901024074,18651
E05000200,0.0703675918979745,13330
E05000201,0.10684759678430926,17539
E05000202,0.07270051508462104,13590
E05000203,0.10215053763440861,15252
E05000204,0.10446846445286383,17948
E05000205,0.0831968761808792,15878
E05000206,0.10469977197871802,15788
E05000207,0.09530227185213708,15582
E05000208,0.07464387464387465,15795
E05000209,0.07929044667664031,14037
E05000210,0.07276642955034915,15323
E05000211,0.1063504208110176,15684
E05000212,0.10320105018681208,19806
