postcode_sectors,code_constituency,turnout,women_age30to45,perc_eu,10to14%,15%,16to17%,18to19%,20to24%,25to29%,30to44%
S42  6,E14000632,63.61000000000001,0.09798172933928193,0.3,5.2,1.3,2.3,2.1,3.9,3.6,16.5
S42  5,E14000632,63.61000000000001,0.09798172933928193,0.3,5.3,1.3,2.5,2.5,6.2,6.4,19.1
S45  0,E14000632,63.61000000000001,0.09798172933928193,0.6,4.8,1.3,2.6,2,3.9,2.8,15.4
LS29 0,E14000766,71.33,0.09781146337205122,1.1,5.7,1.4,2.3,1.4,2.8,2.7,14.9
BD20 6,E14000766,71.33,0.09781146337205122,1.7,5.6,1.2,2.6,2.2,4.8,5.6,19.3
BD20 8,E14000766,71.33,0.09781146337205122,1,5.6,1.1,2.6,2.4,4.2,4.4,19.7
BD20 9,E14000766,71.33,0.09781146337205122,0.7,5.5,1.3,2.5,1.7,3.8,3.8,16
BD20 0,E14000766,71.33,0.09781146337205122,1.1,5.4,0.9,2.6,1.9,5.4,5.5,19.8
BD20 5,E14000766,71.33,0.09781146337205122,0.7,6,1.1,2.2,1.9,3.9,4.7,21.1
BD20 7,E14000766,71.33,0.09781146337205122,0.9,7.2,1.3,2.9,2.1,4.6,4.4,18.6
LS29 9,E14000766,71.33,0.09781146337205122,1.4,6.6,1.1,2.6,1.5,2.8,2.5,14.6
LS29 8,E14000766,71.33,0.09781146337205122,1.8,6.2,1.4,2.6,2,3.6,4.1,19.3
LS29 1,E14000766,71.33,0.09781146337205122,NA,NA,NA,NA,NA,NA,NA,NA
LS29 6,E14000766,71.33,0.09781146337205122,0.9,5.1,1.3,2.5,1.5,4.7,5.4,19.5
LS29 7,E14000766,71.33,0.09781146337205122,1,6.7,1.5,2.3,1.6,3.3,3.5,20.5
BD21 2,E14000766,71.33,0.09781146337205122,3.7,7.9,1.5,2.9,2.9,7.5,8.7,21
BD21 1,E14000766,71.33,0.09781146337205122,1.2,6.8,1.5,2.3,2.9,6.9,7.3,19.6
BD21 3,E14000766,71.33,0.09781146337205122,4.8,8.7,1.6,3.3,3.2,8.3,10.1,21.4
BD21 4,E14000766,71.33,0.09781146337205122,2.9,6.7,1.4,2.9,2.8,6.6,7.6,20.7
BD21 5,E14000766,71.33,0.09781146337205122,3,5.5,1.1,2.6,2.9,7,8.3,20.1
BD21 9,E14000766,71.33,0.09781146337205122,NA,NA,NA,NA,NA,NA,NA,NA
BD22 6,E14000766,71.33,0.09781146337205122,1.7,7.1,1.5,3,2.5,6.1,5.6,20.2
BD22 9,E14000766,71.33,0.09781146337205122,0.7,5,1,1.9,2,4.9,4.8,20.3
BD16 2,E14000766,71.33,0.09781146337205122,1.2,5,1,1.8,1.9,6.2,8.6,18.2
BD22 7,E14000766,71.33,0.09781146337205122,0.9,6.7,1.4,2.7,2.6,5.8,5.9,20.8
BD22 0,E14000766,71.33,0.09781146337205122,0.9,6.6,1.3,1.9,1.8,4.7,4.5,21.4
BD22 8,E14000766,71.33,0.09781146337205122,0.4,4.8,1.2,2.1,2,4.8,6.3,21.9
CA3  0,E14000620,64.69,0.09777968043133671,1.3,5.2,1.3,2.1,1.8,4.6,4.2,16.9
CA3  9,E14000620,64.69,0.09777968043133671,1.6,5.4,1.2,2.5,3.3,6.4,5.5,18
CA2  7,E14000620,64.69,0.09777968043133671,2.3,5.5,1.2,2.2,2.5,5.9,7.6,20.5
CA1  3,E14000620,64.69,0.09777968043133671,2,5.9,1.3,2.5,2.6,5.8,6.9,21.6
CA1  2,E14000620,64.69,0.09777968043133671,4.7,4.4,0.9,2.3,3.6,9.2,9.1,21.1
CA5  6,E14000620,64.69,0.09777968043133671,0.2,6,1.2,2.5,2.3,4.1,3.1,17.2
CA2  6,E14000620,64.69,0.09777968043133671,1,4.8,1,1.9,2.2,4.9,5.4,18.6
CA3  8,E14000620,64.69,0.09777968043133671,1.8,3.6,0,2.1,5.7,18.7,10.9,18.7
CA1  1,E14000620,64.69,0.09777968043133671,6.9,2.9,0.8,2.1,4.2,13.3,10.7,16.7
CA2  5,E14000620,64.69,0.09777968043133671,3.2,4,0.8,2,3.7,9.4,9.3,22.5
CA1  9,E14000620,64.69,0.09777968043133671,NA,NA,NA,NA,NA,NA,NA,NA
CA2  4,E14000620,64.69,0.09777968043133671,1.6,6.2,1.3,2.4,2.8,6.1,6.8,20.6
CA5  7,E14000620,64.69,0.09777968043133671,0.7,6.5,1.3,3.5,2.8,4,3.1,14.7
CA4  0,E14000620,64.69,0.09777968043133671,0.3,6,1,2.4,1.7,3.8,3.4,16.1
CA4  8,E14000620,64.69,0.09777968043133671,0.8,5.4,0.8,2.6,1.9,3.5,3.7,16.4
CA99 1,E14000620,64.69,0.09777968043133671,NA,NA,NA,NA,NA,NA,NA,NA
CA4  9,E14000620,64.69,0.09777968043133671,0.1,6.5,1.2,2.4,1.2,2.9,2.9,17.4
DE55 7,E14000533,65.77,0.09777881329605467,2,5.4,1.2,2.6,2.3,5.6,6.1,18.8
DE5  9,E14000533,65.77,0.09777881329605467,0.7,5.1,0.8,2.3,2.3,5.6,5,18.7
DE5  3,E14000533,65.77,0.09777881329605467,0.6,5.6,1.2,2.7,2.4,5.8,5.4,19.8
NG16 4,E14000533,65.77,0.09777881329605467,1,6.1,1.4,2.4,2.4,6.7,7.2,21.4
DE5  8,E14000533,65.77,0.09777881329605467,0.4,6.4,0.9,3.1,2.1,5,4.7,22.5
DE56 2,E14000533,65.77,0.09777881329605467,0.4,5,1.1,2.2,2,3.4,3.7,17.8
DE75 7,E14000533,65.77,0.09777881329605467,1,6,1.3,2.6,2.3,6,5.9,21.1
NG16 5,E14000533,65.77,0.09777881329605467,0.7,6,1,2.6,2.4,5.1,4.5,18.9
DE55 4,E14000533,65.77,0.09777881329605467,1.3,6.2,1.1,2.4,2.3,6.4,7.2,21.4
DE55 1,E14000533,65.77,0.09777881329605467,0.8,5.6,1,2.7,2,4.6,5.1,19.2
NG16 3,E14000533,65.77,0.09777881329605467,0.8,4.9,1.3,2.4,2.6,5.7,5.6,18.7
DE5  4,E14000533,65.77,0.09777881329605467,NA,NA,NA,NA,NA,NA,NA,NA
DE55 9,E14000533,65.77,0.09777881329605467,NA,NA,NA,NA,NA,NA,NA,NA
DE55 3,E14000533,65.77,0.09777881329605467,1.1,5.8,1.3,2.4,1.8,4.6,6.8,26.6
DE56 0,E14000533,65.77,0.09777881329605467,0.5,5.9,1.2,2.7,2.2,4.7,5.3,20.6
DE7  6,E14000533,65.77,0.09777881329605467,0.4,5.4,1.2,2.4,2.1,4.8,4.1,17.4
DE21 5,E14000533,65.77,0.09777881329605467,0.7,6.3,1.4,2.8,1.5,4.1,2.8,17.9
DE7  8,E14000533,65.77,0.09777881329605467,0.6,5.7,1.3,2.6,2.5,7.3,6,19.2
SN13 8,E14000860,74.51,0.09771696819076632,1.7,6.6,1.4,2.2,1.6,2.2,2.7,18
SN14 8,E14000860,74.51,0.09771696819076632,1.1,6.3,1.2,2.5,2.5,6.5,5.8,20.7
SN13 0,E14000860,74.51,0.09771696819076632,1.7,5.7,1.5,2.5,2.3,4.7,6.8,19.6
SN13 9,E14000860,74.51,0.09771696819076632,1.3,6,1.3,2.4,1.9,4.6,4.4,21.3
SN12 8,E14000860,74.51,0.09771696819076632,1.1,6.9,1.3,2.9,2.4,4.4,4,17.4
SN16 9,E14000860,74.51,0.09771696819076632,1.2,6.5,1.2,2,1.8,4.1,4.5,19
SN15 5,E14000860,74.51,0.09771696819076632,0.9,6.8,1.2,2.2,1.8,3.6,2.2,16.9
SN15 4,E14000860,74.51,0.09771696819076632,0.8,6.6,1,2.5,2.2,6.4,7.8,22.7
SN5  0,E14000860,74.51,0.09771696819076632,1.3,6.7,1.3,2.1,2.4,2.9,0.5,10.7
SN14 7,E14000860,74.51,0.09771696819076632,1.4,5.8,1,2.9,2,2.8,2.9,17.9
SN14 6,E14000860,74.51,0.09771696819076632,1.6,7.5,1.4,2.9,2,5.4,5.6,22.8
SN16 0,E14000860,74.51,0.09771696819076632,1.3,6,1.3,2.5,2,3.6,4.2,18.9
SN11 8,E14000860,74.51,0.09771696819076632,1,6.5,1.5,2.6,2.4,4.6,4.8,20.1
SN11 0,E14000860,74.51,0.09771696819076632,1.5,7.5,1.5,4.2,2.4,4,3.8,18.1
SN11 9,E14000860,74.51,0.09771696819076632,1.2,7.2,1.5,2.9,2,5.1,5.6,23.5
SN11 7,E14000860,74.51,0.09771696819076632,NA,NA,NA,NA,NA,NA,NA,NA
SN15 2,E14000860,74.51,0.09771696819076632,1.9,5.4,0.9,3.4,2.5,4.6,4.6,17.9
SN15 3,E14000860,74.51,0.09771696819076632,2.5,6.2,1.3,2.8,2.8,6.4,6.6,22
SN15 9,E14000860,74.51,0.09771696819076632,NA,NA,NA,NA,NA,NA,NA,NA
SN14 0,E14000860,74.51,0.09771696819076632,1.4,7.1,1.4,3.1,2.3,5.5,5.6,19.9
SN15 1,E14000860,74.51,0.09771696819076632,2.2,7.4,1.4,3,2.7,5,5.2,22.2
SN6  6,E14000860,74.51,0.09771696819076632,0.8,6.8,1.4,2.5,1.9,3.7,3.5,18.3
SN5  4,E14000860,74.51,0.09771696819076632,1.1,7,1.4,2.5,1.9,4,3.4,18.3
GL7  5,E14000860,74.51,0.09771696819076632,1.4,5.7,1.2,2,2.3,3.9,3.6,17.4
SN4  7,E14000860,74.51,0.09771696819076632,1.1,5.1,1.3,2.6,2.4,4.9,4.5,18.9
SN4  9,E14000860,74.51,0.09771696819076632,0.8,5.8,1.3,2.6,2.1,3.8,3.1,16.8
GL7  6,E14000860,74.51,0.09771696819076632,1.7,5.9,1.2,2,5.1,8.2,5.1,18.4
SN5  5,E14000860,74.51,0.09771696819076632,3.6,6.8,1.5,3.4,2.6,5.5,6.6,24.2
SN25 2,E14000860,74.51,0.09771696819076632,4,5.8,1,1.6,1.4,6.8,11.9,34.3
SN5  3,E14000860,74.51,0.09771696819076632,0.8,5.9,1.5,2.2,1.4,2.7,2.3,15.2
GL9  1,E14000860,74.51,0.09771696819076632,0.9,5.9,1.5,2.7,2.3,4.2,3.2,17.3
GL8  8,E14000860,74.51,0.09771696819076632,1.9,5.3,0.8,2.2,1.8,4.1,4.4,18.5
SN4  8,E14000860,74.51,0.09771696819076632,1.1,6,1.2,3.3,2.4,4.3,3.4,18.2
SN5  8,E14000860,74.51,0.09771696819076632,3.6,6.4,1.3,2.8,2.5,6.1,6.9,21
SN16 1,E14000860,74.51,0.09771696819076632,NA,NA,NA,NA,NA,NA,NA,NA
SN4  4,E14000860,74.51,0.09771696819076632,NA,NA,NA,NA,NA,NA,NA,NA
SN4  0,E14000860,74.51,0.09771696819076632,1.4,7.2,1.3,2.7,2.4,4.1,3.8,19.5
DH8  0,E14000856,61.32,0.09770120237711337,0.6,5.5,1.3,2.1,2,4.5,4.6,19
DH8  8,E14000856,61.32,0.09770120237711337,1.7,7,1.3,2.5,2.7,6.2,7,19.9
DH8  6,E14000856,61.32,0.09770120237711337,2.3,5.2,1,2.6,2.2,5.1,6.1,19.8
NE16 6,E14000856,61.32,0.09770120237711337,0.3,4.7,1.2,2.1,1.9,4.6,5.9,21.7
DH9  9,E14000856,61.32,0.09770120237711337,0.5,5,1.5,2.8,2.4,5.3,5.3,18.9
NE39 1,E14000856,61.32,0.09770120237711337,0.4,6.6,1.3,2.3,1.8,3.8,2.7,16
DH8  5,E14000856,61.32,0.09770120237711337,2.1,6,1.1,2.5,2.1,6.4,7.7,21.9
DH8  9,E14000856,61.32,0.09770120237711337,0.6,5.9,1.1,2.3,2.2,3.6,4.1,18.3
DH8  7,E14000856,61.32,0.09770120237711337,2.1,5.4,1.1,2.2,2.4,5.7,6.8,21.4
DL15 8,E14000856,61.32,0.09770120237711337,0.4,5.2,1.4,2,2.6,5.2,5.2,17.9
DL15 9,E14000856,61.32,0.09770120237711337,0.6,5.5,1,2.2,2.1,5.8,6.8,20.5
DL15 0,E14000856,61.32,0.09770120237711337,0.3,5.5,1.2,2.4,2.4,5.6,5.5,19.8
DL14 7,E14000856,61.32,0.09770120237711337,0.7,4.3,0.8,2.2,2.3,5.2,6.4,20.7
DH7  9,E14000856,61.32,0.09770120237711337,0.5,5.7,1.2,2.2,2.3,5,6.2,19.6
DH7  7,E14000856,61.32,0.09770120237711337,0.9,5.8,0.9,2.3,2.1,6.3,7.7,21
DL13 4,E14000856,61.32,0.09770120237711337,0.2,5.7,1.3,2.6,2.4,4.7,5,19.6
DH1  5,E14000856,61.32,0.09770120237711337,1.3,4.6,1.1,2,1.9,5.3,6.4,20.9
DH1  4,E14000856,61.32,0.09770120237711337,3.4,4,1,1.8,7.1,29.6,6.1,12.1
DH7  6,E14000856,61.32,0.09770120237711337,0.6,5.3,1.1,2.4,2.2,5.7,6.9,20.4
DH7  0,E14000856,61.32,0.09770120237711337,0.7,4.8,1,1.9,1.8,4.1,4.8,16.8
DL13 2,E14000856,61.32,0.09770120237711337,0.2,4.7,0.7,2.1,2.3,4.5,3.8,17.6
DH9  7,E14000856,61.32,0.09770120237711337,0.3,4.9,1.3,2.5,2.9,7,6.9,19.1
NE17 7,E14000856,61.32,0.09770120237711337,0.3,5.1,1.2,2.5,2.5,5.2,6.6,20
DH8  1,E14000856,61.32,0.09770120237711337,NA,NA,NA,NA,NA,NA,NA,NA
DL13 3,E14000856,61.32,0.09770120237711337,0.3,6,1.4,2.2,1.6,3.6,3.9,18
DL14 0,E14000856,61.32,0.09770120237711337,0.4,6.3,1.7,2.9,2.6,4.5,4.5,19.3
DL13 1,E14000856,61.32,0.09770120237711337,0.3,5.1,1.6,1.8,1.7,3.4,3.5,15.3
DH7  8,E14000856,61.32,0.09770120237711337,0.7,6,1.1,2.5,2.1,5.5,6.4,19.7
DL16 7,E14000856,61.32,0.09770120237711337,0.5,5.6,1,2.4,2.2,5.6,6.2,19.6
LL21 9,W07000062,63.75,0.09765840220385676,0.6,5.9,1.5,2.8,2.4,4.8,4.5,17
LL21 0,W07000062,63.75,0.09765840220385676,1.2,5.4,1.6,2.4,1.9,5.4,4.8,16.9
LL20 7,W07000062,63.75,0.09765840220385676,0.9,5.5,1.4,2.5,2,4.4,3.5,18.8
LL21 1,W07000062,63.75,0.09765840220385676,NA,NA,NA,NA,NA,NA,NA,NA
LL20 8,W07000062,63.75,0.09765840220385676,0.8,3.9,1.5,2.7,1.9,5.5,4.3,16.7
SY13 3,W07000062,63.75,0.09765840220385676,0.6,6.9,1.6,2.9,2.3,3.4,3.4,16.6
SY13 2,W07000062,63.75,0.09765840220385676,1.1,6.3,1.1,2.6,1.7,3.6,3.4,16.3
LL13 0,W07000062,63.75,0.09765840220385676,1.8,6.5,1.3,2.4,1.7,5.2,5.1,19.9
SY14 7,W07000062,63.75,0.09765840220385676,0.4,6.5,1.2,2.6,2.3,3.5,3,14.9
SY13 4,W07000062,63.75,0.09765840220385676,0.6,5.5,1.3,3.2,2.2,4.8,3.4,16.6
LL14 3,W07000062,63.75,0.09765840220385676,1.4,5.7,1.5,2.7,2.5,7.2,6.7,19
LL14 1,W07000062,63.75,0.09765840220385676,1.9,4.8,1,2.2,1.7,6.1,6.6,20
LL14 6,W07000062,63.75,0.09765840220385676,2.8,5.1,1.4,2.5,2.4,5.8,6.5,23.2
SY10 7,W07000062,63.75,0.09765840220385676,0.9,6.9,1.6,4.7,2.7,5.1,4.2,16.8
LL14 5,W07000062,63.75,0.09765840220385676,0.5,6.2,1.2,2.6,2.2,4.9,5.6,19.3
LL14 4,W07000062,63.75,0.09765840220385676,2,5.8,1.6,2.6,2.5,5,5.9,20.7
LL11 6,W07000062,63.75,0.09765840220385676,1.8,5.7,1.3,2.6,2.2,6.7,7.3,22.5
LL11 5,W07000062,63.75,0.09765840220385676,1.5,5.3,1.1,2,1.8,6.8,8.5,21.2
LL14 2,W07000062,63.75,0.09765840220385676,1.5,6.7,1.3,2.4,2.3,5.7,6.6,20.4
LL12 9,W07000062,63.75,0.09765840220385676,0.6,5.8,1.4,2.3,2.5,5.6,5,18.5
LL11 3,W07000062,63.75,0.09765840220385676,1.8,6,1.5,2.4,2.2,6,6.1,19.7
NA,E14000831,60.330000000000005,0.0976499467008303,NA,NA,NA,NA,NA,NA,NA,NA
NG16 5,E14000535,61.49000000000001,0.09764721520669946,0.7,6,1,2.6,2.4,5.1,4.5,18.9
NG16 3,E14000535,61.49000000000001,0.09764721520669946,0.8,4.9,1.3,2.4,2.6,5.7,5.6,18.7
NG16 2,E14000535,61.49000000000001,0.09764721520669946,0.4,5.1,1.3,2.5,2.4,5.1,4.7,19.4
NG16 9,E14000535,61.49000000000001,0.09764721520669946,NA,NA,NA,NA,NA,NA,NA,NA
NG16 1,E14000535,61.49000000000001,0.09764721520669946,0.8,6.2,1.5,3,2.1,4.6,3.8,20.3
NG17 7,E14000535,61.49000000000001,0.09764721520669946,0.7,6.1,1.2,2.5,2.3,6.1,5.9,18.9
NG17 9,E14000535,61.49000000000001,0.09764721520669946,0.7,5,1.1,2.3,2.1,5.3,5.4,18.3
NG15 0,E14000535,61.49000000000001,0.09764721520669946,0.5,5.7,1.4,2.9,2.8,5.9,7.6,21.6
NG17 1,E14000535,61.49000000000001,0.09764721520669946,1,6.4,1.2,2.5,2.2,5.6,5.5,24.2
NG17 8,E14000535,61.49000000000001,0.09764721520669946,0.9,6.8,1.3,2.7,2.4,6,5.9,21.6
NG17 2,E14000535,61.49000000000001,0.09764721520669946,1.2,5.6,1.5,2.3,2.5,5.9,6.2,19.9
NG17 4,E14000535,61.49000000000001,0.09764721520669946,2.8,5.7,1.3,2.6,2.4,7.3,7.9,21.5
NG17 5,E14000535,61.49000000000001,0.09764721520669946,1.2,7.1,1.5,2.8,2.2,5.6,6.1,19.6
NG17 6,E14000535,61.49000000000001,0.09764721520669946,NA,NA,NA,NA,NA,NA,NA,NA
DE55 4,E14000535,61.49000000000001,0.09764721520669946,1.3,6.2,1.1,2.4,2.3,6.4,7.2,21.4
NG16 6,E14000535,61.49000000000001,0.09764721520669946,0.6,5.9,1.3,2.4,2.5,5.5,5.1,19.7
NG17 0,E14000535,61.49000000000001,0.09764721520669946,NA,NA,NA,NA,NA,NA,NA,NA
NG17 3,E14000535,61.49000000000001,0.09764721520669946,0.8,5.5,1.5,2.5,2.2,5.2,5,18.7
NG19 6,E14000535,61.49000000000001,0.09764721520669946,3.6,5,1.2,2.3,2.4,6,6.9,18.1
NG18 5,E14000535,61.49000000000001,0.09764721520669946,7.1,5.4,1.3,2.8,2.2,7.1,7.6,20.7
NG18 4,E14000535,61.49000000000001,0.09764721520669946,2.4,5.1,0.9,2.4,2.1,5.9,6.6,21.9
NP4  9,W07000053,61.29,0.09764396075598332,0.5,5.8,1.4,2.8,2.3,6.6,6.7,18.7
NP4  6,W07000053,61.29,0.09764396075598332,0.3,5.1,1.3,2.8,2.2,6.8,7,19.2
NP44 7,W07000053,61.29,0.09764396075598332,0.3,6.3,1.3,3.1,2.2,5.5,6.8,19.7
NP44 4,W07000053,61.29,0.09764396075598332,0.3,7.5,1.8,2.9,2.6,6.6,7.5,18.5
NP44 6,W07000053,61.29,0.09764396075598332,0.6,7.5,1.5,3.3,2.6,5.9,5.3,18.7
NP4  5,W07000053,61.29,0.09764396075598332,0.2,5.5,1.2,2.8,2.3,6,6,19.9
NP44 5,W07000053,61.29,0.09764396075598332,0.2,7.1,1.6,3.3,2.9,7,6.8,19
NP44 3,W07000053,61.29,0.09764396075598332,0.4,5.6,1.1,2.7,2.4,6.4,5.5,17.4
NP44 1,W07000053,61.29,0.09764396075598332,0.5,6.1,1.2,2.9,2.7,6.6,7.1,19
NP44 9,W07000053,61.29,0.09764396075598332,NA,NA,NA,NA,NA,NA,NA,NA
NP44 8,W07000053,61.29,0.09764396075598332,0.4,6,1.3,2.5,2.3,4.9,4.5,14.8
NP44 2,W07000053,61.29,0.09764396075598332,0.4,5.3,1,2.8,2.3,5.5,5.3,16.2
NP4  0,W07000053,61.29,0.09764396075598332,0.3,5.7,1.2,3,2,4.2,3.9,16.5
NP4  4,W07000053,61.29,0.09764396075598332,NA,NA,NA,NA,NA,NA,NA,NA
NP4  8,W07000053,61.29,0.09764396075598332,0.2,6.5,1.4,3,2.9,6,5.3,18
NP11 5,W07000053,61.29,0.09764396075598332,0.5,6.1,1.3,2.8,2.3,6.7,7.1,20.1
NP4  7,W07000053,61.29,0.09764396075598332,0.3,6.6,1.4,3,2.5,6.2,6.6,19
NG7  5,E14000865,58.23,0.09760740275235207,9.7,6.2,1.4,2.6,2.7,10.8,10.3,24.6
NG1  5,E14000865,58.23,0.09760740275235207,7,0.2,0.1,0.2,12.1,51.6,14.8,12.8
NG7  4,E14000865,58.23,0.09760740275235207,4.1,1.9,0.3,1.2,11.5,41.9,8.1,16
NG1  4,E14000865,58.23,0.09760740275235207,5.5,1.6,0.5,0.7,19.9,44.8,6.1,10.8
NG7  3,E14000865,58.23,0.09760740275235207,8.7,3.6,0.6,1.7,16.1,24,10.3,17.1
NG7  6,E14000865,58.23,0.09760740275235207,9.4,5.8,1.3,2.1,3.9,15.5,12,24.4
NG1  6,E14000865,58.23,0.09760740275235207,7.8,0.7,0,0,3.9,23.5,16.4,25.6
NG80 1,E14000865,58.23,0.09760740275235207,NA,NA,NA,NA,NA,NA,NA,NA
NG7  7,E14000865,58.23,0.09760740275235207,7.1,5.2,0.8,2.1,2.3,8.9,10.8,28.4
NG5  1,E14000865,58.23,0.09760740275235207,4.8,5.2,1.1,2.3,4,7.5,9.6,24
NG5  2,E14000865,58.23,0.09760740275235207,4.8,4,0.8,1.5,1.9,7.9,10.3,29.1
NG2  4,E14000865,58.23,0.09760740275235207,9.6,5,1,2.1,2.3,9,12.7,26.4
NG3  7,E14000865,58.23,0.09760740275235207,4.7,6.8,1.2,2.8,2.5,6.7,7,20.1
NG1  1,E14000865,58.23,0.09760740275235207,10.1,0.7,0.2,0.3,6.6,38.4,21.5,20.2
NG2  3,E14000865,58.23,0.09760740275235207,6.3,3.4,0.7,1.2,2.6,20,19.3,21.5
NG3  2,E14000865,58.23,0.09760740275235207,5.3,6,1,2.9,3.3,7.9,9.2,24.3
NG3  5,E14000865,58.23,0.09760740275235207,4.8,5.3,1.4,2.1,2,7,9.3,23.2
NG3  3,E14000865,58.23,0.09760740275235207,7.6,7.5,1.4,3,2.5,5.8,7.8,25.4
NG3  6,E14000865,58.23,0.09760740275235207,3.3,5,0.9,2,2.2,5.5,6.6,23.1
NG3  4,E14000865,58.23,0.09760740275235207,10.5,4.5,1,2,6.2,14.1,12.1,20.9
NG5  4,E14000865,58.23,0.09760740275235207,1.7,5.3,1.3,2.2,2.1,4.4,4.8,18.6
NG1  3,E14000865,58.23,0.09760740275235207,6.3,0.3,0.1,0.1,7.1,43.9,14.8,16.7
NG3  1,E14000865,58.23,0.09760740275235207,6,3.9,0.9,1.7,12.3,25.4,8.5,15.1
NG1  9,E14000865,58.23,0.09760740275235207,NA,NA,NA,NA,NA,NA,NA,NA
NG1  2,E14000865,58.23,0.09760740275235207,NA,NA,NA,NA,NA,NA,NA,NA
NG1  7,E14000865,58.23,0.09760740275235207,7.9,1.8,0.4,1,8.9,34.8,22.4,22.6
NG5  3,E14000865,58.23,0.09760740275235207,3,6.4,1.2,2.7,2.7,7.9,8.2,23.5
NG5  6,E14000865,58.23,0.09760740275235207,1.6,6,1.2,2.7,2.5,6,6.7,20
NG5  8,E14000865,58.23,0.09760740275235207,0.9,6.4,1.3,2.9,2.1,5.2,4.8,19
PO4  0,E14000884,58.49,0.09750838105880709,4.3,3.4,0.7,1.7,8.9,24.8,8.9,17.2
PO4  9,E14000884,58.49,0.09750838105880709,2.8,4.7,1.1,1.9,4.1,9,8.8,21.8
PO5  1,E14000884,58.49,0.09750838105880709,6.1,2.5,0.4,1.2,7.3,29.6,10.4,17.2
PO4  8,E14000884,58.49,0.09750838105880709,2.5,5.1,0.9,2.1,5.4,9.2,7.1,20.3
PO1  2,E14000884,58.49,0.09750838105880709,3.4,2.4,0.4,1,24.1,15.6,4.5,12.8
PO1  4,E14000884,58.49,0.09750838105880709,3.1,5.7,1.3,2.7,2.7,8.5,7.7,18.9
PO1  5,E14000884,58.49,0.09750838105880709,4,5,1,2.2,4.3,12.5,10.4,23.1
PO1  3,E14000884,58.49,0.09750838105880709,6.3,2.7,0.6,1.6,3.9,19.8,15.7,21.5
PO5  4,E14000884,58.49,0.09750838105880709,6.1,5.5,1.2,2.3,6.4,16,8.4,17.2
PO1  1,E14000884,58.49,0.09750838105880709,4.3,5.1,1.2,2.8,3.7,10.5,8.7,19.3
PO1  9,E14000884,58.49,0.09750838105880709,NA,NA,NA,NA,NA,NA,NA,NA
PO5  2,E14000884,58.49,0.09750838105880709,6.2,3.4,0.8,1.1,3.1,15,12.6,22.4
PO2  8,E14000884,58.49,0.09750838105880709,2.7,5.4,1,2.5,2.2,6.7,10.3,21.4
PO3  6,E14000884,58.49,0.09750838105880709,1.6,6.6,1.6,2.6,2.9,6,6.4,21.7
PO2  7,E14000884,58.49,0.09750838105880709,3.6,6.6,1.3,2.6,3,7.6,9.3,23.3
PO2  9,E14000884,58.49,0.09750838105880709,2.4,5.4,1.2,2.5,2.4,6.9,9.8,21.4
PO3  5,E14000884,58.49,0.09750838105880709,1.4,6.9,1.7,2.6,2.8,6.7,7,21.3
PO2  0,E14000884,58.49,0.09750838105880709,1.9,6.6,1.3,2.9,2.4,6.2,6.7,22
PO5  3,E14000884,58.49,0.09750838105880709,7,2.8,0.9,1.4,6.2,19.5,11.9,18.3
DY5  2,E14000672,63.3,0.09744202372008819,0.6,5.5,1.2,2.4,2.4,6.9,7,20.9
DY5  1,E14000672,63.3,0.09744202372008819,1,5.9,1.1,2.8,2.7,6.5,7.7,20.1
DY5  3,E14000672,63.3,0.09744202372008819,0.8,6.5,1.5,2.8,2.4,6.7,7.6,22
DY8  4,E14000672,63.3,0.09744202372008819,0.5,5.3,1.2,2,2.1,5.5,6.4,21.1
DY8  5,E14000672,63.3,0.09744202372008819,0.3,5.4,1.1,2.2,2.2,5.2,6,20.4
DY5  9,E14000672,63.3,0.09744202372008819,NA,NA,NA,NA,NA,NA,NA,NA
DY2  0,E14000672,63.3,0.09744202372008819,0.7,6.8,1.5,2.9,2.3,6.2,6.8,20.4
DY5  4,E14000672,63.3,0.09744202372008819,0.7,6,1.6,2.8,3,6.5,6.7,19.3
DY6  7,E14000672,63.3,0.09744202372008819,0.4,5.5,1.1,2.3,2,5.2,4.9,18.3
DY1  2,E14000672,63.3,0.09744202372008819,1.4,6.3,1.4,2.5,2.6,6,6.3,21.6
DY6  0,E14000672,63.3,0.09744202372008819,0.1,5.4,1.6,2.7,2.2,4.4,2.5,16.4
DY6  9,E14000672,63.3,0.09744202372008819,0.2,6.3,1.5,2.4,1.8,3.8,3,17
DY6  8,E14000672,63.3,0.09744202372008819,0.3,5.7,1.2,2.7,2.6,5.3,4.8,19.5
DY6  6,E14000672,63.3,0.09744202372008819,NA,NA,NA,NA,NA,NA,NA,NA
DY2  9,E14000672,63.3,0.09744202372008819,0.6,5.9,1.5,2.5,2.6,6.9,8.3,20.2
DY2  8,E14000672,63.3,0.09744202372008819,1.8,6.8,1.4,2.9,2.6,7.2,8.6,20.9
B64  5,E14000672,63.3,0.09744202372008819,0.6,5,1.2,2.2,2.2,5.8,6.6,21.3
NR15 1,E14000941,70.76,0.09735753122158511,0.9,6.2,1.3,2.3,2,3.9,3.3,16.5
NR14 6,E14000941,70.76,0.09735753122158511,0.6,7,1.5,3.3,2.1,3.6,3.3,18.1
NR16 1,E14000941,70.76,0.09735753122158511,0.8,6.1,1.2,2.7,2.1,3.9,3.1,17.7
NR15 2,E14000941,70.76,0.09735753122158511,0.6,6.1,1.4,2.5,2,4.6,5.1,19.5
