postcode_sectors,code_constituency,turnout,women_age30to45,perc_eu,10to14%,15%,16to17%,18to19%,20to24%,25to29%,30to44%
SW2  5,E14000978,63.09,0.1534391961095833,10.5,3.2,0.7,1.4,1.1,11.4,20.2,29.9
SW2  3,E14000978,63.09,0.1534391961095833,13.9,5.9,1.2,2.2,1.9,7.1,11.3,28.9
SW2  4,E14000978,63.09,0.1534391961095833,14.3,4.9,0.7,1.6,1.2,8.1,14.4,32
SW4  8,E14000978,63.09,0.1534391961095833,12.5,4.8,1.1,1.9,1.8,10.2,16.3,25.8
SW2  1,E14000978,63.09,0.1534391961095833,12.7,4,0.8,1.5,1.4,9,17.8,30.2
SW2  9,E14000978,63.09,0.1534391961095833,NA,NA,NA,NA,NA,NA,NA,NA
SW2  2,E14000978,63.09,0.1534391961095833,11.8,5.3,1.1,2.1,1.7,8,14.1,30.2
SW12 9,E14000978,63.09,0.1534391961095833,7.1,2.3,0.4,0.9,0.7,8.2,24.3,34.4
SW12 0,E14000978,63.09,0.1534391961095833,7.6,3.4,0.7,1.1,1.1,8,16.2,31.8
SW4  7,E14000978,63.09,0.1534391961095833,10.6,3.5,0.6,0.9,1.3,12.8,25,27.6
SW4  9,E14000978,63.09,0.1534391961095833,9.4,3.8,0.7,1.4,1.2,7.9,16.9,32.5
SW16 1,E14000978,63.09,0.1534391961095833,15.9,4,0.8,1.5,1.4,7.7,14.3,29.3
SW16 6,E14000978,63.09,0.1534391961095833,14.3,5.5,1.2,2.2,2.8,7.3,10.5,28.9
SW16 3,E14000978,63.09,0.1534391961095833,9.1,5.9,1.3,2.4,2.2,6.2,7.3,19.6
SW16 9,E14000978,63.09,0.1534391961095833,NA,NA,NA,NA,NA,NA,NA,NA
SW16 2,E14000978,63.09,0.1534391961095833,17.5,4.7,0.9,1.7,1.6,7.4,12.2,30.8
SW16 5,E14000978,63.09,0.1534391961095833,17.6,5.7,1.3,2.3,2.1,7.4,10.6,25.9
SW16 4,E14000978,63.09,0.1534391961095833,10.7,6.2,1.4,2.8,2.7,7.2,8.8,21.5
SE27 9,E14000978,63.09,0.1534391961095833,11.5,5.3,1.1,2.2,1.8,6.5,8.9,29.5
CR4  1,E14000978,63.09,0.1534391961095833,8.6,7.1,1.5,3.4,3,6.9,7.3,21.5
SE4  1,E14000789,64.58,0.15001996964613787,9.9,4.6,0.9,1.9,2.1,7.7,10.7,31
SE14 6,E14000789,64.58,0.15001996964613787,10.3,4.6,1,1.9,5.8,16.1,12.4,24.3
SE8  4,E14000789,64.58,0.15001996964613787,10.9,4.5,1,2,2.6,10.9,11.6,28.7
SE4  2,E14000789,64.58,0.15001996964613787,10.4,5.1,1,2.1,1.9,9.8,9.6,30
SE4  9,E14000789,64.58,0.15001996964613787,NA,NA,NA,NA,NA,NA,NA,NA
SE13 7,E14000789,64.58,0.15001996964613787,10.6,4.6,1.2,2,2.2,8.7,13.5,29.3
SE23 1,E14000789,64.58,0.15001996964613787,7.7,4.4,1,1.7,1.8,6.3,9.5,31.4
