Area code,All categories: Sex,Males,Females
E06000013,"167,446","82,623","84,823"
E06000014,"198,051","96,254","101,797"
,,,
E10000023,"598,376","294,110","304,266"
E07000163,"55,409","26,754","28,655"
E07000164,"89,140","43,982","45,158"
E07000165,"157,869","77,037","80,832"
E07000166,"51,965","27,407","24,558"
E07000167,"51,751","25,413","26,338"
E07000168,"108,793","52,570","56,223"
E07000169,"83,449","40,947","42,502"
,,,
E11000003,"1,343,601","661,772","681,829"
E08000016,"231,221","113,634","117,587"
E08000017,"302,402","149,230","153,172"
E08000018,"257,280","126,247","131,033"
E08000019,"552,698","272,661","280,037"
,,,
E11000006,"2,226,058","1,093,264","1,132,794"
E08000032,"522,452","257,132","265,320"
E08000033,"203,826","99,627","104,199"
E08000034,"422,458","208,657","213,801"
E08000035,"751,485","367,935","383,550"
E08000036,"325,837","159,913","165,924"
,,,
E12000004,"4,533,222","2,234,493","2,298,729"
,,,
E06000015,"248,752","123,046","125,706"
E06000016,"329,839","162,884","166,955"
E06000018,"305,680","153,777","151,903"
E06000017,"37,369","18,915","18,454"
,,,
E10000007,"769,686","378,786","390,900"
E07000032,"122,309","60,192","62,117"
E07000033,"75,866","37,388","38,478"
E07000034,"103,788","50,900","52,888"
E07000035,"71,116","35,071","36,045"
E07000036,"112,081","54,934","57,147"
E07000037,"90,892","44,774","46,118"
E07000038,"99,023","48,564","50,459"
E07000039,"94,611","46,963","47,648"
,,,
E10000018,"650,489","321,416","329,073"
E07000129,"93,915","46,228","47,687"
E07000130,"166,100","82,913","83,187"
E07000131,"85,382","42,353","43,029"
E07000132,"105,078","51,700","53,378"
E07000133,"50,376","24,718","25,658"
E07000134,"93,468","46,335","47,133"
E07000135,"56,170","27,169","29,001"
,,,
E10000019,"713,653","347,605","366,048"
E07000136,"64,637","31,536","33,101"
E07000137,"136,401","66,427","69,974"
E07000138,"93,541","45,773","47,768"
E07000139,"107,766","52,603","55,163"
E07000140,"88,270","43,119","45,151"
E07000141,"133,788","64,656","69,132"
E07000142,"89,250","43,491","45,759"
,,,
E10000021,"691,952","341,342","350,610"
E07000150,"61,255","30,147","31,108"
E07000151,"77,843","38,899","38,944"
E07000152,"86,765","43,058","43,707"
E07000153,"93,475","45,896","47,579"
E07000154,"212,069","104,168","107,901"
E07000155,"85,189","42,098","43,091"
E07000156,"75,356","37,076","38,280"
,,,
E10000024,"785,802","386,722","399,080"
E07000170,"119,497","58,665","60,832"
E07000171,"112,863","56,024","56,839"
E07000172,"109,487","54,118","55,369"
E07000173,"113,543","55,348","58,195"
E07000174,"104,466","51,308","53,158"
E07000175,"114,817","56,556","58,261"
E07000176,"111,129","54,703","56,426"
,,,
E12000005,"5,601,847","2,763,187","2,838,660"
,,,
E06000019,"183,477","90,302","93,175"
E06000051,"306,129","151,606","154,523"
E06000021,"249,008","123,995","125,013"
E06000020,"166,641","82,549","84,092"
,,,
E10000028,"848,489","419,918","428,571"
E07000192,"97,462","48,126","49,336"
E07000193,"113,583","56,385","57,198"
E07000194,"100,654","49,920","50,734"
E07000195,"123,871","61,206","62,665"
E07000196,"108,131","53,243","54,888"
E07000197,"130,869","65,554","65,315"
E07000198,"97,106","47,790","49,316"
E07000199,"76,813","37,694","39,119"
,,,
E10000031,"545,474","269,076","276,398"
E07000218,"62,014","30,604","31,410"
E07000219,"125,252","61,441","63,811"
E07000220,"100,075","49,884","50,191"
E07000221,"120,485","58,497","61,988"
E07000222,"137,648","68,650","68,998"
,,,
E11000005,"2,736,460","1,346,950","1,389,510"
E08000025,"1,073,045","527,806","545,239"
E08000026,"316,960","157,621","159,339"
E08000027,"312,925","153,819","159,106"
E08000028,"308,063","151,592","156,471"
E08000029,"206,674","100,352","106,322"
E08000030,"269,323","132,319","137,004"
E08000031,"249,470","123,441","126,029"
,,,
E10000034,"566,169","278,791","287,378"
E07000234,"93,637","46,300","47,337"
E07000235,"74,631","36,336","38,295"
E07000236,"84,214","41,848","42,366"
E07000237,"98,768","48,563","50,205"
E07000238,"116,944","57,445","59,499"
E07000239,"97,975","48,299","49,676"
,,,
E12000006,"5,846,965","2,875,807","2,971,158"
,,,
E06000055,"157,479","77,312","80,167"
E06000056,"254,381","126,044","128,337"
E06000032,"203,201","101,954","101,247"
E06000031,"183,631","90,859","92,772"
E06000033,"173,658","85,037","88,621"
E06000034,"157,705","77,823","79,882"
,,,
E10000003,"621,210","309,560","311,650"
E07000008,"123,867","62,984","60,883"
E07000009,"83,818","41,443","42,375"
E07000010,"95,262","46,811","48,451"
E07000011,"169,508","84,532","84,976"
E07000012,"148,755","73,790","74,965"
,,,
E10000012,"1,393,587","680,161","713,426"
E07000066,"174,497","84,645","89,852"
E07000067,"147,084","72,137","74,947"
E07000068,"73,601","35,582","38,019"
E07000069,"88,011","42,907","45,104"
E07000070,"168,310","82,914","85,396"
E07000071,"173,074","85,343","87,731"
E07000072,"124,659","60,440","64,219"
E07000073,"81,944","39,674","42,270"
E07000074,"61,629","30,458","31,171"
E07000075,"83,287","40,787","42,500"
E07000076,"138,048","66,071","71,977"
E07000077,"79,443","39,203","40,240"
,,,
