postcode_sectors,code_constituency,turnout,women_age30to45,perc_eu,10to14%,15%,16to17%,18to19%,20to24%,25to29%,30to44%,All residents,WhiteTot,White%,MixedTot,Mixed%,Asian/Asian British,Asian/Asian British%,Black/African/Carribean/Black British,Black/African/Carribean/Black British%
S70  1,E14000541,56.65,10.0742922,4,4.9,1.2,2,2.7,7.9,8.6,20.8,5674,5372,94.7,64,1.1,102,1.8,91,1.6
S71  2,E14000541,56.65,10.0742922,0.7,5.2,1.2,2.1,2.1,5,5.4,18.2,9076,8930,98.4,45,0.5,40,0.4,57,0.6
S70  9,E14000541,56.65,10.0742922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S70  3,E14000541,56.65,10.0742922,2.1,5.5,1.2,2.4,2.7,7.4,9.3,20.7,7966,7716,96.9,50,0.6,61,0.8,128,1.6
S71  3,E14000541,56.65,10.0742922,0.6,6.2,1.4,2.6,2.5,6.4,6.6,19.4,9519,9344,98.2,70,0.7,43,0.5,48,0.5
S70  6,E14000541,56.65,10.0742922,3.5,4.9,1.4,2.6,2.2,6.5,7.9,20.5,7652,7316,95.6,67,0.9,146,1.9,82,1.1
S75  6,E14000541,56.65,10.0742922,0.9,5.4,1.1,2.3,2.2,5.3,5,20.5,6872,6739,98.1,58,0.8,56,0.8,8,0.1
S75  1,E14000541,56.65,10.0742922,0.8,6,1.4,2.4,2.2,4.6,5.7,21.2,7013,6881,98.1,40,0.6,58,0.8,31,0.4
S75  2,E14000541,56.65,10.0742922,1.3,5.8,1.2,2.6,2,5.2,5.6,19.5,8657,8299,95.9,54,0.6,196,2.3,59,0.7
S75  5,E14000541,56.65,10.0742922,0.7,5.6,1.3,2.2,2.1,4.9,5.6,22,8628,8460,98.1,44,0.5,69,0.8,22,0.3
S75  4,E14000541,56.65,10.0742922,0.7,6.2,1.2,2.2,1.9,3.5,3,17.4,4737,4670,98.6,35,0.7,19,0.4,2,0
S71  5,E14000541,56.65,10.0742922,0.9,6.2,1.1,3,2.7,5.7,6.2,19.4,8180,8028,98.1,51,0.6,48,0.6,42,0.5
S71  4,E14000541,56.65,10.0742922,0.5,5.9,1.4,2.6,2.8,6.1,5.5,19.2,10069,9947,98.8,48,0.5,39,0.4,19,0.2
S72  8,E14000542,55.71,9.9350979,0.6,6.3,1.3,2.8,2.3,6.2,6.6,20.1,12926,12733,98.5,82,0.6,57,0.4,42,0.3
S71  2,E14000542,55.71,9.9350979,0.7,5.2,1.2,2.1,2.1,5,5.4,18.2,9076,8930,98.4,45,0.5,40,0.4,57,0.6
S71  5,E14000542,55.71,9.9350979,0.9,6.2,1.1,3,2.7,5.7,6.2,19.4,8180,8028,98.1,51,0.6,48,0.6,42,0.5
S71  3,E14000542,55.71,9.9350979,0.6,6.2,1.4,2.6,2.5,6.4,6.6,19.4,9519,9344,98.2,70,0.7,43,0.5,48,0.5
S72  7,E14000542,55.71,9.9350979,2.4,7,1.6,2.5,2.3,6.6,9.1,18.8,4672,4586,98.2,32,0.7,23,0.5,21,0.4
S73  9,E14000542,55.71,9.9350979,0.6,5.8,1.4,2.5,2.2,5.2,5.3,18,6861,6765,98.6,41,0.6,38,0.6,16,0.2
S73  3,E14000542,55.71,9.9350979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S73  0,E14000542,55.71,9.9350979,1.2,6.4,1.2,2.5,2.4,6.1,6.9,22.1,11826,11609,98.2,97,0.8,58,0.5,47,0.4
S72  0,E14000542,55.71,9.9350979,0.5,6.1,1.4,3.3,2.6,6,4.8,20.1,3344,3304,98.8,25,0.7,11,0.3,3,0.1
S73  8,E14000542,55.71,9.9350979,1.6,6,1.3,2.3,2.6,6.4,6.6,19.7,8327,8147,97.8,71,0.9,59,0.7,42,0.5
S74  0,E14000542,55.71,9.9350979,0.5,6,1.3,2.6,2.3,5.6,6.4,19.9,7431,7306,98.3,68,0.9,26,0.3,25,0.3
S74  9,E14000542,55.71,9.9350979,0.4,5.5,1.3,2.4,2.5,5.8,5.6,18.3,6131,6018,98.2,48,0.8,28,0.5,24,0.4
S74  8,E14000542,55.71,9.9350979,0.9,6.2,1.2,2.6,2.5,6.5,7.1,20,4148,4073,98.2,22,0.5,21,0.5,23,0.6
S72  9,E14000542,55.71,9.9350979,0.4,6.4,1.4,2.8,2.5,5.4,5.1,20.4,4412,4344,98.5,40,0.9,15,0.3,11,0.2
S63  0,E14000542,55.71,9.9350979,0.6,6,1.6,2.5,3.1,6.6,6.3,17.6,8687,8564,98.6,57,0.7,38,0.4,19,0.2
S70  5,E14000542,55.71,9.9350979,0.6,4.9,1.1,2.1,2.2,5,4.6,18.4,7795,7679,98.5,32,0.4,37,0.5,38,0.5
