postcode_sectors,code_constituency,turnout,women_age30to45,perc_eu,10to14%,15%,16to17%,18to19%,20to24%,25to29%,30to44%,All residents,WhiteTot,White%,MixedTot,Mixed%,Asian/Asian British,Asian/Asian British%,Black/African/Carribean/Black British,Black/African/Carribean/Black British%
BR6  6,E14000872,71.96,10.4126549,1.1,5.5,1.4,2.9,2,4.5,4.5,17.9,6647,6151,92.5,124,1.9,263,4,96,1.4
BR6  7,E14000872,71.96,10.4126549,1.4,6.2,1.4,2.8,1.8,4,3.9,17.6,7890,7292,92.4,163,2.1,284,3.6,113,1.4
BR5  4,E14000872,71.96,10.4126549,2.5,6.6,1.3,3,2.5,6,5.3,19.1,10439,8986,86.1,263,2.5,358,3.4,792,7.6
BR5  3,E14000872,71.96,10.4126549,3.1,7.2,1.5,2.9,2.3,6,6,21.6,10607,8777,82.7,362,3.4,380,3.6,1005,9.5
BR6  0,E14000872,71.96,10.4126549,2.5,5.3,1.2,2.6,2.2,5.7,5.8,19.2,9444,8201,86.8,227,2.4,669,7.1,287,3
BR5  2,E14000872,71.96,10.4126549,2.3,7.2,1.4,3,2.5,6.1,6,21.2,12838,11133,86.7,374,2.9,449,3.5,800,6.2
DA14 5,E14000872,71.96,10.4126549,1.8,6.2,1.1,2.3,2.4,6.1,7.2,17.9,4193,3723,88.8,107,2.6,150,3.6,180,4.3
BR8  7,E14000872,71.96,10.4126549,1.3,6.1,1.3,3,2.4,5.8,5.3,18.9,14884,13971,93.9,234,1.6,303,2,340,2.3
BR8  8,E14000872,71.96,10.4126549,1.3,6.4,1.2,3.3,2.3,5.7,5.4,18.8,7088,6650,93.8,80,1.1,147,2.1,183,2.6
TN14 7,E14000872,71.96,10.4126549,0.9,5.9,1,2.1,1.6,4.4,3.9,17.8,4948,4778,96.6,84,1.7,62,1.3,14,0.3
BR2  6,E14000872,71.96,10.4126549,1.7,6.5,1.2,2.6,1.7,5.1,4.5,16.1,2332,2180,93.5,39,1.7,73,3.1,28,1.2
BR6  8,E14000872,71.96,10.4126549,1.8,7.1,1.7,3.2,1.9,4.5,3.4,16.5,8225,7403,90,162,2,495,6,96,1.2
BR5  1,E14000872,71.96,10.4126549,2.2,5.8,1.1,2.6,1.9,4.6,3.6,19.6,11828,10797,91.3,225,1.9,546,4.6,204,1.7
BR6  1,E14000872,71.96,10.4126549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OX3  9,E14000873,64.18,9.7235509,5.9,5.9,1.3,2.3,2.1,6.7,10.1,20.7,8929,6808,76.2,348,3.9,1149,12.9,529,5.9
OX3  8,E14000873,64.18,9.7235509,7.2,4.8,1,2.2,2.1,7.5,9.1,23.1,11994,9455,78.8,462,3.9,1373,11.4,580,4.8
OX4  6,E14000873,64.18,9.7235509,5.7,7.5,1.1,3.1,3,7,7.4,20,7776,5750,73.9,444,5.7,491,6.3,1025,13.2
OX4  7,E14000873,64.18,9.7235509,5.9,7.8,1.5,3.1,2.6,5.7,9,26.9,5568,4271,76.7,321,5.8,314,5.6,580,10.4
OX1  1,E14000873,64.18,9.7235509,13.3,2.7,0.5,0.9,5.7,17.7,19.7,24.7,3252,2361,72.6,127,3.9,553,17,131,4
OX1  9,E14000873,64.18,9.7235509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OX1  3,E14000873,64.18,9.7235509,9.7,0.3,0,0.3,27,53.5,10.5,4.6,7422,6036,81.3,293,3.9,909,12.2,102,1.4
OX1  4,E14000873,64.18,9.7235509,10.4,2.6,0.5,1.3,9.4,22.5,13.2,20.1,7187,5869,81.7,301,4.2,763,10.6,164,2.3
OX1  2,E14000873,64.18,9.7235509,10.8,2.1,0.4,0.6,11.1,27.7,16.2,15.9,1608,1290,80.2,54,3.4,200,12.4,20,1.2
OX2  9,E14000873,64.18,9.7235509,5,5.5,1.1,2.5,2.9,6.2,6.1,17.9,9500,8636,90.9,213,2.2,497,5.2,80,0.8
OX1  5,E14000873,64.18,9.7235509,3.2,6,1.2,2.6,1.7,4.1,5,17.4,6154,5722,93,126,2,198,3.2,62,1
OX2  7,E14000873,64.18,9.7235509,9.2,8.2,2.1,5.1,3.4,4.8,9,19.3,9443,7983,84.5,355,3.8,731,7.7,183,1.9
OX2  6,E14000873,64.18,9.7235509,11.1,5.4,0.6,2.2,6.3,17.5,12.3,20,10801,9108,84.3,390,3.6,1035,9.6,148,1.4
OX2  0,E14000873,64.18,9.7235509,10.5,3.5,0.9,0.9,1.8,8.5,14.4,26.2,3949,3395,86,106,2.7,357,9,45,1.1
OX2  8,E14000873,64.18,9.7235509,7,5.3,1.5,2.6,2.1,3.6,5.7,19.9,6002,5256,87.6,176,2.9,403,6.7,94,1.6
OX3  7,E14000873,64.18,9.7235509,8.9,3.8,0.7,1.3,4.3,16.8,12.2,21.6,11364,8485,74.7,352,3.1,1847,16.3,504,4.4
OX3  0,E14000873,64.18,9.7235509,8.3,5,1.1,2.5,9.8,13.8,8.7,18.6,11150,8580,77,369,3.3,1681,15.1,330,3
OX4  3,E14000873,64.18,9.7235509,11.3,5,1,2.1,2.5,9.6,12.1,24.4,12272,8754,71.3,545,4.4,2024,16.5,776,6.3
OX4  2,E14000873,64.18,9.7235509,10.7,4.3,0.7,2.1,5,12.6,14.7,23.7,10267,7149,69.6,455,4.4,1826,17.8,649,6.3
OX4  4,E14000873,64.18,9.7235509,6.3,5.4,1.1,2.1,1.9,6.2,10.1,22.2,13154,10030,76.3,501,3.8,1741,13.2,776,5.9
OX4  1,E14000873,64.18,9.7235509,8.9,2.2,0.6,1.1,5,31.7,14,17.9,12935,10325,79.8,511,4,1541,11.9,415,3.2
OX3  3,E14000873,64.18,9.7235509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OX4  9,E14000873,64.18,9.7235509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OX44 7,E14000873,64.18,9.7235509,2.4,6.1,1.4,2.4,2.1,4.9,4.1,20.6,5449,5297,97.2,78,1.4,59,1.1,13,0.2
OX44 9,E14000873,64.18,9.7235509,2.1,5.7,0.9,2.5,1.9,3.5,4.3,18.4,2858,2738,95.8,48,1.7,64,2.2,7,0.2
OX1  2,E14000874,75.15,10.2669953,10.8,2.1,0.4,0.6,11.1,27.7,16.2,15.9,1608,1290,80.2,54,3.4,200,12.4,20,1.2
OX2  6,E14000874,75.15,10.2669953,11.1,5.4,0.6,2.2,6.3,17.5,12.3,20,10801,9108,84.3,390,3.6,1035,9.6,148,1.4
OX1  1,E14000874,75.15,10.2669953,13.3,2.7,0.5,0.9,5.7,17.7,19.7,24.7,3252,2361,72.6,127,3.9,553,17,131,4
OX2  0,E14000874,75.15,10.2669953,10.5,3.5,0.9,0.9,1.8,8.5,14.4,26.2,3949,3395,86,106,2.7,357,9,45,1.1
OX1  3,E14000874,75.15,10.2669953,9.7,0.3,0,0.3,27,53.5,10.5,4.6,7422,6036,81.3,293,3.9,909,12.2,102,1.4
OX2  7,E14000874,75.15,10.2669953,9.2,8.2,2.1,5.1,3.4,4.8,9,19.3,9443,7983,84.5,355,3.8,731,7.7,183,1.9
OX2  8,E14000874,75.15,10.2669953,7,5.3,1.5,2.6,2.1,3.6,5.7,19.9,6002,5256,87.6,176,2.9,403,6.7,94,1.6
OX14 3,E14000874,75.15,10.2669953,5.1,4.8,1,2.1,1.7,5.4,7.8,21.8,8304,7747,93.3,123,1.5,318,3.8,79,1
OX14 9,E14000874,75.15,10.2669953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OX14 5,E14000874,75.15,10.2669953,4.9,5.7,1.1,2.5,2.2,5.2,7.7,21.9,10009,9456,94.5,144,1.4,272,2.7,105,1
OX14 1,E14000874,75.15,10.2669953,3.1,6,1.3,3,2.4,4.9,6.1,22.2,10071,9300,92.3,175,1.7,398,4,172,1.7
OX14 2,E14000874,75.15,10.2669953,3.1,7.8,2.7,5.8,2.8,4.1,5.3,18.2,8243,7904,95.9,80,1,202,2.5,40,0.5
OX13 6,E14000874,75.15,10.2669953,1.9,7.2,1.1,2,2.6,8.1,6.8,20.1,8676,7930,91.4,125,1.4,243,2.8,345,4
OX14 4,E14000874,75.15,10.2669953,3.9,6.7,1.4,2.4,2,4.4,5.1,19.1,7883,7649,97,85,1.1,75,1,53,0.7
OX13 5,E14000874,75.15,10.2669953,2.6,7,1.4,2.5,1.8,3.5,3.9,18.4,4783,4645,97.1,43,0.9,53,1.1,30,0.6
OX2  9,E14000874,75.15,10.2669953,5,5.5,1.1,2.5,2.9,6.2,6.1,17.9,9500,8636,90.9,213,2.2,497,5.2,80,0.8
OX1  5,E14000874,75.15,10.2669953,3.2,6,1.2,2.6,1.7,4.1,5,17.4,6154,5722,93,126,2,198,3.2,62,1
OX1  4,E14000874,75.15,10.2669953,10.4,2.6,0.5,1.3,9.4,22.5,13.2,20.1,7187,5869,81.7,301,4.2,763,10.6,164,2.3
OX29 4,E14000874,75.15,10.2669953,1.7,5.5,1.2,2.4,2.2,4.7,4,18.2,5398,5193,96.2,83,1.5,88,1.6,14,0.3
SN7  8,E14000874,75.15,10.2669953,2.1,6.5,1,2.3,1.5,3.1,3.7,19.8,4393,4270,97.2,27,0.6,73,1.7,22,0.5
OX5  2,E14000874,75.15,10.2669953,2.5,4.9,1.1,2.5,2,4.7,4.8,17.3,8469,7866,92.9,144,1.7,290,3.4,114,1.3
OX5  9,E14000874,75.15,10.2669953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OX5  1,E14000874,75.15,10.2669953,3.4,5.6,1.2,2.6,2.4,5.8,7.1,21.1,12054,10591,87.9,292,2.4,811,6.7,237,2
OX20 1,E14000874,75.15,10.2669953,3.5,5.1,1,1.8,1.3,3.8,4.4,21.2,4734,4548,96.1,86,1.8,79,1.7,14,0.3
OX5  3,E14000874,75.15,10.2669953,1,6,0.7,2.4,1.9,3.7,4,18.7,2896,2791,96.4,54,1.9,36,1.2,10,0.3
BB9  6,E14000875,68.83,10.2816001,0.4,4.4,0.9,2,1.9,3.9,5.1,18.7,4788,4520,94.4,24,0.5,226,4.7,8,0.2
BB9  8,E14000875,68.83,10.2816001,2.5,5.8,1.5,2.3,2.4,6.8,8.5,19.8,8116,6846,84.4,95,1.2,1158,14.3,6,0.1
BB12 9,E14000875,68.83,10.2816001,0.3,4.2,0.8,1.8,1.7,4.2,3.7,17.3,2934,2873,97.9,21,0.7,32,1.1,5,0.2
BB8  7,E14000875,68.83,10.2816001,0.7,5.4,1,2.2,2.4,4.4,4.3,17.7,4630,4583,99,12,0.3,26,0.6,3,0.1
BB8  9,E14000875,68.83,10.2816001,1,6.5,1.3,2.5,2.5,6.9,7.2,19.4,7257,7063,97.3,64,0.9,121,1.7,6,0.1
BB8  0,E14000875,68.83,10.2816001,1.2,5.4,1.1,2.5,2.9,7.2,7.6,18.9,6062,5683,93.7,54,0.9,309,5.1,7,0.1
BB8  8,E14000875,68.83,10.2816001,0.8,6.2,1.1,2.7,2.3,5.2,5.8,20.9,5092,4902,96.3,66,1.3,106,2.1,12,0.2
BB9  7,E14000875,68.83,10.2816001,4.3,7.3,1.5,2.8,2.7,8.9,10.4,21.5,6726,1783,26.5,101,1.5,4828,71.8,5,0.1
BB9  9,E14000875,68.83,10.2816001,4.5,6.3,1.6,2.3,2.5,6.5,8.3,19.2,6422,4128,64.3,98,1.5,2173,33.8,13,0.2
BB9  5,E14000875,68.83,10.2816001,1.2,6.1,1.3,2.8,2.9,7.1,7.9,18.2,6357,3360,52.9,93,1.5,2861,45,30,0.5
BB9  0,E14000875,68.83,10.2816001,3,6.5,1.5,2.6,2.3,7.2,7.4,19.6,12189,8038,65.9,177,1.5,3922,32.2,16,0.1
BB18 5,E14000875,68.83,10.2816001,1.6,5.7,1.2,2.4,2.3,6,6.1,20.5,7710,7458,96.7,43,0.6,196,2.5,3,0
BB18 6,E14000875,68.83,10.2816001,1.5,5.8,1.1,2.4,2.2,5.9,6.1,19.7,9469,9223,97.4,72,0.8,163,1.7,8,0.1
BB18 9,E14000875,68.83,10.2816001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BB7  4,E14000875,68.83,10.2816001,0.4,6.7,1.2,2.1,1.6,4.4,3.4,16.7,5080,5036,99.1,19,0.4,25,0.5,0,0
BD23 3,E14000875,68.83,10.2816001,0.7,5.3,1.1,2.2,1.5,4.2,3.5,15.4,4100,4038,98.5,31,0.8,27,0.7,3,0.1
BB10 3,E14000875,68.83,10.2816001,0.9,6.1,1.3,2.6,2.4,6.1,5.6,19,7988,6500,81.4,107,1.3,1341,16.8,20,0.3
BB10 2,E14000875,68.83,10.2816001,0.7,6,1.2,2.4,2.6,5.6,5.5,19.2,10448,9070,86.8,127,1.2,1188,11.4,32,0.3
BB12 0,E14000875,68.83,10.2816001,1.2,6.8,1.5,2.7,2.5,6.6,6.6,21,8089,5861,72.5,89,1.1,2091,25.8,24,0.3
BB9  4,E14000875,68.83,10.2816001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BB94 0,E14000875,68.83,10.2816001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S75  3,E14000876,66.16,9.7157952,0.6,5.4,1.1,2.7,2.3,4.6,5.3,20,7691,7570,98.4,47,0.6,55,0.7,12,0.2
S70  6,E14000876,66.16,9.7157952,3.5,4.9,1.4,2.6,2.2,6.5,7.9,20.5,7652,7316,95.6,67,0.9,146,1.9,82,1.1
S75  2,E14000876,66.16,9.7157952,1.3,5.8,1.2,2.6,2,5.2,5.6,19.5,8657,8299,95.9,54,0.6,196,2.3,59,0.7
S75  1,E14000876,66.16,9.7157952,0.8,6,1.4,2.4,2.2,4.6,5.7,21.2,7013,6881,98.1,40,0.6,58,0.8,31,0.4
S75  4,E14000876,66.16,9.7157952,0.7,6.2,1.2,2.2,1.9,3.5,3,17.4,4737,4670,98.6,35,0.7,19,0.4,2,0
S36  8,E14000876,66.16,9.7157952,0.7,6.7,1.8,2.7,2.4,4,4.1,18.5,1766,1733,98.1,13,0.7,13,0.7,6,0.3
S36  7,E14000876,66.16,9.7157952,0.2,4.7,1.1,2.1,1.1,3.6,2.4,17.6,1658,1632,98.4,7,0.4,15,0.9,2,0.1
S35  7,E14000876,66.16,9.7157952,0.6,6.3,1.1,2.5,1.7,3.9,3.2,17.3,2941,2892,98.3,26,0.9,10,0.3,9,0.3
S74  0,E14000876,66.16,9.7157952,0.5,6,1.3,2.6,2.3,5.6,6.4,19.9,7431,7306,98.3,68,0.9,26,0.3,25,0.3
S35  0,E14000876,66.16,9.7157952,0.4,6.4,1.5,2.4,2.1,4.2,3.6,20.4,6524,6386,97.9,44,0.7,42,0.6,31,0.5
S35  4,E14000876,66.16,9.7157952,0.5,6.1,1.1,2.5,2.3,5.6,5.1,18.8,6360,6179,97.2,71,1.1,60,0.9,38,0.6
S36  2,E14000876,66.16,9.7157952,0.4,5.9,1.2,2.3,2,4.8,5,21.2,6100,5986,98.1,38,0.6,41,0.7,30,0.5
S36  6,E14000876,66.16,9.7157952,0.5,6.1,1.4,2.7,2.2,5.6,5.3,20.9,6726,6643,98.8,47,0.7,27,0.4,4,0.1
S70  5,E14000876,66.16,9.7157952,0.6,4.9,1.1,2.1,2.2,5,4.6,18.4,7795,7679,98.5,32,0.4,37,0.5,38,0.5
S36  9,E14000876,66.16,9.7157952,0.8,5.4,1.2,2.4,2,3.9,4.6,21.7,3027,2961,97.8,28,0.9,24,0.8,10,0.3
HD8  8,E14000876,66.16,9.7157952,0.3,6.2,1.3,2.4,1.8,4.1,3.9,21.3,12040,11847,98.4,87,0.7,81,0.7,17,0.1
S36  4,E14000876,66.16,9.7157952,0.8,6.2,2,1.8,1.8,2.8,4.5,20.8,715,697,97.5,3,0.4,6,0.8,2,0.3
HD9  7,E14000876,66.16,9.7157952,0.7,6.9,1.1,2.6,1.9,5,4.6,19.9,4981,4813,96.6,74,1.5,64,1.3,17,0.3
HD9  2,E14000876,66.16,9.7157952,0.4,6.9,1.3,2.6,1.6,3.6,3.8,22.5,4275,4205,98.4,41,1,20,0.5,6,0.1
S5   9,E14000876,66.16,9.7157952,0.5,6.6,1.6,3,2.7,5.2,5.9,19.1,9652,9276,96.1,121,1.3,70,0.7,127,1.3
S35  1,E14000876,66.16,9.7157952,0.4,5.1,1.1,2.1,2,4.6,4.1,17,7237,7031,97.2,52,0.7,87,1.2,46,0.6
S35  9,E14000876,66.16,9.7157952,0.6,5.3,1,2.3,2.3,5.1,5.7,20,4348,4185,96.3,40,0.9,60,1.4,37,0.9
S35  2,E14000876,66.16,9.7157952,0.2,5.9,1.2,2.3,1.9,5.4,5.3,22.4,6157,6001,97.5,55,0.9,49,0.8,37,0.6
S35  5,E14000876,66.16,9.7157952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S35  3,E14000876,66.16,9.7157952,0.5,6.7,1.5,2.5,2.6,5.1,5.4,23.9,3302,3194,96.7,48,1.5,28,0.8,21,0.6
S95  1,E14000876,66.16,9.7157952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S61  2,E14000876,66.16,9.7157952,0.7,5.8,1.4,2.9,2.7,6.3,5.9,18.5,12772,12334,96.6,90,0.7,261,2,64,0.5
S5   6,E14000876,66.16,9.7157952,3.6,8.2,1.7,3.2,2.7,7.1,6.5,20.7,12926,7246,56.1,536,4.1,2929,22.7,1124,8.7
S5   7,E14000876,66.16,9.7157952,1.4,6.3,1.2,2.6,2.7,6.3,6.6,18.9,12833,10573,82.4,399,3.1,1036,8.1,585,4.6
S5   8,E14000876,66.16,9.7157952,1.2,5.5,1.2,2.3,2.7,7.2,7.3,19.7,13176,11718,88.9,398,3,427,3.2,427,3.2
S5   0,E14000876,66.16,9.7157952,0.9,6.7,1.6,3,2.5,6.8,6.8,20.9,11281,9832,87.2,396,3.5,383,3.4,548,4.9
S36  1,E14000876,66.16,9.7157952,0.3,5.5,1.1,2.4,2.5,4.8,4.8,20.2,6969,6853,98.3,34,0.5,22,0.3,51,0.7
S36  3,E14000876,66.16,9.7157952,0.3,4.1,1,1.3,1.6,3.4,2.8,19.4,386,377,97.7,3,0.8,2,0.5,3,0.8
S6   1,E14000876,66.16,9.7157952,1.4,5.3,1.1,2.6,2.3,6.1,7.4,24.4,11745,10787,91.8,282,2.4,249,2.1,291,2.5
S36  0,E14000876,66.16,9.7157952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S35  8,E14000876,66.16,9.7157952,0.2,4.8,1.3,2.2,2.2,3.8,3.2,17.5,4532,4380,96.6,58,1.3,70,1.5,17,0.4
CA7  8,E14000877,67.35,8.1532357,0.5,6.1,1.4,2.6,2.2,2.8,3.4,17.9,1893,1884,99.5,6,0.3,3,0.2,0,0
CA5  7,E14000877,67.35,8.1532357,0.7,6.5,1.3,3.5,2.8,4,3.1,14.7,3299,3216,97.5,11,0.3,67,2,3,0.1
CA7  0,E14000877,67.35,8.1532357,0.3,6,1.2,2.4,2,4.5,4.1,15.1,1710,1704,99.6,5,0.3,1,0.1,0,0
CA7  9,E14000877,67.35,8.1532357,0.5,6.8,1.2,3.1,2.4,4.8,4.1,19.7,5831,5791,99.3,20,0.3,17,0.3,2,0
CA7  5,E14000877,67.35,8.1532357,0.3,6.1,1.3,3.3,2.2,3.1,2.9,16.2,1933,1927,99.7,4,0.2,2,0.1,0,0
CA7  7,E14000877,67.35,8.1532357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA8  1,E14000877,67.35,8.1532357,0.5,6.1,1.4,2.3,1.9,4.2,4.5,16.7,4745,4693,98.9,19,0.4,22,0.5,10,0.2
CA8  2,E14000877,67.35,8.1532357,0.5,7,1.6,2.3,2.2,4.3,2.9,16.2,1912,1893,99,14,0.7,2,0.1,2,0.1
CA8  0,E14000877,67.35,8.1532357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA6  4,E14000877,67.35,8.1532357,0.8,5.4,1.2,2.5,1.9,4.3,3.5,19.3,4197,4163,99.2,14,0.3,14,0.3,2,0
CA8  7,E14000877,67.35,8.1532357,0.2,3.3,0.8,2.4,2.6,5.2,3.7,15.1,1431,1416,99,6,0.4,4,0.3,1,0.1
CA8  9,E14000877,67.35,8.1532357,0.5,6.8,1.1,2.3,2,3.2,3.1,15,2226,2203,99,8,0.4,11,0.5,4,0.2
CA4  8,E14000877,67.35,8.1532357,0.8,5.4,0.8,2.6,1.9,3.5,3.7,16.4,5631,5569,98.9,16,0.3,34,0.6,7,0.1
CA4  9,E14000877,67.35,8.1532357,0.1,6.5,1.2,2.4,1.2,2.9,2.9,17.4,850,837,98.5,5,0.6,7,0.8,0,0
CA6  6,E14000877,67.35,8.1532357,0.8,5.7,1.2,2.2,2.7,3.8,4,17.9,1561,1557,99.7,1,0.1,2,0.1,0,0
CA6  5,E14000877,67.35,8.1532357,1.2,4.4,1,2.2,2.4,5.4,5.7,16.8,3336,3305,99.1,10,0.3,16,0.5,3,0.1
DG16 5,E14000877,67.35,8.1532357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TD9  0,E14000877,67.35,8.1532357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3  0,E14000877,67.35,8.1532357,1.3,5.2,1.3,2.1,1.8,4.6,4.2,16.9,6066,5885,97,32,0.5,131,2.2,7,0.1
CA3  9,E14000877,67.35,8.1532357,1.6,5.4,1.2,2.5,3.3,6.4,5.5,18,7618,7451,97.8,45,0.6,111,1.5,8,0.1
CA9  3,E14000877,67.35,8.1532357,0.5,5.2,1.1,2.8,2,5.6,4.2,16.4,2088,2071,99.2,3,0.1,6,0.3,2,0.1
CA16 6,E14000877,67.35,8.1532357,0.6,6.2,1.6,2.3,1.8,3.6,4,16.6,6175,6123,99.2,25,0.4,21,0.3,4,0.1
CA10 2,E14000877,67.35,8.1532357,0.9,5.1,1.2,2,1.9,3.3,4.3,16.2,3286,3244,98.7,21,0.6,14,0.4,1,0
CA17 4,E14000877,67.35,8.1532357,0.8,5.4,1.4,2.2,1.7,4.1,4.2,17.3,4873,4839,99.3,10,0.2,22,0.5,2,0
CA10 3,E14000877,67.35,8.1532357,0.6,5.7,1.5,1.8,2,4.4,3.6,17.2,4580,4537,99.1,18,0.4,22,0.5,1,0
CA11 0,E14000877,67.35,8.1532357,1.5,4.9,1.1,2.3,4,5.3,3.5,15.2,4416,4365,98.8,20,0.5,26,0.6,4,0.1
CA12 4,E14000877,67.35,8.1532357,1.9,4.9,1.1,2.2,2,3.9,4.3,17.4,4758,4666,98.1,31,0.7,43,0.9,10,0.2
CA11 9,E14000877,67.35,8.1532357,1.8,5.9,1.4,2.7,2.2,6,5.7,20,6475,6403,98.9,23,0.4,45,0.7,0,0
CA10 1,E14000877,67.35,8.1532357,0.3,6.3,1.2,2.4,2.2,4,3.5,17.3,5757,5729,99.5,16,0.3,6,0.1,1,0
CA4  0,E14000877,67.35,8.1532357,0.3,6,1,2.4,1.7,3.8,3.4,16.1,3198,3170,99.1,13,0.4,13,0.4,2,0.1
CA11 8,E14000877,67.35,8.1532357,1.6,5,1,2,2.2,4.3,4.6,17.1,7907,7815,98.8,47,0.6,36,0.5,3,0
DL12 0,E14000877,67.35,8.1532357,0.2,4.4,0.7,2,2.1,4.4,3.9,14.8,2494,2466,98.9,20,0.8,2,0.1,0,0
CA11 7,E14000877,67.35,8.1532357,4.9,4.9,1,1.8,2.4,7.5,7.7,21.8,3561,3463,97.2,15,0.4,74,2.1,2,0.1
CA11 1,E14000877,67.35,8.1532357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LA10 5,E14000877,67.35,8.1532357,1.3,7.4,2.6,5.7,2.8,3.1,3.2,13.8,4002,3909,97.7,24,0.6,62,1.5,0,0
PE3  8,E14000878,64.9,11.1716269,10.9,7.3,1.6,2.7,2.4,6.2,7.9,22,6927,6117,88.3,205,3,405,5.8,166,2.4
PE3  9,E14000878,64.9,11.1716269,7.6,6.3,1.5,3,2.7,6.1,6.3,19.1,9772,7449,76.2,242,2.5,1713,17.5,284,2.9
PE3  6,E14000878,64.9,11.1716269,8.8,5.6,1.4,2.3,2.2,5.7,8,18.4,5876,4018,68.4,105,1.8,1589,27,109,1.9
PE1  1,E14000878,64.9,11.1716269,16.6,2.1,0.4,1.6,2.2,10.6,14.7,22.6,682,507,74.3,20,2.9,120,17.6,20,2.9
PE1  9,E14000878,64.9,11.1716269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE1  2,E14000878,64.9,11.1716269,24.2,7.2,1.6,3.5,3.3,9.6,10.6,23.8,11231,4492,40,470,4.2,5771,51.4,276,2.5
PE1  5,E14000878,64.9,11.1716269,19.9,6.5,1.2,2.2,1.9,8.2,9.6,22.5,8726,6118,70.1,291,3.3,1922,22,261,3
PE1  4,E14000878,64.9,11.1716269,14.8,6,1.4,2.8,3,7.3,8.7,21.3,14812,11730,79.2,529,3.6,1955,13.2,383,2.6
PE1  3,E14000878,64.9,11.1716269,21.3,6.4,1.1,2.5,2.3,7.8,9.4,22.3,13722,9478,69.1,410,3,3334,24.3,311,2.3
PE6  7,E14000878,64.9,11.1716269,1.7,6.6,1.6,3.1,2.1,4.6,4.4,19.6,9597,9167,95.5,143,1.5,181,1.9,84,0.9
PE6  0,E14000878,64.9,11.1716269,1.8,6.3,1.4,2.5,1.8,4.5,4.4,20.2,6612,6433,97.3,65,1,61,0.9,50,0.8
PE13 4,E14000878,64.9,11.1716269,1.6,6.3,1.1,2.3,1.9,4.2,4,17.7,6569,6414,97.6,62,0.9,73,1.1,16,0.2
PE4  7,E14000878,64.9,11.1716269,5.8,5.9,1.4,2.5,2.2,6.3,8,21.1,11297,10318,91.3,300,2.7,373,3.3,250,2.2
PE2  9,E14000878,64.9,11.1716269,11.9,4.8,1,2,2.1,6.8,11.7,27.8,10180,9001,88.4,254,2.5,536,5.3,300,2.9
PE2  7,E14000878,64.9,11.1716269,4,5.2,1.2,2,2.2,5.1,5.2,19.1,3394,3114,91.8,55,1.6,158,4.7,60,1.8
PE6  9,E14000878,64.9,11.1716269,1.1,7,1.4,2.5,2,3.4,2.9,18.3,6285,6163,98.1,61,1,44,0.7,14,0.2
PE5  7,E14000878,64.9,11.1716269,1.9,6.3,1.1,2.5,1.6,3.6,3,17.7,1589,1549,97.5,18,1.1,17,1.1,5,0.3
PE4  6,E14000878,64.9,11.1716269,4.4,5.4,1.4,2.3,2,6.2,6.1,18.2,11122,10325,92.8,239,2.1,356,3.2,163,1.5
PE3  7,E14000878,64.9,11.1716269,12.1,6.5,1.2,2.7,3,8.2,8.9,23.7,6322,4738,74.9,223,3.5,993,15.7,281,4.4
PE4  5,E14000878,64.9,11.1716269,3,6.9,1.6,2.9,2.3,6.2,6.1,23.3,5942,5551,93.4,112,1.9,205,3.5,56,0.9
PE7  3,E14000878,64.9,11.1716269,1.9,6.3,1.4,2.7,2.2,5.1,5.7,21.8,16091,15459,96.1,220,1.4,248,1.5,126,0.8
